system_type,risk_band,observations,mean_stability,mean_robustness,mean_resilience,mean_risk_pressure
community,high risk pressure failure,62,0.5629258064516129,0.61211774193548385,0.5570774193548387,0.6598483870967742
community,predicted failure,169,0.5579704142011834,0.5755112426035502,0.5216147928994083,0.5052650887573964
community,viable in synthetic simulation,73,0.7109808219178082,0.7000712328767124,0.5904657534246576,0.44384657534246574
ecological,high risk pressure failure,63,0.5905634920634921,0.6201142857142857,0.5214952380952381,0.665284126984127
ecological,predicted failure,167,0.5554431137724551,0.5785413173652695,0.5201461077844312,0.49631676646706585
ecological,viable in synthetic simulation,88,0.7131590909090909,0.6815136363636364,0.6092772727272727,0.4354136363636364
financial,high risk pressure failure,64,0.606009375,0.5829859375,0.5515734375,0.6563875
financial,predicted failure,184,0.5459032608695652,0.561866847826087,0.5256086956521739,0.49669184782608694
financial,viable in synthetic simulation,87,0.6952758620689655,0.6645528735632183,0.599116091954023,0.4388
institutional,high risk pressure failure,64,0.6341375,0.6128609375,0.536890625,0.65204375
institutional,predicted failure,165,0.5627860606060606,0.5776593939393939,0.5367290909090909,0.49438363636363636
institutional,viable in synthetic simulation,91,0.7205417582417583,0.6849934065934066,0.599310989010989,0.4493285714285714
public_health,high risk pressure failure,70,0.5927514285714286,0.64591,0.5512642857142858,0.6598971428571428
public_health,predicted failure,137,0.5677240875912409,0.559148905109489,0.5189474452554744,0.4976051094890511
public_health,viable in synthetic simulation,85,0.6880870588235294,0.6746082352941176,0.6067458823529411,0.46148
supply_chain,high risk pressure failure,72,0.6136083333333333,0.607975,0.5312666666666667,0.6643277777777777
supply_chain,predicted failure,148,0.5849405405405406,0.5645087837837838,0.5048804054054054,0.4956425675675676
supply_chain,viable in synthetic simulation,70,0.6835871428571428,0.6636214285714286,0.6062928571428572,0.43830857142857144
urban_infrastructure,high risk pressure failure,67,0.6099940298507462,0.5596940298507462,0.5400507462686567,0.6632119402985075
urban_infrastructure,predicted failure,178,0.547038202247191,0.5607039325842696,0.5221421348314607,0.4931837078651685
urban_infrastructure,viable in synthetic simulation,96,0.7087427083333333,0.6435802083333333,0.6043229166666667,0.436109375
