system_id,system,system_context,time,event,disruption_load,fallback_capacity,recovery_capacity,fragility_gap,function,data_trust,security_posture,technical_debt,human_strain,ethical_adjusted_function,resilience_score
TS001,Legacy high-debt public service system,legacy public platform with high technical debt and constrained maintenance,0,background technology pressure,0.09329,0.4158,0.4616,0.0,0.90094,0.5458,0.4886,0.80727,0.65079,0.69955,0.53593
TS001,Legacy high-debt public service system,legacy public platform with high technical debt and constrained maintenance,1,background technology pressure,0.09431,0.41745,0.47576,0.0,1.0,0.59142,0.5372,0.7946,0.64088,0.78573,0.56828
TS001,Legacy high-debt public service system,legacy public platform with high technical debt and constrained maintenance,2,background technology pressure,0.09535,0.4191,0.48989,0.0,1.0,0.63686,0.5858,0.78197,0.63026,0.78658,0.58376
TS001,Legacy high-debt public service system,legacy public platform with high technical debt and constrained maintenance,3,background technology pressure,0.09563,0.42074,0.504,0.0,1.0,0.68212,0.6344,0.76938,0.61881,0.78749,0.5992
TS001,Legacy high-debt public service system,legacy public platform with high technical debt and constrained maintenance,4,background technology pressure,0.09608,0.42238,0.51808,0.0,1.0,0.7272,0.683,0.75682,0.60657,0.78847,0.61462
TS001,Legacy high-debt public service system,legacy public platform with high technical debt and constrained maintenance,5,background technology pressure,0.09589,0.42401,0.53213,0.0,1.0,0.7721,0.7316,0.74427,0.5934,0.78953,0.63
TS001,Legacy high-debt public service system,legacy public platform with high technical debt and constrained maintenance,6,background technology pressure,0.09703,0.42564,0.54616,0.0,1.0,0.81682,0.7802,0.73179,0.57957,0.79063,0.64536
TS001,Legacy high-debt public service system,legacy public platform with high technical debt and constrained maintenance,7,background technology pressure,0.0969,0.42727,0.56015,0.0,1.0,0.86136,0.8288,0.71932,0.56483,0.79181,0.66068
TS001,Legacy high-debt public service system,legacy public platform with high technical debt and constrained maintenance,8,background technology pressure,0.0964,0.42889,0.57412,0.0,1.0,0.90572,0.8774,0.70685,0.54914,0.79307,0.67598
TS001,Legacy high-debt public service system,legacy public platform with high technical debt and constrained maintenance,9,background technology pressure,0.09756,0.43051,0.58807,0.0,1.0,0.9499,0.926,0.69445,0.53278,0.79438,0.69124
TS001,Legacy high-debt public service system,legacy public platform with high technical debt and constrained maintenance,10,Cloud dependency outage,0.6638,0.43212,0.60199,0.42612,0.95918,0.9249,0.8836,0.704,0.70952,0.74505,0.6772
TS001,Legacy high-debt public service system,legacy public platform with high technical debt and constrained maintenance,11,background technology pressure,0.09755,0.43088,0.59188,0.0,1.0,0.96872,0.9322,0.69163,0.69295,0.78156,0.69532
TS001,Legacy high-debt public service system,legacy public platform with high technical debt and constrained maintenance,12,background technology pressure,0.09973,0.43249,0.60574,0.0,1.0,1.0,0.9808,0.67936,0.67592,0.78293,0.70888
