 time,function,fallback_capacity,recovery_capacity,fragility_gap,data_trust,security_posture,technical_debt,human_strain,resilience_score
1, 1.00000, 0.80200, 0.83220, 0.00000, 0.96302, 0.93560, 0.27329, 0.24179, 0.87922
2, 1.00000, 0.80807, 0.86199, 0.00000, 1.00000, 1.00000, 0.22661, 0.14039, 0.90105
3, 1.00000, 0.81414, 0.87720, 0.00000, 1.00000, 1.00000, 0.17996, 0.03579, 0.90750
4, 1.00000, 0.82021, 0.87720, 0.00000, 1.00000, 1.00000, 0.13335, 0.00000, 0.91168
5, 1.00000, 0.82626, 0.87720, 0.00000, 1.00000, 1.00000, 0.08677, 0.00000, 0.91585
6, 1.00000, 0.83232, 0.87720, 0.00000, 1.00000, 1.00000, 0.04022, 0.00000, 0.92001
7, 1.00000, 0.83837, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92374
8, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
9, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
10, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00148, 0.92452
11, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
12, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
13, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
14, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
15, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
16, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
17, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
18, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
19, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
20, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
21, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
22, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
23, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
24, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
25, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
26, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
27, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
28, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
29, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
30, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
31, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
32, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
33, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
34, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
35, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
36, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
37, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
38, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
39, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
40, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
41, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
