scenario,strategy_id,strategy,system_domain,rank,technology_resilience_value,technical_debt_risk,implementation_burden,critical_function
Balanced,TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,1,7.817,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance
Balanced,TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,2,7.814,3.0,3.4,preserves essential functions when nonessential features cloud services APIs or components fail
Balanced,TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,3,7.767,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness
Balanced,TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,4,7.748,3.0,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures
Balanced,TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,5,7.718,3.1,3.0,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure
Balanced,TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,6,7.71,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity
Balanced,TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,7,7.698,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability
Cyber-first,TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,1,8.715,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance
Cyber-first,TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,2,8.503,3.0,3.4,preserves essential functions when nonessential features cloud services APIs or components fail
Cyber-first,TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,3,8.471,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness
Cyber-first,TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,4,8.434,3.0,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures
Cyber-first,TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,5,8.393,3.1,3.0,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure
Cyber-first,TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,6,8.387,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity
Cyber-first,TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,7,8.35,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability
Data-first,TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,1,8.684,3.0,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures
Data-first,TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,2,8.553,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance
Data-first,TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,3,8.439,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness
Data-first,TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,4,8.409,3.1,3.0,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure
Data-first,TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,5,8.406,3.0,3.4,preserves essential functions when nonessential features cloud services APIs or components fail
Data-first,TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,6,8.388,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability
Data-first,TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,7,8.369,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity
Architecture-first,TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,1,8.861,3.0,3.4,preserves essential functions when nonessential features cloud services APIs or components fail
Architecture-first,TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,2,8.637,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance
