strategy_id,strategy,system_domain,architecture,redundancy,observability,cybersecurity,data_integrity,maintainability,governance,human_safeguards,vendor_contingency,technical_debt_risk,implementation_burden,critical_function,technology_resilience_value,maintainability_gap,governance_gap,human_gap,vendor_gap,adjusted_value,scenario,rank
TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,9.2,8.8,8.4,8.2,7.8,8.3,8.4,8.5,8,3,3.4,preserves essential functions when nonessential features cloud services APIs or components fail,8.861,0,0,0,0,8.861,Architecture-first,1
TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,8,8.9,8.5,9.2,8.4,8.1,8.6,8,7.9,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance,8.637,0.20000000000000107,0,0.1999999999999993,0.09999999999999964,8.606,Architecture-first,2
TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,8.5,8.2,8.6,8,8.1,8.2,8.7,8.1,8.2,3.1,3,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure,8.588,0.10000000000000142,0,0.09999999999999964,0,8.575,Architecture-first,3
TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,8.2,8.6,8,8.3,8.2,8,8.7,8,9.2,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness,8.581999999999999,0.3000000000000007,0,0.1999999999999993,0,8.549999999999999,Architecture-first,4
TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,8.4,7.8,8.2,8.2,8,9.2,8.5,8.3,7.8,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity,8.529,0,0,0,0.20000000000000018,8.519,Architecture-first,5
TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,8,7.8,8.6,8.1,9.3,8.2,8.8,8.2,7.8,3,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures,8.463000000000001,0.10000000000000142,0,0,0.20000000000000018,8.447000000000001,Architecture-first,6
TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,8,8.1,8.3,8,8.2,8.1,8.6,9.2,7.8,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability,8.438999999999998,0.20000000000000107,0,0,0.20000000000000018,8.416999999999998,Architecture-first,7
TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,9.2,8.8,8.4,8.2,7.8,8.3,8.4,8.5,8,3,3.4,preserves essential functions when nonessential features cloud services APIs or components fail,7.814000000000001,0,0,0,0,7.814000000000001,Balanced,1
TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,8,8.9,8.5,9.2,8.4,8.1,8.6,8,7.9,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance,7.816999999999999,0.20000000000000107,0,0.1999999999999993,0.09999999999999964,7.785999999999999,Balanced,2
TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,8.2,8.6,8,8.3,8.2,8,8.7,8,9.2,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness,7.7669999999999995,0.3000000000000007,0,0.1999999999999993,0,7.734999999999999,Balanced,3
TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,8,7.8,8.6,8.1,9.3,8.2,8.8,8.2,7.8,3,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures,7.748000000000001,0.10000000000000142,0,0,0.20000000000000018,7.732000000000001,Balanced,4
TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,8.5,8.2,8.6,8,8.1,8.2,8.7,8.1,8.2,3.1,3,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure,7.718000000000001,0.10000000000000142,0,0.09999999999999964,0,7.705000000000001,Balanced,5
TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,8.4,7.8,8.2,8.2,8,9.2,8.5,8.3,7.8,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity,7.710000000000001,0,0,0,0.20000000000000018,7.700000000000001,Balanced,6
TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,8,8.1,8.3,8,8.2,8.1,8.6,9.2,7.8,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability,7.698,0.20000000000000107,0,0,0.20000000000000018,7.676,Balanced,7
TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,8,8.9,8.5,9.2,8.4,8.1,8.6,8,7.9,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance,8.715,0.20000000000000107,0,0.1999999999999993,0.09999999999999964,8.684,Cyber-first,1
TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,9.2,8.8,8.4,8.2,7.8,8.3,8.4,8.5,8,3,3.4,preserves essential functions when nonessential features cloud services APIs or components fail,8.503,0,0,0,0,8.503,Cyber-first,2
TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,8.2,8.6,8,8.3,8.2,8,8.7,8,9.2,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness,8.471,0.3000000000000007,0,0.1999999999999993,0,8.439,Cyber-first,3
TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,8,7.8,8.6,8.1,9.3,8.2,8.8,8.2,7.8,3,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures,8.434,0.10000000000000142,0,0,0.20000000000000018,8.418,Cyber-first,4
TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,8.5,8.2,8.6,8,8.1,8.2,8.7,8.1,8.2,3.1,3,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure,8.392999999999999,0.10000000000000142,0,0.09999999999999964,0,8.379999999999999,Cyber-first,5
TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,8.4,7.8,8.2,8.2,8,9.2,8.5,8.3,7.8,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity,8.387,0,0,0,0.20000000000000018,8.377,Cyber-first,6
