time,disturbance,resilience_margin,threshold_flag
1,0.0535593,1.17623,viable margin
2,0.0570461,1.13071,viable margin
3,0.0603893,1.08259,viable margin
4,0.0635209,1.03203,viable margin
5,0.0663769,0.979246,viable margin
6,0.0688994,0.924494,viable margin
7,0.0710368,0.868078,viable margin
8,0.832746,0.218291,threshold risk
9,0.073991,0.159574,threshold risk
10,0.0747476,0.100267,threshold risk
11,0.075,0.0407632,threshold risk
12,0.0747431,-0.0185401,threshold risk
13,0.0739821,-0.0772506,threshold risk
14,0.0727324,-0.134988,threshold risk
15,0.0710197,-0.19139,threshold risk
16,0.828879,-0.838165,threshold risk
17,0.066353,-0.890933,threshold risk
18,0.0634943,-0.941473,threshold risk
19,0.0603605,-0.989573,threshold risk
20,0.0570157,-1.03507,threshold risk
21,0.053528,-1.07784,threshold risk
22,0.0499684,-1.11785,threshold risk
23,0.0464094,-1.15508,threshold risk
24,0.802924,-1.78163,threshold risk
25,0.039582,-1.81355,threshold risk
26,0.0364526,-1.84302,threshold risk
27,0.0335992,-1.87027,threshold risk
28,0.0310799,-1.89556,threshold risk
29,0.0289462,-1.91919,threshold risk
30,0.0272413,-1.94149,threshold risk
31,0.0260002,-1.96282,threshold risk
32,0.785248,-2.57561,threshold risk
33,0.025,-2.59616,threshold risk
34,0.0252615,-2.61692,threshold risk
35,0.0260269,-2.63827,threshold risk
36,0.0272807,-2.6606,threshold risk
37,0.0289975,-2.68427,threshold risk
38,0.0311421,-2.70961,threshold risk
39,0.0336709,-2.73692,threshold risk
40,0.796532,-3.3585,threshold risk
41,0.0396682,-3.39048,threshold risk
42,0.0430146,-3.42506,threshold risk
43,0.0465033,-3.46237,threshold risk
44,0.0500632,-3.50245,threshold risk
45,0.0536219,-3.5453,threshold risk
46,0.0571067,-3.59086,threshold risk
47,0.0604468,-3.63903,threshold risk
48,0.823574,-4.28167,threshold risk
49,0.0664247,-4.33449,threshold risk
50,0.0689407,-4.38928,threshold risk
51,0.0710709,-4.44572,threshold risk
52,0.0727717,-4.50349,threshold risk
53,0.0740087,-4.56222,threshold risk
54,0.0747565,-4.62153,threshold risk
55,0.0749999,-4.68103,threshold risk
56,0.834734,-5.33237,threshold risk
57,0.0739641,-5.39107,threshold risk
58,0.0727061,-5.44878,threshold risk
59,0.0709854,-5.50516,threshold risk
60,0.0688372,-5.55986,threshold risk
61,0.0663052,-5.61259,threshold risk
62,0.063441,-5.66309,threshold risk
63,0.060303,-5.71115,threshold risk
64,0.816955,-6.34863,threshold risk
65,0.0534654,-6.39136,threshold risk
66,0.0499052,-6.43131,threshold risk
67,0.0463469,-6.4685,threshold risk
68,0.042863,-6.50297,threshold risk
69,0.0395245,-6.53483,threshold risk
70,0.0363995,-6.56427,threshold risk
71,0.0335515,-6.59148,threshold risk
72,0.791039,-7.20878,threshold risk
73,0.0289121,-7.23238,threshold risk
74,0.0272152,-7.25466,threshold risk
75,0.0259825,-7.27598,threshold risk
76,0.0252392,-7.29672,threshold risk
77,0.0250002,-7.31727,threshold risk
78,0.0252707,-7.33804,threshold risk
79,0.0260449,-7.35941,threshold risk
80,0.787307,-7.9738,threshold risk
81,0.0290318,-7.99749,threshold risk
82,0.0311836,-8.02286,threshold risk
83,0.0337188,-8.05021,threshold risk
84,0.0365857,-8.07978,threshold risk
