 time,disturbance,resilience_margin,threshold_flag
1, 0.0536,  0.6239,threshold risk
2, 0.0570,  0.5783,threshold risk
3, 0.0604,  0.5302,threshold risk
4, 0.0635,  0.4796,threshold risk
5, 0.0664,  0.4268,threshold risk
6, 0.0689,  0.3720,threshold risk
7, 0.0710,  0.3156,threshold risk
8, 0.8327, -0.3342,threshold risk
9, 0.0740, -0.3929,threshold risk
10, 0.0747, -0.4523,threshold risk
11, 0.0750, -0.5118,threshold risk
12, 0.0747, -0.5711,threshold risk
13, 0.0740, -0.6298,threshold risk
14, 0.0727, -0.6876,threshold risk
15, 0.0710, -0.7440,threshold risk
16, 0.8289, -1.3908,threshold risk
17, 0.0664, -1.4436,threshold risk
18, 0.0635, -1.4942,threshold risk
19, 0.0604, -1.5423,threshold risk
20, 0.0570, -1.5878,threshold risk
21, 0.0535, -1.6306,threshold risk
22, 0.0500, -1.6706,threshold risk
23, 0.0464, -1.7079,threshold risk
24, 0.8029, -2.3345,threshold risk
25, 0.0396, -2.3664,threshold risk
26, 0.0365, -2.3959,threshold risk
27, 0.0336, -2.4232,threshold risk
28, 0.0311, -2.4485,threshold risk
29, 0.0289, -2.4721,threshold risk
30, 0.0272, -2.4944,threshold risk
31, 0.0260, -2.5158,threshold risk
32, 0.7852, -3.1286,threshold risk
33, 0.0250, -3.1492,threshold risk
34, 0.0253, -3.1699,threshold risk
35, 0.0260, -3.1913,threshold risk
36, 0.0273, -3.2137,threshold risk
37, 0.0290, -3.2374,threshold risk
38, 0.0311, -3.2627,threshold risk
39, 0.0337, -3.2900,threshold risk
40, 0.7965, -3.9116,threshold risk
41, 0.0397, -3.9436,threshold risk
42, 0.0430, -3.9782,threshold risk
43, 0.0465, -4.0156,threshold risk
44, 0.0501, -4.0557,threshold risk
45, 0.0536, -4.0985,threshold risk
46, 0.0571, -4.1441,threshold risk
47, 0.0604, -4.1923,threshold risk
48, 0.8236, -4.8350,threshold risk
49, 0.0664, -4.8878,threshold risk
50, 0.0689, -4.9426,threshold risk
51, 0.0711, -4.9991,threshold risk
52, 0.0728, -5.0569,threshold risk
53, 0.0740, -5.1156,threshold risk
54, 0.0748, -5.1750,threshold risk
55, 0.0750, -5.2345,threshold risk
56, 0.8347, -5.8858,threshold risk
57, 0.0740, -5.9446,threshold risk
58, 0.0727, -6.0023,threshold risk
59, 0.0710, -6.0587,threshold risk
60, 0.0688, -6.1134,threshold risk
61, 0.0663, -6.1662,threshold risk
62, 0.0634, -6.2167,threshold risk
63, 0.0603, -6.2648,threshold risk
64, 0.8170, -6.9023,threshold risk
65, 0.0535, -6.9450,threshold risk
66, 0.0499, -6.9850,threshold risk
67, 0.0463, -7.0222,threshold risk
68, 0.0429, -7.0567,threshold risk
69, 0.0395, -7.0886,threshold risk
70, 0.0364, -7.1180,threshold risk
71, 0.0336, -7.1453,threshold risk
72, 0.7910, -7.7626,threshold risk
73, 0.0289, -7.7862,threshold risk
74, 0.0272, -7.8085,threshold risk
75, 0.0260, -7.8298,threshold risk
76, 0.0252, -7.8506,threshold risk
77, 0.0250, -7.8712,threshold risk
78, 0.0253, -7.8919,threshold risk
79, 0.0260, -7.9133,threshold risk
80, 0.7873, -8.5277,threshold risk
81, 0.0290, -8.5515,threshold risk
82, 0.0312, -8.5768,threshold risk
83, 0.0337, -8.6042,threshold risk
84, 0.0366, -8.6338,threshold risk
