system_id,system_type,scenario_id,scenario_name,time_step,disturbance,resilience_margin,threshold_flag
S001,Coastal City,D001,Moderate forecastable risk,1,0.3336,0.9596,viable margin
S001,Coastal City,D001,Moderate forecastable risk,2,0.337,0.6975,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,3,0.6404,0.1991,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,4,0.3435,-0.0681,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,5,0.3464,-0.3375,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,6,0.6489,-0.8426,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,7,0.351,-1.1156,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,8,0.3527,-1.39,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,9,0.654,-1.899,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,10,0.3547,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,11,0.355,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,12,0.6547,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,13,0.354,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,14,0.3527,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,15,0.651,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,16,0.3489,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,17,0.3464,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,18,0.6435,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,19,0.3404,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,20,0.337,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,21,0.6335,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,22,0.33,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,23,0.3264,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,24,0.6229,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,25,0.3196,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,26,0.3165,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,27,0.6136,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,28,0.3111,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,29,0.3089,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,30,0.6072,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,31,0.306,-2.0,threshold risk
S001,Coastal City,D001,Moderate forecastable risk,32,0.3052,-2.0,threshold risk
