 direction,step,pressure,state,regime
Increasing Pressure,1,-0.80000,-0.90000,lower regime
Increasing Pressure,2,-0.78994,-0.95705,lower regime
Increasing Pressure,3,-0.77987,-1.00963,lower regime
Increasing Pressure,4,-0.76981,-1.05724,lower regime
Increasing Pressure,5,-0.75975,-1.09958,lower regime
Increasing Pressure,6,-0.74969,-1.13656,lower regime
Increasing Pressure,7,-0.73962,-1.16833,lower regime
Increasing Pressure,8,-0.72956,-1.19517,lower regime
Increasing Pressure,9,-0.71950,-1.21749,lower regime
Increasing Pressure,10,-0.70943,-1.23578,lower regime
Increasing Pressure,11,-0.69937,-1.25053,lower regime
Increasing Pressure,12,-0.68931,-1.26225,lower regime
Increasing Pressure,13,-0.67925,-1.27139,lower regime
Increasing Pressure,14,-0.66918,-1.27838,lower regime
Increasing Pressure,15,-0.65912,-1.28358,lower regime
Increasing Pressure,16,-0.64906,-1.28731,lower regime
Increasing Pressure,17,-0.63899,-1.28983,lower regime
Increasing Pressure,18,-0.62893,-1.29137,lower regime
Increasing Pressure,19,-0.61887,-1.29212,lower regime
Increasing Pressure,20,-0.60881,-1.29223,lower regime
Increasing Pressure,21,-0.59874,-1.29180,lower regime
Increasing Pressure,22,-0.58868,-1.29096,lower regime
Increasing Pressure,23,-0.57862,-1.28978,lower regime
Increasing Pressure,24,-0.56855,-1.28831,lower regime
Increasing Pressure,25,-0.55849,-1.28662,lower regime
Increasing Pressure,26,-0.54843,-1.28475,lower regime
Increasing Pressure,27,-0.53836,-1.28272,lower regime
Increasing Pressure,28,-0.52830,-1.28057,lower regime
Increasing Pressure,29,-0.51824,-1.27832,lower regime
Increasing Pressure,30,-0.50818,-1.27598,lower regime
Increasing Pressure,31,-0.49811,-1.27357,lower regime
Increasing Pressure,32,-0.48805,-1.27110,lower regime
Increasing Pressure,33,-0.47799,-1.26858,lower regime
Increasing Pressure,34,-0.46792,-1.26602,lower regime
Increasing Pressure,35,-0.45786,-1.26341,lower regime
Increasing Pressure,36,-0.44780,-1.26077,lower regime
Increasing Pressure,37,-0.43774,-1.25810,lower regime
Increasing Pressure,38,-0.42767,-1.25541,lower regime
Increasing Pressure,39,-0.41761,-1.25268,lower regime
Increasing Pressure,40,-0.40755,-1.24993,lower regime
Increasing Pressure,41,-0.39748,-1.24716,lower regime
Increasing Pressure,42,-0.38742,-1.24437,lower regime
Increasing Pressure,43,-0.37736,-1.24156,lower regime
Increasing Pressure,44,-0.36730,-1.23873,lower regime
