step,pressure,state,direction,rolling_variance,rolling_autocorr,recovery_speed_proxy,threshold_proximity_score
1,-0.8,-0.9,Increasing Pressure,NA,NA,NA,NA
2,-0.789937106918239,-0.9570468553459119,Increasing Pressure,NA,NA,NA,NA
3,-0.779874213836478,-1.0096335655300777,Increasing Pressure,NA,NA,NA,NA
4,-0.769811320754717,-1.057243145129949,Increasing Pressure,NA,NA,NA,NA
5,-0.759748427672956,-1.0995777881492763,Increasing Pressure,NA,NA,NA,NA
6,-0.749685534591195,-1.1365633342090924,Increasing Pressure,NA,NA,NA,NA
7,-0.739622641509434,-1.168328992370985,Increasing Pressure,NA,NA,NA,NA
8,-0.729559748427673,-1.1951686958766563,Increasing Pressure,NA,NA,NA,NA
9,-0.719496855345912,-1.217493026255772,Increasing Pressure,NA,NA,NA,NA
10,-0.709433962264151,-1.2357804635503924,Increasing Pressure,NA,NA,NA,NA
11,-0.69937106918239,-1.2505345308308673,Increasing Pressure,NA,NA,NA,NA
12,-0.689308176100629,-1.2622504272415283,Increasing Pressure,NA,NA,NA,NA
13,-0.679245283018868,-1.2713920425379066,Increasing Pressure,NA,NA,NA,NA
14,-0.669182389937107,-1.2783783814932017,Increasing Pressure,NA,NA,NA,NA
15,-0.659119496855346,-1.2835774835108624,Increasing Pressure,NA,NA,NA,NA
16,-0.649056603773585,-1.287305700782715,Increasing Pressure,0.015527127814591054,0.9996733304473534,3.266695526465968e-4,0.5590277777777778
17,-0.638993710691824,-1.2898304121767803,Increasing Pressure,0.01134767039303006,0.9996845134690242,3.154865309757948e-4,0.5625
18,-0.628930817610063,-1.2913746538875612,Increasing Pressure,0.008060401590365173,0.9996843835087439,3.156164912561099e-4,0.5555555555555556
19,-0.618867924528302,-1.2921225793354185,Increasing Pressure,0.005561249554111326,0.9996647798304047,3.352201695953072e-4,0.5451388888888888
20,-0.608805031446541,-1.2922250357650356,Increasing Pressure,0.0037231680301475184,0.9996115869570297,3.8841304297032586e-4,0.5381944444444444
21,-0.59874213836478,-1.2918048339991697,Increasing Pressure,0.0024144925594540454,0.9994967468470501,5.032531529498563e-4,0.513888888888889
22,-0.5886792452830188,-1.290961492058727,Increasing Pressure,0.001512381355474419,0.9992581566830752,7.418433169248395e-4,0.47222222222222227
23,-0.5786163522012578,-1.2897753674232704,Increasing Pressure,9.107997112332404e-4,0.9987444164981151,0.001255583501884927,0.4201388888888889
24,-0.5685534591194968,-1.2883111743218782,Increasing Pressure,5.237093473908038e-4,0.9975453069771667,0.0024546930228332986,0.34375
25,-0.5584905660377358,-1.2866209276579847,Increasing Pressure,2.847745603096803e-4,0.994405252594987,0.005594747405012979,0.22569444444444445
26,-0.5484276729559748,-1.2847463766289149,Increasing Pressure,1.4501207611626818e-4,0.9849957520601244,0.015004247939875648,0.06944444444444445
27,-0.5383647798742138,-1.2827209979602061,Increasing Pressure,6.957224814905609e-5,0.9545419629514805,0.04545803704851947,0.03125
28,-0.5283018867924528,-1.28057161717611,Increasing Pressure,3.445936298682314e-5,0.8834066593046628,0.11659334069533722,0.010416666666666666
29,-0.5182389937106918,-1.278319720510402,Increasing Pressure,2.363551208482416e-5,0.8656126301086361,0.1343873698913639,0
30,-0.5081761006289308,-1.2759825124159168,Increasing Pressure,2.6681493625162034e-5,0.9391614358704112,0.06083856412958877,0.010416666666666666
