step,pressure,state,direction,regime
1,-0.8,-0.9,Increasing Pressure,lower regime
2,-0.789937106918239,-0.9570468553459119,Increasing Pressure,lower regime
3,-0.779874213836478,-1.0096335655300777,Increasing Pressure,lower regime
4,-0.769811320754717,-1.057243145129949,Increasing Pressure,lower regime
5,-0.759748427672956,-1.0995777881492763,Increasing Pressure,lower regime
6,-0.749685534591195,-1.1365633342090924,Increasing Pressure,lower regime
7,-0.739622641509434,-1.168328992370985,Increasing Pressure,lower regime
8,-0.729559748427673,-1.1951686958766563,Increasing Pressure,lower regime
9,-0.719496855345912,-1.217493026255772,Increasing Pressure,lower regime
10,-0.709433962264151,-1.2357804635503924,Increasing Pressure,lower regime
11,-0.69937106918239,-1.2505345308308673,Increasing Pressure,lower regime
12,-0.689308176100629,-1.2622504272415283,Increasing Pressure,lower regime
13,-0.679245283018868,-1.2713920425379066,Increasing Pressure,lower regime
14,-0.669182389937107,-1.2783783814932017,Increasing Pressure,lower regime
15,-0.659119496855346,-1.2835774835108624,Increasing Pressure,lower regime
16,-0.649056603773585,-1.287305700782715,Increasing Pressure,lower regime
17,-0.638993710691824,-1.2898304121767803,Increasing Pressure,lower regime
18,-0.628930817610063,-1.2913746538875612,Increasing Pressure,lower regime
19,-0.618867924528302,-1.2921225793354185,Increasing Pressure,lower regime
20,-0.608805031446541,-1.2922250357650356,Increasing Pressure,lower regime
21,-0.59874213836478,-1.2918048339991697,Increasing Pressure,lower regime
22,-0.5886792452830188,-1.290961492058727,Increasing Pressure,lower regime
23,-0.5786163522012578,-1.2897753674232704,Increasing Pressure,lower regime
24,-0.5685534591194968,-1.2883111743218782,Increasing Pressure,lower regime
25,-0.5584905660377358,-1.2866209276579847,Increasing Pressure,lower regime
26,-0.5484276729559748,-1.2847463766289149,Increasing Pressure,lower regime
27,-0.5383647798742138,-1.2827209979602061,Increasing Pressure,lower regime
28,-0.5283018867924528,-1.28057161717611,Increasing Pressure,lower regime
29,-0.5182389937106918,-1.278319720510402,Increasing Pressure,lower regime
30,-0.5081761006289308,-1.2759825124159168,Increasing Pressure,lower regime
31,-0.4981132075471698,-1.2735737656094028,Increasing Pressure,lower regime
32,-0.4880503144654088,-1.2711045029763353,Increasing Pressure,lower regime
33,-0.4779874213836478,-1.2685835438330872,Increasing Pressure,lower regime
34,-0.4679245283018868,-1.2660179411336963,Increasing Pressure,lower regime
35,-0.4578616352201258,-1.2634133312126465,Increasing Pressure,lower regime
36,-0.4477987421383648,-1.260774213502073,Increasing Pressure,lower regime
37,-0.4377358490566038,-1.2581041742506032,Increasing Pressure,lower regime
38,-0.4276729559748428,-1.255406065493691,Increasing Pressure,lower regime
39,-0.4176100628930818,-1.2526821482785995,Increasing Pressure,lower regime
40,-0.4075471698113208,-1.2499342073384414,Increasing Pressure,lower regime
41,-0.39748427672955977,-1.2471636429586666,Increasing Pressure,lower regime
42,-0.3874213836477987,-1.244371544618315,Increasing Pressure,lower regime
43,-0.3773584905660377,-1.2415587500610117,Increasing Pressure,lower regime
44,-0.3672955974842767,-1.2387258927109237,Increasing Pressure,lower regime
45,-0.3572327044025157,-1.235873439759288,Increasing Pressure,lower regime
46,-0.3471698113207547,-1.233001722777365,Increasing Pressure,lower regime
47,-0.3371069182389937,-1.2301109623374862,Increasing Pressure,lower regime
48,-0.3270440251572327,-1.2272012878257892,Increasing Pressure,lower regime
49,-0.3169811320754717,-1.2242727533927265,Increasing Pressure,lower regime
50,-0.3069182389937107,-1.2213253507981114,Increasing Pressure,lower regime
51,-0.2968553459119496,-1.2183590197564895,Increasing Pressure,lower regime
52,-0.2867924528301886,-1.21537365626814,Increasing Pressure,lower regime
53,-0.2767295597484276,-1.212369119324812,Increasing Pressure,lower regime
54,-0.2666666666666666,-1.2093452363024175,Increasing Pressure,lower regime
55,-0.2566037735849056,-1.2063018072914247,Increasing Pressure,lower regime
56,-0.2465408805031446,-1.203238608566482,Increasing Pressure,lower regime
57,-0.2364779874213836,-1.2001553953573783,Increasing Pressure,lower regime
58,-0.2264150943396226,-1.1970519040518317,Increasing Pressure,lower regime
59,-0.2163522012578616,-1.1939278539352243,Increasing Pressure,lower regime
60,-0.20628930817610058,-1.1907829485520167,Increasing Pressure,lower regime
61,-0.19622641509433958,-1.1876168767571746,Increasing Pressure,lower regime
62,-0.18616352201257858,-1.184429313512744,Increasing Pressure,lower regime
63,-0.17610062893081757,-1.1812199204740625,Increasing Pressure,lower regime
64,-0.16603773584905657,-1.1779883464015164,Increasing Pressure,lower regime
65,-0.15597484276729556,-1.174734227426799,Increasing Pressure,lower regime
66,-0.14591194968553456,-1.171457187197024,Increasing Pressure,lower regime
67,-0.13584905660377355,-1.1681568369154847,Increasing Pressure,lower regime
68,-0.12578616352201255,-1.1648327752941552,Increasing Pressure,lower regime
69,-0.11572327044025155,-1.1614845884300324,Increasing Pressure,lower regime
70,-0.10566037735849054,-1.158111849614951,Increasing Pressure,lower regime
71,-0.09559748427672954,-1.1547141190865096,Increasing Pressure,lower regime
72,-0.08553459119496853,-1.1512909437261016,Increasing Pressure,lower regime
73,-0.07547169811320753,-1.1478418567086837,Increasing Pressure,lower regime
74,-0.06540880503144653,-1.144366377107803,Increasing Pressure,lower regime
75,-0.05534591194968552,-1.1408640094584699,Increasing Pressure,lower regime
76,-0.04528301886792452,-1.1373342432796796,Increasing Pressure,lower regime
77,-0.035220125786163514,-1.1337765525577352,Increasing Pressure,lower regime
78,-0.02515723270440251,-1.130190395190955,Increasing Pressure,lower regime
79,-0.015094339622641506,-1.126575212395869,Increasing Pressure,lower regime
80,-0.005031446540880502,-1.1229304280745807,Increasing Pressure,lower regime
81,0.005031446540880502,-1.1192554481425976,Increasing Pressure,lower regime
82,0.015094339622641617,-1.115549659816093,Increasing Pressure,lower regime
83,0.02515723270440262,-1.1118124308572468,Increasing Pressure,lower regime
84,0.035220125786163625,-1.1080431087760236,Increasing Pressure,lower regime
85,0.04528301886792463,-1.104241019986463,Increasing Pressure,lower regime
86,0.05534591194968563,-1.1004054689152842,Increasing Pressure,lower regime
87,0.06540880503144664,-1.09653573706034,Increasing Pressure,lower regime
88,0.07547169811320764,-1.0926310819961766,Increasing Pressure,lower regime
89,0.08553459119496865,-1.0886907363236857,Increasing Pressure,lower regime
90,0.09559748427672965,-1.0847139065605402,Increasing Pressure,lower regime
91,0.10566037735849065,-1.08069977196881,Increasing Pressure,lower regime
92,0.11572327044025166,-1.0766474833158388,Increasing Pressure,lower regime
93,0.12578616352201266,-1.0725561615641228,Increasing Pressure,lower regime
