scenario_id,scenario_name,step,pressure,state,direction,regime
TH001,Gradual pressure with moderate recovery,1,-0.8,-0.959711,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,2,-0.789937,-1.015188,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,3,-0.779874,-1.064449,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,4,-0.769811,-1.095973,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,5,-0.759748,-1.135811,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,6,-0.749686,-1.190641,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,7,-0.739623,-1.209681,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,8,-0.72956,-1.234242,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,9,-0.719497,-1.253517,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,10,-0.709434,-1.263978,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,11,-0.699371,-1.270332,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,12,-0.689308,-1.261064,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,13,-0.679245,-1.260568,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,14,-0.669182,-1.26785,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,15,-0.659119,-1.286052,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,16,-0.649057,-1.304536,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,17,-0.638994,-1.300059,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,18,-0.628931,-1.279978,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,19,-0.618868,-1.282243,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,20,-0.608805,-1.285803,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,21,-0.598742,-1.278621,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,22,-0.588679,-1.302056,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,23,-0.578616,-1.303423,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,24,-0.568553,-1.29198,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,25,-0.558491,-1.276493,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,26,-0.548428,-1.280115,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,27,-0.538365,-1.273306,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,28,-0.528302,-1.269175,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,29,-0.518239,-1.257283,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,30,-0.508176,-1.275454,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,31,-0.498113,-1.264619,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,32,-0.48805,-1.286493,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,33,-0.477987,-1.32042,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,34,-0.467925,-1.317037,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,35,-0.457862,-1.318463,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,36,-0.447799,-1.292224,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,37,-0.437736,-1.273789,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,38,-0.427673,-1.286548,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,39,-0.41761,-1.265436,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,40,-0.407547,-1.275453,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,41,-0.397484,-1.269404,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,42,-0.387421,-1.267073,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,43,-0.377358,-1.258536,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,44,-0.367296,-1.240463,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,45,-0.357233,-1.227738,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,46,-0.34717,-1.220982,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,47,-0.337107,-1.210335,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,48,-0.327044,-1.203478,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,49,-0.316981,-1.213787,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,50,-0.306918,-1.223309,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,51,-0.296855,-1.227066,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,52,-0.286792,-1.215161,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,53,-0.27673,-1.215942,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,54,-0.266667,-1.177307,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,55,-0.256604,-1.191474,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,56,-0.246541,-1.207201,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,57,-0.236478,-1.191965,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,58,-0.226415,-1.1688,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,59,-0.216352,-1.162326,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,60,-0.206289,-1.151327,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,61,-0.196226,-1.132516,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,62,-0.186164,-1.138558,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,63,-0.176101,-1.163224,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,64,-0.166038,-1.170603,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,65,-0.155975,-1.15414,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,66,-0.145912,-1.175471,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,67,-0.135849,-1.17108,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,68,-0.125786,-1.163533,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,69,-0.115723,-1.165105,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,70,-0.10566,-1.15036,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,71,-0.095597,-1.139334,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,72,-0.085535,-1.103203,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,73,-0.075472,-1.096736,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,74,-0.065409,-1.108992,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,75,-0.055346,-1.118531,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,76,-0.045283,-1.13041,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,77,-0.03522,-1.113488,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,78,-0.025157,-1.121029,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,79,-0.015094,-1.11966,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,80,-0.005031,-1.105669,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,81,0.005031,-1.115025,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,82,0.015094,-1.116262,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,83,0.025157,-1.140054,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,84,0.03522,-1.148846,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,85,0.045283,-1.148213,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,86,0.055346,-1.132413,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,87,0.065409,-1.106577,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,88,0.075472,-1.101724,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,89,0.085535,-1.092767,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,90,0.095597,-1.085787,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,91,0.10566,-1.065377,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,92,0.115723,-1.049651,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,93,0.125786,-1.044412,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,94,0.135849,-1.058487,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,95,0.145912,-1.041853,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,96,0.155975,-1.034306,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,97,0.166038,-1.014334,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,98,0.176101,-1.014656,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,99,0.186164,-0.9847,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,100,0.196226,-0.991614,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,101,0.206289,-0.968148,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,102,0.216352,-0.96832,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,103,0.226415,-0.977445,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,104,0.236478,-0.994502,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,105,0.246541,-0.994931,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,106,0.256604,-0.971203,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,107,0.266667,-0.958093,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,108,0.27673,-0.947435,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,109,0.286792,-0.983057,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,110,0.296855,-0.969032,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,111,0.306918,-0.957993,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,112,0.316981,-0.963912,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,113,0.327044,-0.970026,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,114,0.337107,-0.965769,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,115,0.34717,-0.935445,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,116,0.357233,-0.948608,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,117,0.367296,-0.950896,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,118,0.377358,-0.925665,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,119,0.387421,-0.928868,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,120,0.397484,-0.930119,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,121,0.407547,-0.923848,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,122,0.41761,-0.937593,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,123,0.427673,-0.927955,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,124,0.437736,-0.939937,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,125,0.447799,-0.919144,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,126,0.457862,-0.912526,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,127,0.467925,-0.871637,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,128,0.477987,-0.862712,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,129,0.48805,-0.837482,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,130,0.498113,-0.853005,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,131,0.508176,-0.849575,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,132,0.518239,-0.83913,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,133,0.528302,-0.807334,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,134,0.538365,-0.827759,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,135,0.548428,-0.806785,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,136,0.558491,-0.792141,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,137,0.568553,-0.763385,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,138,0.578616,-0.747329,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,139,0.588679,-0.741084,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,140,0.598742,-0.743086,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,141,0.608805,-0.755438,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,142,0.618868,-0.745334,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,143,0.628931,-0.74078,Increasing Pressure,lower regime
TH001,Gradual pressure with moderate recovery,144,0.638994,-0.702648,Increasing Pressure,lower regime
