scenario_id,scenario_name,step,pressure,state,direction,regime,rolling_variance,rolling_autocorr,recovery_speed_proxy
TH001,Gradual pressure with moderate recovery,1,-0.8,-0.959711,Increasing Pressure,lower regime,,,
TH001,Gradual pressure with moderate recovery,2,-0.789937,-1.015188,Increasing Pressure,lower regime,,,
TH001,Gradual pressure with moderate recovery,3,-0.779874,-1.064449,Increasing Pressure,lower regime,,,
TH001,Gradual pressure with moderate recovery,4,-0.769811,-1.095973,Increasing Pressure,lower regime,,,
TH001,Gradual pressure with moderate recovery,5,-0.759748,-1.135811,Increasing Pressure,lower regime,,,
TH001,Gradual pressure with moderate recovery,6,-0.749686,-1.190641,Increasing Pressure,lower regime,,,
TH001,Gradual pressure with moderate recovery,7,-0.739623,-1.209681,Increasing Pressure,lower regime,,,
TH001,Gradual pressure with moderate recovery,8,-0.72956,-1.234242,Increasing Pressure,lower regime,,,
TH001,Gradual pressure with moderate recovery,9,-0.719497,-1.253517,Increasing Pressure,lower regime,,,
TH001,Gradual pressure with moderate recovery,10,-0.709434,-1.263978,Increasing Pressure,lower regime,,,
TH001,Gradual pressure with moderate recovery,11,-0.699371,-1.270332,Increasing Pressure,lower regime,,,
TH001,Gradual pressure with moderate recovery,12,-0.689308,-1.261064,Increasing Pressure,lower regime,,,
TH001,Gradual pressure with moderate recovery,13,-0.679245,-1.260568,Increasing Pressure,lower regime,,,
TH001,Gradual pressure with moderate recovery,14,-0.669182,-1.26785,Increasing Pressure,lower regime,,,
TH001,Gradual pressure with moderate recovery,15,-0.659119,-1.286052,Increasing Pressure,lower regime,,,
TH001,Gradual pressure with moderate recovery,16,-0.649057,-1.304536,Increasing Pressure,lower regime,0.011187,0.993258,0.006742
TH001,Gradual pressure with moderate recovery,17,-0.638994,-1.300059,Increasing Pressure,lower regime,0.007881,0.990076,0.009924
TH001,Gradual pressure with moderate recovery,18,-0.628931,-1.279978,Increasing Pressure,lower regime,0.005266,0.980615,0.019385
TH001,Gradual pressure with moderate recovery,19,-0.618868,-1.282243,Increasing Pressure,lower regime,0.003426,0.973994,0.026006
TH001,Gradual pressure with moderate recovery,20,-0.608805,-1.285803,Increasing Pressure,lower regime,0.001943,0.955705,0.044295
TH001,Gradual pressure with moderate recovery,21,-0.598742,-1.278621,Increasing Pressure,lower regime,0.000941,0.927186,0.072814
TH001,Gradual pressure with moderate recovery,22,-0.588679,-1.302056,Increasing Pressure,lower regime,0.000622,0.844111,0.155889
TH001,Gradual pressure with moderate recovery,23,-0.578616,-1.303423,Increasing Pressure,lower regime,0.000401,0.786252,0.213748
TH001,Gradual pressure with moderate recovery,24,-0.568553,-1.29198,Increasing Pressure,lower regime,0.000279,0.729182,0.270818
TH001,Gradual pressure with moderate recovery,25,-0.558491,-1.276493,Increasing Pressure,lower regime,0.000229,0.652078,0.347922
TH001,Gradual pressure with moderate recovery,26,-0.548428,-1.280115,Increasing Pressure,lower regime,0.000206,0.627111,0.372889
TH001,Gradual pressure with moderate recovery,27,-0.538365,-1.273306,Increasing Pressure,lower regime,0.000201,0.595935,0.404065
TH001,Gradual pressure with moderate recovery,28,-0.528302,-1.269175,Increasing Pressure,lower regime,0.000181,0.523069,0.476931
TH001,Gradual pressure with moderate recovery,29,-0.518239,-1.257283,Increasing Pressure,lower regime,0.000192,0.518884,0.481116
TH001,Gradual pressure with moderate recovery,30,-0.508176,-1.275454,Increasing Pressure,lower regime,0.00018,0.567001,0.432999
TH001,Gradual pressure with moderate recovery,31,-0.498113,-1.264619,Increasing Pressure,lower regime,0.000203,0.622939,0.377061
TH001,Gradual pressure with moderate recovery,32,-0.48805,-1.286493,Increasing Pressure,lower regime,0.000171,0.468948,0.531052
TH001,Gradual pressure with moderate recovery,33,-0.477987,-1.32042,Increasing Pressure,lower regime,0.000247,0.476705,0.523295
TH001,Gradual pressure with moderate recovery,34,-0.467925,-1.317037,Increasing Pressure,lower regime,0.000318,0.62491,0.37509
TH001,Gradual pressure with moderate recovery,35,-0.457862,-1.318463,Increasing Pressure,lower regime,0.000385,0.69841,0.30159
TH001,Gradual pressure with moderate recovery,36,-0.447799,-1.292224,Increasing Pressure,lower regime,0.000386,0.659595,0.340405
TH001,Gradual pressure with moderate recovery,37,-0.437736,-1.273789,Increasing Pressure,lower regime,0.000394,0.678874,0.321126
TH001,Gradual pressure with moderate recovery,38,-0.427673,-1.286548,Increasing Pressure,lower regime,0.000379,0.652316,0.347684
TH001,Gradual pressure with moderate recovery,39,-0.41761,-1.265436,Increasing Pressure,lower regime,0.000384,0.627022,0.372978
TH001,Gradual pressure with moderate recovery,40,-0.407547,-1.275453,Increasing Pressure,lower regime,0.000384,0.645757,0.354243
TH001,Gradual pressure with moderate recovery,41,-0.397484,-1.269404,Increasing Pressure,lower regime,0.000394,0.650583,0.349417
TH001,Gradual pressure with moderate recovery,42,-0.387421,-1.267073,Increasing Pressure,lower regime,0.000409,0.663534,0.336466
TH001,Gradual pressure with moderate recovery,43,-0.377358,-1.258536,Increasing Pressure,lower regime,0.00044,0.67449,0.32551
TH001,Gradual pressure with moderate recovery,44,-0.367296,-1.240463,Increasing Pressure,lower regime,0.000537,0.698386,0.301614
TH001,Gradual pressure with moderate recovery,45,-0.357233,-1.227738,Increasing Pressure,lower regime,0.000679,0.785804,0.214196
TH001,Gradual pressure with moderate recovery,46,-0.34717,-1.220982,Increasing Pressure,lower regime,0.000878,0.838789,0.161211
TH001,Gradual pressure with moderate recovery,47,-0.337107,-1.210335,Increasing Pressure,lower regime,0.001131,0.896556,0.103444
TH001,Gradual pressure with moderate recovery,48,-0.327044,-1.203478,Increasing Pressure,lower regime,0.001386,0.952204,0.047796
TH001,Gradual pressure with moderate recovery,49,-0.316981,-1.213787,Increasing Pressure,lower regime,0.001315,0.943164,0.056836
TH001,Gradual pressure with moderate recovery,50,-0.306918,-1.223309,Increasing Pressure,lower regime,0.001137,0.932743,0.067257
TH001,Gradual pressure with moderate recovery,51,-0.296855,-1.227066,Increasing Pressure,lower regime,0.00086,0.925622,0.074378
TH001,Gradual pressure with moderate recovery,52,-0.286792,-1.215161,Increasing Pressure,lower regime,0.000769,0.92273,0.07727
TH001,Gradual pressure with moderate recovery,53,-0.27673,-1.215942,Increasing Pressure,lower regime,0.000736,0.932424,0.067576
TH001,Gradual pressure with moderate recovery,54,-0.266667,-1.177307,Increasing Pressure,lower regime,0.000787,0.888303,0.111697
TH001,Gradual pressure with moderate recovery,55,-0.256604,-1.191474,Increasing Pressure,lower regime,0.000798,0.882659,0.117341
TH001,Gradual pressure with moderate recovery,56,-0.246541,-1.207201,Increasing Pressure,lower regime,0.000652,0.840657,0.159343
TH001,Gradual pressure with moderate recovery,57,-0.236478,-1.191965,Increasing Pressure,lower regime,0.000548,0.785829,0.214171
TH001,Gradual pressure with moderate recovery,58,-0.226415,-1.1688,Increasing Pressure,lower regime,0.000512,0.708993,0.291007
TH001,Gradual pressure with moderate recovery,59,-0.216352,-1.162326,Increasing Pressure,lower regime,0.000495,0.735984,0.264016
TH001,Gradual pressure with moderate recovery,60,-0.206289,-1.151327,Increasing Pressure,lower regime,0.000583,0.790749,0.209251
TH001,Gradual pressure with moderate recovery,61,-0.196226,-1.132516,Increasing Pressure,lower regime,0.000804,0.845896,0.154104
TH001,Gradual pressure with moderate recovery,62,-0.186164,-1.138558,Increasing Pressure,lower regime,0.000938,0.870442,0.129558
TH001,Gradual pressure with moderate recovery,63,-0.176101,-1.163224,Increasing Pressure,lower regime,0.000945,0.850198,0.149802
TH001,Gradual pressure with moderate recovery,64,-0.166038,-1.170603,Increasing Pressure,lower regime,0.000938,0.850485,0.149515
TH001,Gradual pressure with moderate recovery,65,-0.155975,-1.15414,Increasing Pressure,lower regime,0.000927,0.840336,0.159664
TH001,Gradual pressure with moderate recovery,66,-0.145912,-1.175471,Increasing Pressure,lower regime,0.000798,0.789499,0.210501
TH001,Gradual pressure with moderate recovery,67,-0.135849,-1.17108,Increasing Pressure,lower regime,0.000625,0.736293,0.263707
TH001,Gradual pressure with moderate recovery,68,-0.125786,-1.163533,Increasing Pressure,lower regime,0.00051,0.661197,0.338803
TH001,Gradual pressure with moderate recovery,69,-0.115723,-1.165105,Increasing Pressure,lower regime,0.000367,0.703788,0.296212
TH001,Gradual pressure with moderate recovery,70,-0.10566,-1.15036,Increasing Pressure,lower regime,0.000378,0.698052,0.301948
TH001,Gradual pressure with moderate recovery,71,-0.095597,-1.139334,Increasing Pressure,lower regime,0.000371,0.677119,0.322881
TH001,Gradual pressure with moderate recovery,72,-0.085535,-1.103203,Increasing Pressure,lower regime,0.000432,0.583658,0.416342
TH001,Gradual pressure with moderate recovery,73,-0.075472,-1.096736,Increasing Pressure,lower regime,0.000547,0.757656,0.242344
TH001,Gradual pressure with moderate recovery,74,-0.065409,-1.108992,Increasing Pressure,lower regime,0.000624,0.788052,0.211948
TH001,Gradual pressure with moderate recovery,75,-0.055346,-1.118531,Increasing Pressure,lower regime,0.000652,0.803069,0.196931
TH001,Gradual pressure with moderate recovery,76,-0.045283,-1.13041,Increasing Pressure,lower regime,0.000659,0.816749,0.183251
TH001,Gradual pressure with moderate recovery,77,-0.03522,-1.113488,Increasing Pressure,lower regime,0.000707,0.81505,0.18495
TH001,Gradual pressure with moderate recovery,78,-0.025157,-1.121029,Increasing Pressure,lower regime,0.000733,0.850128,0.149872
TH001,Gradual pressure with moderate recovery,79,-0.015094,-1.11966,Increasing Pressure,lower regime,0.000718,0.848814,0.151186
TH001,Gradual pressure with moderate recovery,80,-0.005031,-1.105669,Increasing Pressure,lower regime,0.000696,0.847848,0.152152
TH001,Gradual pressure with moderate recovery,81,0.005031,-1.115025,Increasing Pressure,lower regime,0.000685,0.864948,0.135052
TH001,Gradual pressure with moderate recovery,82,0.015094,-1.116262,Increasing Pressure,lower regime,0.000553,0.83005,0.16995
TH001,Gradual pressure with moderate recovery,83,0.025157,-1.140054,Increasing Pressure,lower regime,0.000433,0.716876,0.283124
TH001,Gradual pressure with moderate recovery,84,0.03522,-1.148846,Increasing Pressure,lower regime,0.000372,0.626061,0.373939
TH001,Gradual pressure with moderate recovery,85,0.045283,-1.148213,Increasing Pressure,lower regime,0.000298,0.584872,0.415128
TH001,Gradual pressure with moderate recovery,86,0.055346,-1.132413,Increasing Pressure,lower regime,0.000254,0.549348,0.450652
TH001,Gradual pressure with moderate recovery,87,0.065409,-1.106577,Increasing Pressure,lower regime,0.000247,0.621063,0.378937
TH001,Gradual pressure with moderate recovery,88,0.075472,-1.101724,Increasing Pressure,lower regime,0.000251,0.604936,0.395064
TH001,Gradual pressure with moderate recovery,89,0.085535,-1.092767,Increasing Pressure,lower regime,0.000264,0.644453,0.355547
TH001,Gradual pressure with moderate recovery,90,0.095597,-1.085787,Increasing Pressure,lower regime,0.000332,0.732158,0.267842
TH001,Gradual pressure with moderate recovery,91,0.10566,-1.065377,Increasing Pressure,lower regime,0.000508,0.814925,0.185075
TH001,Gradual pressure with moderate recovery,92,0.115723,-1.049651,Increasing Pressure,lower regime,0.000752,0.888229,0.111771
TH001,Gradual pressure with moderate recovery,93,0.125786,-1.044412,Increasing Pressure,lower regime,0.00102,0.922163,0.077837
TH001,Gradual pressure with moderate recovery,94,0.135849,-1.058487,Increasing Pressure,lower regime,0.001137,0.918257,0.081743
TH001,Gradual pressure with moderate recovery,95,0.145912,-1.041853,Increasing Pressure,lower regime,0.001332,0.92986,0.07014
TH001,Gradual pressure with moderate recovery,96,0.155975,-1.034306,Increasing Pressure,lower regime,0.001568,0.94408,0.05592
TH001,Gradual pressure with moderate recovery,97,0.166038,-1.014334,Increasing Pressure,lower regime,0.001901,0.951619,0.048381
TH001,Gradual pressure with moderate recovery,98,0.176101,-1.014656,Increasing Pressure,lower regime,0.002141,0.969243,0.030757
TH001,Gradual pressure with moderate recovery,99,0.186164,-0.9847,Increasing Pressure,lower regime,0.002404,0.969159,0.030841
TH001,Gradual pressure with moderate recovery,100,0.196226,-0.991614,Increasing Pressure,lower regime,0.002302,0.965674,0.034326
TH001,Gradual pressure with moderate recovery,101,0.206289,-0.968148,Increasing Pressure,lower regime,0.002221,0.959076,0.040924
TH001,Gradual pressure with moderate recovery,102,0.216352,-0.96832,Increasing Pressure,lower regime,0.002083,0.961853,0.038147
TH001,Gradual pressure with moderate recovery,103,0.226415,-0.977445,Increasing Pressure,lower regime,0.00196,0.955364,0.044636
TH001,Gradual pressure with moderate recovery,104,0.236478,-0.994502,Increasing Pressure,lower regime,0.001665,0.938205,0.061795
TH001,Gradual pressure with moderate recovery,105,0.246541,-0.994931,Increasing Pressure,lower regime,0.001368,0.924183,0.075817
TH001,Gradual pressure with moderate recovery,106,0.256604,-0.971203,Increasing Pressure,lower regime,0.001154,0.898747,0.101253
TH001,Gradual pressure with moderate recovery,107,0.266667,-0.958093,Increasing Pressure,lower regime,0.001093,0.893963,0.106037
TH001,Gradual pressure with moderate recovery,108,0.27673,-0.947435,Increasing Pressure,lower regime,0.001127,0.895039,0.104961
TH001,Gradual pressure with moderate recovery,109,0.286792,-0.983057,Increasing Pressure,lower regime,0.00098,0.838001,0.161999
TH001,Gradual pressure with moderate recovery,110,0.296855,-0.969032,Increasing Pressure,lower regime,0.000711,0.768624,0.231376
TH001,Gradual pressure with moderate recovery,111,0.306918,-0.957993,Increasing Pressure,lower regime,0.000552,0.679212,0.320788
