direction,step,pressure,state,regime
Increasing Pressure,1,-0.8,-0.9,lower regime
Increasing Pressure,2,-0.789937,-0.957047,lower regime
Increasing Pressure,3,-0.779874,-1.00963,lower regime
Increasing Pressure,4,-0.769811,-1.05724,lower regime
Increasing Pressure,5,-0.759748,-1.09958,lower regime
Increasing Pressure,6,-0.749686,-1.13656,lower regime
Increasing Pressure,7,-0.739623,-1.16833,lower regime
Increasing Pressure,8,-0.72956,-1.19517,lower regime
Increasing Pressure,9,-0.719497,-1.21749,lower regime
Increasing Pressure,10,-0.709434,-1.23578,lower regime
Increasing Pressure,11,-0.699371,-1.25053,lower regime
Increasing Pressure,12,-0.689308,-1.26225,lower regime
Increasing Pressure,13,-0.679245,-1.27139,lower regime
Increasing Pressure,14,-0.669182,-1.27838,lower regime
Increasing Pressure,15,-0.659119,-1.28358,lower regime
Increasing Pressure,16,-0.649057,-1.28731,lower regime
Increasing Pressure,17,-0.638994,-1.28983,lower regime
Increasing Pressure,18,-0.628931,-1.29137,lower regime
Increasing Pressure,19,-0.618868,-1.29212,lower regime
Increasing Pressure,20,-0.608805,-1.29223,lower regime
Increasing Pressure,21,-0.598742,-1.2918,lower regime
Increasing Pressure,22,-0.588679,-1.29096,lower regime
Increasing Pressure,23,-0.578616,-1.28978,lower regime
Increasing Pressure,24,-0.568553,-1.28831,lower regime
Increasing Pressure,25,-0.558491,-1.28662,lower regime
Increasing Pressure,26,-0.548428,-1.28475,lower regime
Increasing Pressure,27,-0.538365,-1.28272,lower regime
Increasing Pressure,28,-0.528302,-1.28057,lower regime
Increasing Pressure,29,-0.518239,-1.27832,lower regime
Increasing Pressure,30,-0.508176,-1.27598,lower regime
Increasing Pressure,31,-0.498113,-1.27357,lower regime
Increasing Pressure,32,-0.48805,-1.2711,lower regime
Increasing Pressure,33,-0.477987,-1.26858,lower regime
Increasing Pressure,34,-0.467925,-1.26602,lower regime
Increasing Pressure,35,-0.457862,-1.26341,lower regime
Increasing Pressure,36,-0.447799,-1.26077,lower regime
Increasing Pressure,37,-0.437736,-1.2581,lower regime
Increasing Pressure,38,-0.427673,-1.25541,lower regime
Increasing Pressure,39,-0.41761,-1.25268,lower regime
Increasing Pressure,40,-0.407547,-1.24993,lower regime
Increasing Pressure,41,-0.397484,-1.24716,lower regime
Increasing Pressure,42,-0.387421,-1.24437,lower regime
Increasing Pressure,43,-0.377358,-1.24156,lower regime
Increasing Pressure,44,-0.367296,-1.23873,lower regime
Increasing Pressure,45,-0.357233,-1.23587,lower regime
Increasing Pressure,46,-0.34717,-1.233,lower regime
Increasing Pressure,47,-0.337107,-1.23011,lower regime
Increasing Pressure,48,-0.327044,-1.2272,lower regime
Increasing Pressure,49,-0.316981,-1.22427,lower regime
Increasing Pressure,50,-0.306918,-1.22133,lower regime
Increasing Pressure,51,-0.296855,-1.21836,lower regime
Increasing Pressure,52,-0.286792,-1.21537,lower regime
Increasing Pressure,53,-0.27673,-1.21237,lower regime
Increasing Pressure,54,-0.266667,-1.20935,lower regime
Increasing Pressure,55,-0.256604,-1.2063,lower regime
Increasing Pressure,56,-0.246541,-1.20324,lower regime
Increasing Pressure,57,-0.236478,-1.20016,lower regime
Increasing Pressure,58,-0.226415,-1.19705,lower regime
