system_id,system,system_domain,time,event,stress_load,adaptive_response,function_level,threshold_proximity,justice_weighted_function
SYS001,Urban Heat System,urban public health,0,background climate stress,0.15171,0.123,0.82524,0.52156,0.86915
SYS001,Urban Heat System,urban public health,1,background climate stress,0.15542,0.123,0.82903,0.52319,0.87313
SYS001,Urban Heat System,urban public health,2,background climate stress,0.15919,0.123,0.83132,0.5249,0.87555
SYS001,Urban Heat System,urban public health,3,background climate stress,0.15955,0.123,0.83336,0.52661,0.87769
SYS001,Urban Heat System,urban public health,4,background climate stress,0.16073,0.123,0.83483,0.52835,0.87924
SYS001,Urban Heat System,urban public health,5,background climate stress,0.15899,0.123,0.83678,0.53006,0.8813
SYS001,Urban Heat System,urban public health,6,background climate stress,0.16323,0.123,0.83708,0.53184,0.88161
SYS001,Urban Heat System,urban public health,7,background climate stress,0.16178,0.123,0.83775,0.5336,0.88232
SYS001,Urban Heat System,urban public health,8,background climate stress,0.15865,0.123,0.83941,0.5353,0.88406
SYS001,Urban Heat System,urban public health,9,background climate stress,0.16297,0.123,0.83937,0.53708,0.88403
SYS001,Urban Heat System,urban public health,10,background climate stress,0.16025,0.123,0.84017,0.53881,0.88487
SYS001,Urban Heat System,urban public health,11,background climate stress,0.16916,0.123,0.83763,0.54072,0.88219
SYS001,Urban Heat System,urban public health,12,Extreme heat and grid stress,0.71889,0.123,0.63703,0.55362,0.56747
SYS001,Urban Heat System,urban public health,13,background climate stress,0.17265,0.123,0.63205,0.5556,0.66567
SYS001,Urban Heat System,urban public health,14,background climate stress,0.16813,0.123,0.62853,0.55749,0.66197
SYS001,Urban Heat System,urban public health,15,background climate stress,0.16886,0.123,0.62461,0.55939,0.65783
SYS001,Urban Heat System,urban public health,16,background climate stress,0.17395,0.123,0.61869,0.56139,0.65161
SYS001,Urban Heat System,urban public health,17,background climate stress,0.16986,0.123,0.61409,0.56331,0.64676
SYS001,Urban Heat System,urban public health,18,background climate stress,0.1706,0.123,0.60907,0.56525,0.64148
SYS001,Urban Heat System,urban public health,19,background climate stress,0.17166,0.123,0.60352,0.5672,0.63562
SYS001,Urban Heat System,urban public health,20,background climate stress,0.17406,0.123,0.59694,0.56921,0.62869
SYS001,Urban Heat System,urban public health,21,background climate stress,0.17755,0.123,0.58894,0.57128,0.62027
SYS001,Urban Heat System,urban public health,22,background climate stress,0.18158,0.123,0.57933,0.57344,0.61015
SYS001,Urban Heat System,urban public health,23,background climate stress,0.1758,0.123,0.57163,0.57548,0.60204
