scenario_id,scenario_name,time_step,value,target,reinforcing_gain,effective_balancing,delay_steps,disturbance,overshoot
FL001,Balanced adaptive response,1,29.61238,75.0,0.04,0.16023,3,0.0,0.0
FL001,Balanced adaptive response,2,39.62162,75.0,0.04,0.16045,3,0.0,0.0
FL001,Balanced adaptive response,3,50.04361,75.0,0.04,0.16068,3,0.0,0.0
FL001,Balanced adaptive response,4,59.34822,75.0,0.04,0.1609,3,0.0,0.0
FL001,Balanced adaptive response,5,67.42249,75.0,0.04,0.16112,3,0.0,0.0
FL001,Balanced adaptive response,6,74.14611,75.0,0.04,0.16135,3,0.0,0.0
FL001,Balanced adaptive response,7,79.64089,75.0,0.04,0.16157,3,0.0,4.64089
FL001,Balanced adaptive response,8,84.05256,75.0,0.04,0.1618,3,0.0,9.05256
FL001,Balanced adaptive response,9,87.55302,75.0,0.04,0.16203,3,0.0,12.55302
FL001,Balanced adaptive response,10,90.30215,75.0,0.04,0.16225,3,0.0,15.30215
FL001,Balanced adaptive response,11,92.44343,75.0,0.04,0.16248,3,0.0,17.44343
FL001,Balanced adaptive response,12,102.09879,75.0,0.04,0.1627,3,8.0,27.09879
FL001,Balanced adaptive response,13,103.68963,75.0,0.04,0.16293,3,0.0,28.68963
FL001,Balanced adaptive response,14,104.99132,75.0,0.04,0.16315,3,0.0,29.99132
FL001,Balanced adaptive response,15,104.76371,75.0,0.04,0.16337,3,0.0,29.76371
FL001,Balanced adaptive response,16,104.26064,75.0,0.04,0.1636,3,0.0,29.26064
FL001,Balanced adaptive response,17,103.51773,75.0,0.04,0.16382,3,0.0,28.51773
FL001,Balanced adaptive response,18,102.77571,75.0,0.04,0.16405,3,0.0,27.77571
FL001,Balanced adaptive response,19,102.07994,75.0,0.04,0.16428,3,0.0,27.07994
FL001,Balanced adaptive response,20,101.47197,75.0,0.04,0.1645,3,0.0,26.47197
FL001,Balanced adaptive response,21,100.9555,75.0,0.04,0.16473,3,0.0,25.9555
FL001,Balanced adaptive response,22,100.52688,75.0,0.04,0.16495,3,0.0,25.52688
FL001,Balanced adaptive response,23,100.17545,75.0,0.04,0.16518,3,0.0,25.17545
FL001,Balanced adaptive response,24,99.88943,75.0,0.04,0.1654,3,0.0,24.88943
FL001,Balanced adaptive response,25,99.65712,75.0,0.04,0.16562,3,0.0,24.65712
FL001,Balanced adaptive response,26,99.46805,75.0,0.04,0.16585,3,0.0,24.46805
FL001,Balanced adaptive response,27,99.31326,75.0,0.04,0.16608,3,0.0,24.31326
FL001,Balanced adaptive response,28,99.18531,75.0,0.04,0.1663,3,0.0,24.18531
FL001,Balanced adaptive response,29,99.07818,75.0,0.04,0.16653,3,0.0,24.07818
FL001,Balanced adaptive response,30,98.98708,75.0,0.04,0.16675,3,0.0,23.98708
FL001,Balanced adaptive response,31,98.90822,75.0,0.04,0.16698,3,0.0,23.90822
FL001,Balanced adaptive response,32,98.83867,75.0,0.04,0.1672,3,0.0,23.83867
FL001,Balanced adaptive response,33,98.77618,75.0,0.04,0.16742,3,0.0,23.77618
FL001,Balanced adaptive response,34,98.71902,75.0,0.04,0.16765,3,0.0,23.71902
FL001,Balanced adaptive response,35,98.66586,75.0,0.04,0.16787,3,0.0,23.66586
FL001,Balanced adaptive response,36,98.61572,75.0,0.04,0.1681,3,0.0,23.61572
FL001,Balanced adaptive response,37,98.56784,75.0,0.04,0.16833,3,0.0,23.56784
FL001,Balanced adaptive response,38,98.52168,75.0,0.04,0.16855,3,0.0,23.52168
FL001,Balanced adaptive response,39,98.4768,75.0,0.04,0.16878,3,0.0,23.4768
FL001,Balanced adaptive response,40,98.43291,75.0,0.04,0.169,3,0.0,23.43291
FL001,Balanced adaptive response,41,98.38977,75.0,0.04,0.16923,3,0.0,23.38977
FL001,Balanced adaptive response,42,98.34721,75.0,0.04,0.16945,3,0.0,23.34721
FL001,Balanced adaptive response,43,98.30512,75.0,0.04,0.16967,3,0.0,23.30512
FL001,Balanced adaptive response,44,98.26341,75.0,0.04,0.1699,3,0.0,23.26341
FL001,Balanced adaptive response,45,98.222,75.0,0.04,0.17012,3,0.0,23.222
FL001,Balanced adaptive response,46,98.18085,75.0,0.04,0.17035,3,0.0,23.18085
FL001,Balanced adaptive response,47,98.13993,75.0,0.04,0.17058,3,0.0,23.13993
FL001,Balanced adaptive response,48,98.09921,75.0,0.04,0.1708,3,0.0,23.09921
FL001,Balanced adaptive response,49,98.05867,75.0,0.04,0.17103,3,0.0,23.05867
FL001,Balanced adaptive response,50,98.01831,75.0,0.04,0.17125,3,0.0,23.01831
FL001,Balanced adaptive response,51,97.9781,75.0,0.04,0.17147,3,0.0,22.9781
FL001,Balanced adaptive response,52,97.93805,75.0,0.04,0.1717,3,0.0,22.93805
FL001,Balanced adaptive response,53,97.89815,75.0,0.04,0.17192,3,0.0,22.89815
FL001,Balanced adaptive response,54,97.8584,75.0,0.04,0.17215,3,0.0,22.8584
FL001,Balanced adaptive response,55,97.81879,75.0,0.04,0.17238,3,0.0,22.81879
