time,value,target,gain,balancing,delay,overshoot
1,28.3,75,0.03,0.14,5,0
2,36.849,75,0.03,0.14,5,0
3,45.6545,75,0.03,0.14,5,0
4,54.7241,75,0.03,0.14,5,0
5,64.0658,75,0.03,0.14,5,0
6,72.5258,75,0.03,0.14,5,0
7,80.0427,75,0.03,0.14,5,5.04272
8,86.5524,75,0.03,0.14,5,11.5524
9,91.9876,75,0.03,0.14,5,16.9876
10,96.278,75,0.03,0.14,5,21.278
11,99.5127,75,0.03,0.14,5,24.5127
12,101.792,75,0.03,0.14,5,26.7921
13,103.229,75,0.03,0.14,5,28.2285
14,103.947,75,0.03,0.14,5,28.9471
15,104.087,75,0.03,0.14,5,29.0866
16,103.777,75,0.03,0.14,5,28.7775
17,103.14,75,0.03,0.14,5,28.1399
18,102.282,75,0.03,0.14,5,27.2821
19,101.298,75,0.03,0.14,5,26.2979
20,100.265,75,0.03,0.14,5,25.2648
21,99.2439,75,0.03,0.14,5,24.2439
22,98.2816,75,0.03,0.14,5,23.2816
23,97.4105,75,0.03,0.14,5,22.4105
24,96.6511,75,0.03,0.14,5,21.6511
25,96.0136,75,0.03,0.14,5,21.0136
26,95.4999,75,0.03,0.14,5,20.4999
27,95.1055,75,0.03,0.14,5,20.1055
28,94.8211,75,0.03,0.14,5,19.8211
29,94.6346,75,0.03,0.14,5,19.6346
30,94.5318,75,0.03,0.14,5,19.5318
31,94.4977,75,0.03,0.14,5,19.4977
32,94.5179,75,0.03,0.14,5,19.5179
33,94.5785,75,0.03,0.14,5,19.5785
34,94.667,75,0.03,0.14,5,19.667
35,94.7725,75,0.03,0.14,5,19.7725
36,94.886,75,0.03,0.14,5,19.886
37,95.0001,75,0.03,0.14,5,20.0001
38,95.1091,75,0.03,0.14,5,20.1091
39,95.209,75,0.03,0.14,5,20.209
40,95.2971,75,0.03,0.14,5,20.2971
41,95.372,75,0.03,0.14,5,20.372
42,95.4332,75,0.03,0.14,5,20.4332
43,95.4809,75,0.03,0.14,5,20.4809
44,95.516,75,0.03,0.14,5,20.516
45,95.5399,75,0.03,0.14,5,20.5399
46,95.554,75,0.03,0.14,5,20.554
47,95.56,75,0.03,0.14,5,20.56
48,95.5595,75,0.03,0.14,5,20.5595
49,95.554,75,0.03,0.14,5,20.554
50,95.5451,75,0.03,0.14,5,20.5451
51,95.5338,75,0.03,0.14,5,20.5338
52,95.5215,75,0.03,0.14,5,20.5215
53,95.5088,75,0.03,0.14,5,20.5088
54,95.4965,75,0.03,0.14,5,20.4965
55,95.4851,75,0.03,0.14,5,20.4851
56,95.4749,75,0.03,0.14,5,20.4749
57,95.4661,75,0.03,0.14,5,20.4661
58,95.4589,75,0.03,0.14,5,20.4589
59,95.4531,75,0.03,0.14,5,20.4531
60,95.4488,75,0.03,0.14,5,20.4488
61,95.4458,75,0.03,0.14,5,20.4458
62,95.4439,75,0.03,0.14,5,20.4439
63,95.443,75,0.03,0.14,5,20.443
64,95.4428,75,0.03,0.14,5,20.4428
65,95.4433,75,0.03,0.14,5,20.4433
66,95.4442,75,0.03,0.14,5,20.4442
67,95.4454,75,0.03,0.14,5,20.4454
68,95.4467,75,0.03,0.14,5,20.4467
69,95.4481,75,0.03,0.14,5,20.4481
70,95.4495,75,0.03,0.14,5,20.4495
71,95.4508,75,0.03,0.14,5,20.4508
72,95.452,75,0.03,0.14,5,20.452
73,95.453,75,0.03,0.14,5,20.453
74,95.4538,75,0.03,0.14,5,20.4538
75,95.4545,75,0.03,0.14,5,20.4545
76,95.455,75,0.03,0.14,5,20.455
77,95.4554,75,0.03,0.14,5,20.4554
78,95.4557,75,0.03,0.14,5,20.4557
79,95.4558,75,0.03,0.14,5,20.4558
