time,value,system_type
1,10,Reinforcing
2,10.65,Reinforcing
3,11.34225,Reinforcing
4,12.07949625,Reinforcing
5,12.86466350625,Reinforcing
6,13.70086663415625,Reinforcing
7,14.591422965376406,Reinforcing
8,15.539865458125872,Reinforcing
9,16.549956712904056,Reinforcing
10,17.62570389924282,Reinforcing
11,18.771374652693602,Reinforcing
12,19.991514005118685,Reinforcing
13,21.2909624154514,Reinforcing
14,22.67487497245574,Reinforcing
15,24.148741845665363,Reinforcing
16,25.718410065633613,Reinforcing
17,27.390106719899798,Reinforcing
18,29.170463656693286,Reinforcing
19,31.06654379437835,Reinforcing
20,33.08586914101294,Reinforcing
21,35.236450635178784,Reinforcing
22,37.52681992646541,Reinforcing
23,39.96606322168566,Reinforcing
24,42.56385733109523,Reinforcing
25,45.33050805761642,Reinforcing
26,48.27699108136149,Reinforcing
27,51.41499550164998,Reinforcing
28,54.75697020925723,Reinforcing
29,58.316173272858954,Reinforcing
30,62.106724535594786,Reinforcing
31,66.14366163040845,Reinforcing
32,70.442999636385,Reinforcing
33,75.02179461275003,Reinforcing
34,79.89821126257878,Reinforcing
35,85.0915949946464,Reinforcing
36,90.62254866929841,Reinforcing
37,96.51301433280281,Reinforcing
38,102.78636026443499,Reinforcing
39,109.46747368162326,Reinforcing
40,116.58285947092877,Reinforcing
41,124.16074533653914,Reinforcing
42,132.23119378341417,Reinforcing
43,140.8262213793361,Reinforcing
44,149.97992576899293,Reinforcing
45,159.72862094397746,Reinforcing
46,170.110981305336,Reinforcing
47,181.16819509018285,Reinforcing
48,192.94412777104475,Reinforcing
49,205.48549607616266,Reinforcing
50,218.84205332111324,Reinforcing
51,233.0667867869856,Reinforcing
52,248.21612792813966,Reinforcing
53,264.35017624346875,Reinforcing
54,281.5329376992942,Reinforcing
55,299.83257864974837,Reinforcing
56,319.321696261982,Reinforcing
57,340.0776065190109,Reinforcing
58,362.1826509427466,Reinforcing
59,385.72452325402514,Reinforcing
60,410.7966172655368,Reinforcing
61,437.4983973877967,Reinforcing
62,465.9357932180035,Reinforcing
63,496.2216197771737,Reinforcing
64,528.47602506269,Reinforcing
65,562.8269666917649,Reinforcing
66,599.4107195267296,Reinforcing
67,638.372416295967,Reinforcing
68,679.8666233552049,Reinforcing
69,724.0579538732932,Reinforcing
70,771.1217208750572,Reinforcing
71,821.244632731936,Reinforcing
72,874.6255338595118,Reinforcing
73,931.4761935603801,Reinforcing
74,992.0221461418048,Reinforcing
75,1056.503585641022,Reinforcing
76,1125.1763187076886,Reinforcing
77,1198.3127794236884,Reinforcing
78,1276.2031100862282,Reinforcing
79,1359.1563122418331,Reinforcing
80,1447.5014725375522,Reinforcing
1,10,Balancing
2,26.2,Balancing
3,39.483999999999995,Balancing
4,50.37687999999999,Balancing
5,59.30904159999999,Balancing
6,66.633414112,Balancing
7,72.63939957184,Balancing
8,77.5643076489088,Balancing
9,81.60273227210521,Balancing
10,84.91424046312628,Balancing
11,87.62967717976355,Balancing
12,89.85633528740611,Balancing
13,91.68219493567301,Balancing
14,93.17939984725187,Balancing
15,94.40710787474653,Balancing
16,95.41382845729215,Balancing
17,96.23933933497956,Balancing
18,96.91625825468324,Balancing
19,97.47133176884026,Balancing
20,97.92649205044901,Balancing
21,98.29972348136819,Balancing
22,98.60577325472191,Balancing
23,98.85673406887197,Balancing
24,99.06252193647502,Balancing
25,99.23126798790952,Balancing
26,99.36963975008581,Balancing
27,99.48310459507036,Balancing
28,99.5761457679577,Balancing
