 time,value,target,gain,balancing,delay,overshoot
2, 28.30000, 75.00000,  0.03000,  0.14000,5,  0.00000
3, 36.84900, 75.00000,  0.03000,  0.14000,5,  0.00000
4, 45.65447, 75.00000,  0.03000,  0.14000,5,  0.00000
5, 54.72410, 75.00000,  0.03000,  0.14000,5,  0.00000
6, 64.06583, 75.00000,  0.03000,  0.14000,5,  0.00000
7, 72.52580, 75.00000,  0.03000,  0.14000,5,  0.00000
8, 80.04272, 75.00000,  0.03000,  0.14000,5,  5.04272
9, 86.55238, 75.00000,  0.03000,  0.14000,5, 11.55238
10, 91.98757, 75.00000,  0.03000,  0.14000,5, 16.98757
11, 96.27798, 75.00000,  0.03000,  0.14000,5, 21.27798
12, 99.51271, 75.00000,  0.03000,  0.14000,5, 24.51271
13,101.79211, 75.00000,  0.03000,  0.14000,5, 26.79211
14,103.22855, 75.00000,  0.03000,  0.14000,5, 28.22855
15,103.94714, 75.00000,  0.03000,  0.14000,5, 28.94714
16,104.08664, 75.00000,  0.03000,  0.14000,5, 29.08664
17,103.77746, 75.00000,  0.03000,  0.14000,5, 28.77746
18,103.13989, 75.00000,  0.03000,  0.14000,5, 28.13989
19,102.28210, 75.00000,  0.03000,  0.14000,5, 27.28210
20,101.29797, 75.00000,  0.03000,  0.14000,5, 26.29797
21,100.26478, 75.00000,  0.03000,  0.14000,5, 25.26478
22, 99.24387, 75.00000,  0.03000,  0.14000,5, 24.24387
23, 98.28161, 75.00000,  0.03000,  0.14000,5, 23.28161
24, 97.41056, 75.00000,  0.03000,  0.14000,5, 22.41056
25, 96.65116, 75.00000,  0.03000,  0.14000,5, 21.65116
26, 96.01363, 75.00000,  0.03000,  0.14000,5, 21.01363
27, 95.49989, 75.00000,  0.03000,  0.14000,5, 20.49989
28, 95.10547, 75.00000,  0.03000,  0.14000,5, 20.10547
29, 94.82115, 75.00000,  0.03000,  0.14000,5, 19.82115
30, 94.63462, 75.00000,  0.03000,  0.14000,5, 19.63462
31, 94.53175, 75.00000,  0.03000,  0.14000,5, 19.53175
32, 94.49771, 75.00000,  0.03000,  0.14000,5, 19.49771
33, 94.51788, 75.00000,  0.03000,  0.14000,5, 19.51788
34, 94.57845, 75.00000,  0.03000,  0.14000,5, 19.57845
35, 94.66695, 75.00000,  0.03000,  0.14000,5, 19.66695
36, 94.77252, 75.00000,  0.03000,  0.14000,5, 19.77252
37, 94.88602, 75.00000,  0.03000,  0.14000,5, 19.88602
38, 95.00009, 75.00000,  0.03000,  0.14000,5, 20.00009
39, 95.10912, 75.00000,  0.03000,  0.14000,5, 20.10912
40, 95.20901, 75.00000,  0.03000,  0.14000,5, 20.20901
41, 95.29713, 75.00000,  0.03000,  0.14000,5, 20.29713
42, 95.37201, 75.00000,  0.03000,  0.14000,5, 20.37201
43, 95.43316, 75.00000,  0.03000,  0.14000,5, 20.43316
44, 95.48087, 75.00000,  0.03000,  0.14000,5, 20.48087
45, 95.51604, 75.00000,  0.03000,  0.14000,5, 20.51604
46, 95.53992, 75.00000,  0.03000,  0.14000,5, 20.53992
47, 95.55403, 75.00000,  0.03000,  0.14000,5, 20.55403
48, 95.56001, 75.00000,  0.03000,  0.14000,5, 20.56001
49, 95.55949, 75.00000,  0.03000,  0.14000,5, 20.55949
50, 95.55402, 75.00000,  0.03000,  0.14000,5, 20.55402
51, 95.54506, 75.00000,  0.03000,  0.14000,5, 20.54506
52, 95.53384, 75.00000,  0.03000,  0.14000,5, 20.53384
53, 95.52145, 75.00000,  0.03000,  0.14000,5, 20.52145
54, 95.50877, 75.00000,  0.03000,  0.14000,5, 20.50877
55, 95.49648, 75.00000,  0.03000,  0.14000,5, 20.49648
56, 95.48506, 75.00000,  0.03000,  0.14000,5, 20.48506
57, 95.47488, 75.00000,  0.03000,  0.14000,5, 20.47488
58, 95.46612, 75.00000,  0.03000,  0.14000,5, 20.46612
59, 95.45887, 75.00000,  0.03000,  0.14000,5, 20.45887
60, 95.45313, 75.00000,  0.03000,  0.14000,5, 20.45313
61, 95.44881, 75.00000,  0.03000,  0.14000,5, 20.44881
62, 95.44579, 75.00000,  0.03000,  0.14000,5, 20.44579
63, 95.44391, 75.00000,  0.03000,  0.14000,5, 20.44391
64, 95.44299, 75.00000,  0.03000,  0.14000,5, 20.44299
65, 95.44283, 75.00000,  0.03000,  0.14000,5, 20.44283
66, 95.44328, 75.00000,  0.03000,  0.14000,5, 20.44328
67, 95.44417, 75.00000,  0.03000,  0.14000,5, 20.44417
68, 95.44535, 75.00000,  0.03000,  0.14000,5, 20.44535
69, 95.44669, 75.00000,  0.03000,  0.14000,5, 20.44669
70, 95.44810, 75.00000,  0.03000,  0.14000,5, 20.44810
71, 95.44948, 75.00000,  0.03000,  0.14000,5, 20.44948
72, 95.45078, 75.00000,  0.03000,  0.14000,5, 20.45078
73, 95.45196, 75.00000,  0.03000,  0.14000,5, 20.45196
74, 95.45298, 75.00000,  0.03000,  0.14000,5, 20.45298
75, 95.45383, 75.00000,  0.03000,  0.14000,5, 20.45383
76, 95.45452, 75.00000,  0.03000,  0.14000,5, 20.45452
77, 95.45505, 75.00000,  0.03000,  0.14000,5, 20.45505
78, 95.45542, 75.00000,  0.03000,  0.14000,5, 20.45542
79, 95.45567, 75.00000,  0.03000,  0.14000,5, 20.45567
80, 95.45580, 75.00000,  0.03000,  0.14000,5, 20.45580
