scenario_id,scenario_name,time_step,value,target,reinforcing_gain,effective_balancing,delay_steps,disturbance,overshoot,delay_experiment
FL001,Balanced adaptive response,1,29.61238,75.0,0.04,0.16023,1,0.0,0.0,1
FL001,Balanced adaptive response,2,38.07931,75.0,0.04,0.16045,1,0.0,0.0,1
FL001,Balanced adaptive response,3,45.53472,75.0,0.04,0.16068,1,0.0,0.0,1
FL001,Balanced adaptive response,4,52.09707,75.0,0.04,0.1609,1,0.0,0.0,1
FL001,Balanced adaptive response,5,57.87119,75.0,0.04,0.16112,1,0.0,0.0,1
FL001,Balanced adaptive response,6,62.94977,75.0,0.04,0.16135,1,0.0,0.0,1
FL001,Balanced adaptive response,7,67.41478,75.0,0.04,0.16157,1,0.0,0.0,1
FL001,Balanced adaptive response,8,71.33866,75.0,0.04,0.1618,1,0.0,0.0,1
FL001,Balanced adaptive response,9,74.78543,75.0,0.04,0.16203,1,0.0,0.0,1
FL001,Balanced adaptive response,10,77.81166,75.0,0.04,0.16225,1,0.0,2.81166,1
FL001,Balanced adaptive response,11,80.4673,75.0,0.04,0.16248,1,0.0,5.4673,1
FL001,Balanced adaptive response,12,90.79647,75.0,0.04,0.1627,1,8.0,15.79647,1
FL001,Balanced adaptive response,13,91.85469,75.0,0.04,0.16293,1,0.0,16.85469,1
FL001,Balanced adaptive response,14,92.77903,75.0,0.04,0.16315,1,0.0,17.77903,1
FL001,Balanced adaptive response,15,93.58554,75.0,0.04,0.16337,1,0.0,18.58554,1
FL001,Balanced adaptive response,16,94.28837,75.0,0.04,0.1636,1,0.0,19.28837,1
FL001,Balanced adaptive response,17,94.89999,75.0,0.04,0.16382,1,0.0,19.89999,1
FL001,Balanced adaptive response,18,95.43139,75.0,0.04,0.16405,1,0.0,20.43139,1
FL001,Balanced adaptive response,19,95.89228,75.0,0.04,0.16428,1,0.0,20.89228,1
FL001,Balanced adaptive response,20,96.29119,75.0,0.04,0.1645,1,0.0,21.29119,1
FL001,Balanced adaptive response,21,96.63565,75.0,0.04,0.16473,1,0.0,21.63565,1
FL001,Balanced adaptive response,22,96.93227,75.0,0.04,0.16495,1,0.0,21.93227,1
FL001,Balanced adaptive response,23,97.1869,75.0,0.04,0.16518,1,0.0,22.1869,1
FL001,Balanced adaptive response,24,97.40466,75.0,0.04,0.1654,1,0.0,22.40466,1
FL001,Balanced adaptive response,25,97.59008,75.0,0.04,0.16562,1,0.0,22.59008,1
FL001,Balanced adaptive response,26,97.74712,75.0,0.04,0.16585,1,0.0,22.74712,1
FL001,Balanced adaptive response,27,97.87927,75.0,0.04,0.16608,1,0.0,22.87927,1
FL001,Balanced adaptive response,28,97.98962,75.0,0.04,0.1663,1,0.0,22.98962,1
FL001,Balanced adaptive response,29,98.08086,75.0,0.04,0.16653,1,0.0,23.08086,1
FL001,Balanced adaptive response,30,98.15536,75.0,0.04,0.16675,1,0.0,23.15536,1
FL001,Balanced adaptive response,31,98.21521,75.0,0.04,0.16698,1,0.0,23.21521,1
FL001,Balanced adaptive response,32,98.26223,75.0,0.04,0.1672,1,0.0,23.26223,1
FL001,Balanced adaptive response,33,98.29804,75.0,0.04,0.16742,1,0.0,23.29804,1
FL001,Balanced adaptive response,34,98.32405,75.0,0.04,0.16765,1,0.0,23.32405,1
FL001,Balanced adaptive response,35,98.34149,75.0,0.04,0.16787,1,0.0,23.34149,1
FL001,Balanced adaptive response,36,98.35144,75.0,0.04,0.1681,1,0.0,23.35144,1
FL001,Balanced adaptive response,37,98.35487,75.0,0.04,0.16833,1,0.0,23.35487,1
FL001,Balanced adaptive response,38,98.3526,75.0,0.04,0.16855,1,0.0,23.3526,1
FL001,Balanced adaptive response,39,98.34537,75.0,0.04,0.16878,1,0.0,23.34537,1
FL001,Balanced adaptive response,40,98.33382,75.0,0.04,0.169,1,0.0,23.33382,1
FL001,Balanced adaptive response,41,98.3185,75.0,0.04,0.16923,1,0.0,23.3185,1
FL001,Balanced adaptive response,42,98.29992,75.0,0.04,0.16945,1,0.0,23.29992,1
FL001,Balanced adaptive response,43,98.27851,75.0,0.04,0.16967,1,0.0,23.27851,1
FL001,Balanced adaptive response,44,98.25463,75.0,0.04,0.1699,1,0.0,23.25463,1
FL001,Balanced adaptive response,45,98.22862,75.0,0.04,0.17012,1,0.0,23.22862,1
FL001,Balanced adaptive response,46,98.20077,75.0,0.04,0.17035,1,0.0,23.20077,1
FL001,Balanced adaptive response,47,98.17133,75.0,0.04,0.17058,1,0.0,23.17133,1
FL001,Balanced adaptive response,48,98.14052,75.0,0.04,0.1708,1,0.0,23.14052,1
FL001,Balanced adaptive response,49,98.10853,75.0,0.04,0.17103,1,0.0,23.10853,1
FL001,Balanced adaptive response,50,98.07554,75.0,0.04,0.17125,1,0.0,23.07554,1
FL001,Balanced adaptive response,51,98.04168,75.0,0.04,0.17147,1,0.0,23.04168,1
FL001,Balanced adaptive response,52,98.00709,75.0,0.04,0.1717,1,0.0,23.00709,1
FL001,Balanced adaptive response,53,97.97188,75.0,0.04,0.17192,1,0.0,22.97188,1
FL001,Balanced adaptive response,54,97.93615,75.0,0.04,0.17215,1,0.0,22.93615,1
FL001,Balanced adaptive response,55,97.89997,75.0,0.04,0.17238,1,0.0,22.89997,1
FL001,Balanced adaptive response,56,97.86344,75.0,0.04,0.1726,1,0.0,22.86344,1
FL001,Balanced adaptive response,57,97.8266,75.0,0.04,0.17283,1,0.0,22.8266,1
FL001,Balanced adaptive response,58,97.78952,75.0,0.04,0.17305,1,0.0,22.78952,1
FL001,Balanced adaptive response,59,97.75225,75.0,0.04,0.17328,1,0.0,22.75225,1
FL001,Balanced adaptive response,60,97.71482,75.0,0.04,0.1735,1,0.0,22.71482,1
FL001,Balanced adaptive response,61,97.67728,75.0,0.04,0.17372,1,0.0,22.67728,1
FL001,Balanced adaptive response,62,97.63966,75.0,0.04,0.17395,1,0.0,22.63966,1
FL001,Balanced adaptive response,63,97.60199,75.0,0.04,0.17417,1,0.0,22.60199,1
FL001,Balanced adaptive response,64,97.56428,75.0,0.04,0.1744,1,0.0,22.56428,1
FL001,Balanced adaptive response,65,97.52656,75.0,0.04,0.17463,1,0.0,22.52656,1
FL001,Balanced adaptive response,66,97.48886,75.0,0.04,0.17485,1,0.0,22.48886,1
FL001,Balanced adaptive response,67,97.45117,75.0,0.04,0.17508,1,0.0,22.45117,1
FL001,Balanced adaptive response,68,97.41353,75.0,0.04,0.1753,1,0.0,22.41353,1
FL001,Balanced adaptive response,69,97.37594,75.0,0.04,0.17553,1,0.0,22.37594,1
FL001,Balanced adaptive response,70,97.3384,75.0,0.04,0.17575,1,0.0,22.3384,1
FL001,Balanced adaptive response,71,97.30094,75.0,0.04,0.17597,1,0.0,22.30094,1
FL001,Balanced adaptive response,72,97.26355,75.0,0.04,0.1762,1,0.0,22.26355,1
FL001,Balanced adaptive response,73,97.22625,75.0,0.04,0.17642,1,0.0,22.22625,1
FL001,Balanced adaptive response,74,97.18903,75.0,0.04,0.17665,1,0.0,22.18903,1
FL001,Balanced adaptive response,75,97.15191,75.0,0.04,0.17688,1,0.0,22.15191,1
FL001,Balanced adaptive response,76,97.11488,75.0,0.04,0.1771,1,0.0,22.11488,1
FL001,Balanced adaptive response,77,97.07795,75.0,0.04,0.17733,1,0.0,22.07795,1
