time_step,fuel_load,visible_fire_damage,suppression_pressure,policy_resistance_note
1,32.24,14.4,0.70864,short-term suppression can increase long-term fuel accumulation
2,30.49837,10.368,0.71486,short-term suppression can increase long-term fuel accumulation
3,29.48996,7.46496,0.71934,short-term suppression can increase long-term fuel accumulation
4,29.00948,5.37477,0.72256,short-term suppression can increase long-term fuel accumulation
5,28.90909,3.86984,0.72489,short-term suppression can increase long-term fuel accumulation
6,29.08239,2.78628,0.72656,short-term suppression can increase long-term fuel accumulation
7,29.45273,2.00612,0.72776,short-term suppression can increase long-term fuel accumulation
8,29.96494,1.44441,0.72863,short-term suppression can increase long-term fuel accumulation
9,30.5793,1.03997,0.72925,short-term suppression can increase long-term fuel accumulation
10,31.26721,0.74878,0.7297,short-term suppression can increase long-term fuel accumulation
11,32.00807,0.53912,0.73003,short-term suppression can increase long-term fuel accumulation
12,32.78706,0.38817,0.73026,short-term suppression can increase long-term fuel accumulation
13,33.5935,0.27948,0.73043,short-term suppression can increase long-term fuel accumulation
14,34.4197,0.20123,0.73055,short-term suppression can increase long-term fuel accumulation
15,35.26014,13.42425,0.7386,short-term suppression can increase long-term fuel accumulation
16,33.73009,9.66546,0.7444,short-term suppression can increase long-term fuel accumulation
17,32.88359,6.95913,0.74858,short-term suppression can increase long-term fuel accumulation
18,32.52924,5.01057,0.75158,short-term suppression can increase long-term fuel accumulation
19,32.52924,3.60761,0.75375,short-term suppression can increase long-term fuel accumulation
20,32.78436,2.59748,0.75531,short-term suppression can increase long-term fuel accumulation
21,33.22318,1.87019,0.75643,short-term suppression can increase long-term fuel accumulation
22,33.79426,1.34653,0.75724,short-term suppression can increase long-term fuel accumulation
23,34.46057,0.9695,0.75782,short-term suppression can increase long-term fuel accumulation
24,35.19544,0.69804,0.75824,short-term suppression can increase long-term fuel accumulation
25,35.97967,0.50259,0.75854,short-term suppression can increase long-term fuel accumulation
26,36.79945,0.36187,0.75875,short-term suppression can increase long-term fuel accumulation
27,37.64482,0.26054,0.75891,short-term suppression can increase long-term fuel accumulation
28,38.50862,0.18759,0.75902,short-term suppression can increase long-term fuel accumulation
29,39.38568,0.13507,0.7591,short-term suppression can increase long-term fuel accumulation
30,40.27229,15.5855,0.76846,short-term suppression can increase long-term fuel accumulation
31,38.38905,11.22156,0.77519,short-term suppression can increase long-term fuel accumulation
32,37.29939,8.07952,0.78004,short-term suppression can increase long-term fuel accumulation
33,36.78112,5.81726,0.78353,short-term suppression can increase long-term fuel accumulation
34,36.67425,4.18842,0.78604,short-term suppression can increase long-term fuel accumulation
35,36.86358,3.01567,0.78785,short-term suppression can increase long-term fuel accumulation
36,37.26618,2.17128,0.78915,short-term suppression can increase long-term fuel accumulation
37,37.82233,1.56332,0.79009,short-term suppression can increase long-term fuel accumulation
38,38.48904,1.12559,0.79077,short-term suppression can increase long-term fuel accumulation
39,39.23536,0.81043,0.79125,short-term suppression can increase long-term fuel accumulation
40,40.03898,0.58351,0.7916,short-term suppression can increase long-term fuel accumulation
41,40.88387,0.42012,0.79185,short-term suppression can increase long-term fuel accumulation
42,41.75847,0.30249,0.79204,short-term suppression can increase long-term fuel accumulation
43,42.65447,0.21779,0.79217,short-term suppression can increase long-term fuel accumulation
44,43.56587,0.15681,0.79226,short-term suppression can increase long-term fuel accumulation
45,44.48835,17.54163,0.80279,short-term suppression can increase long-term fuel accumulation
46,42.2942,12.62998,0.81036,short-term suppression can increase long-term fuel accumulation
47,40.99324,9.09358,0.81582,short-term suppression can increase long-term fuel accumulation
48,40.33538,6.54738,0.81975,short-term suppression can increase long-term fuel accumulation
49,40.14055,4.71411,0.82258,short-term suppression can increase long-term fuel accumulation
50,40.2791,3.39416,0.82461,short-term suppression can increase long-term fuel accumulation
51,40.65768,2.4438,0.82608,short-term suppression can increase long-term fuel accumulation
52,41.20909,1.75953,0.82713,short-term suppression can increase long-term fuel accumulation
53,41.88494,1.26686,0.82789,short-term suppression can increase long-term fuel accumulation
54,42.65038,0.91214,0.82844,short-term suppression can increase long-term fuel accumulation
55,43.48032,0.65674,0.82884,short-term suppression can increase long-term fuel accumulation
56,44.35671,0.47285,0.82912,short-term suppression can increase long-term fuel accumulation
57,45.26654,0.34046,0.82932,short-term suppression can increase long-term fuel accumulation
58,46.20045,0.24513,0.82947,short-term suppression can increase long-term fuel accumulation
