 time,function,vulnerability,trust,resilience_score
1, 0.84540, 0.35960, 0.58921, 0.73181
2, 0.87148, 0.33920, 0.59904, 0.74699
3, 0.89827, 0.31880, 0.60947, 0.76253
4, 0.92578, 0.29840, 0.62052, 0.77845
5, 0.95403, 0.27800, 0.63218, 0.79475
6, 0.98303, 0.25760, 0.64445, 0.81143
7, 1.00000, 0.23720, 0.65734, 0.82403
8, 1.00000, 0.21680, 0.67083, 0.83081
9, 1.00000, 0.19640, 0.68494, 0.83771
10, 1.00000, 0.17600, 0.69966, 0.84473
11, 1.00000, 0.15560, 0.71499, 0.85188
12, 1.00000, 0.13520, 0.73094, 0.85915
13, 1.00000, 0.11480, 0.74749, 0.86654
14, 1.00000, 0.09440, 0.76466, 0.87405
15, 1.00000, 0.07400, 0.78244, 0.88169
16, 1.00000, 0.05360, 0.80083, 0.88945
17, 1.00000, 0.03320, 0.81984, 0.89733
18, 1.00000, 0.01280, 0.83945, 0.90533
19, 1.00000, 0.00000, 0.85945, 0.91189
20, 1.00000, 0.00000, 0.87945, 0.91589
