scenario,time,shock,climate_stress,infrastructure_stress,vulnerability,institutional_learning,social_trust,adaptive_buffer,transformation_effect,fragility_gap,function,equity_adjusted_resilience,robust_resilience_score
Continuation with rising stress,0,0.05,0.3096,0.34342,0.39017,0.48285,0.52734,0.50108,0.44368,0.0,0.83583,0.69468,0.56866
Continuation with rising stress,1,0.05,0.3192,0.34684,0.36091,0.5657,0.57962,0.51895,0.45197,0.0,0.86312,0.72479,0.59752
Continuation with rising stress,2,0.05,0.3288,0.35026,0.33221,0.64855,0.63682,0.53742,0.46025,0.0,0.90231,0.76512,0.62921
Continuation with rising stress,3,0.05,0.3384,0.35368,0.30409,0.7314,0.69888,0.55646,0.46854,0.0,0.95379,0.81602,0.66378
Continuation with rising stress,4,0.05,0.348,0.3571,0.27653,0.81425,0.76577,0.57609,0.47682,0.0,1.0,0.86284,0.69807
Continuation with rising stress,5,0.05,0.3576,0.36052,0.24954,0.8971,0.83745,0.59629,0.48511,0.0,1.0,0.87155,0.7247
Continuation with rising stress,6,0.05,0.3672,0.36394,0.22313,0.97995,0.91388,0.61706,0.4934,0.0,1.0,0.88057,0.752
Continuation with rising stress,7,0.05,0.3768,0.36736,0.19728,1.0,0.99282,0.62934,0.4954,0.0,1.0,0.88973,0.76964
Continuation with rising stress,8,0.05,0.3864,0.37078,0.172,1.0,1.0,0.6302,0.4954,0.0,1.0,0.89308,0.77324
Continuation with rising stress,9,0.05,0.396,0.3742,0.14728,1.0,1.0,0.6302,0.4954,0.0,1.0,0.8958,0.77572
Continuation with rising stress,10,0.66,0.4544,0.42032,0.12704,1.0,1.0,0.6302,0.4954,0.0,1.0,0.89803,0.77774
Continuation with rising stress,11,0.05,0.464,0.42374,0.10737,1.0,1.0,0.6302,0.4954,0.0,1.0,0.90019,0.77971
Continuation with rising stress,12,0.05,0.4736,0.42716,0.08827,1.0,1.0,0.6302,0.4954,0.0,1.0,0.90229,0.78162
Continuation with rising stress,13,0.05,0.4832,0.43058,0.06974,1.0,1.0,0.6302,0.4954,0.0,1.0,0.90433,0.78347
Continuation with rising stress,14,0.05,0.4928,0.434,0.05178,1.0,1.0,0.6302,0.4954,0.0,1.0,0.9063,0.78527
Continuation with rising stress,15,0.05,0.5024,0.43742,0.03438,1.0,1.0,0.6302,0.4954,0.0,1.0,0.90822,0.78701
Continuation with rising stress,16,0.05,0.512,0.44084,0.01755,1.0,1.0,0.6302,0.4954,0.0,1.0,0.91007,0.78869
Continuation with rising stress,17,0.05,0.5216,0.44426,0.0013,1.0,1.0,0.6302,0.4954,0.0,1.0,0.91186,0.79031
Continuation with rising stress,18,0.05,0.5312,0.44768,0.0,1.0,1.0,0.6302,0.4954,0.0,1.0,0.912,0.79044
Continuation with rising stress,19,0.05,0.5408,0.4511,0.0,1.0,1.0,0.6302,0.4954,0.0,1.0,0.912,0.79044
Continuation with rising stress,20,0.05,0.5504,0.45452,0.0,1.0,1.0,0.6302,0.4954,0.0,1.0,0.912,0.79044
Continuation with rising stress,21,0.05,0.56,0.45794,0.0,1.0,1.0,0.6302,0.4954,0.0,1.0,0.912,0.79044
Continuation with rising stress,22,0.74,0.6248,0.50966,0.0,1.0,1.0,0.6302,0.4954,0.0,0.97255,0.88916,0.7855
Continuation with rising stress,23,0.05,0.6344,0.51308,0.0,1.0,1.0,0.6302,0.4954,0.0,1.0,0.912,0.79044
Continuation with rising stress,24,0.05,0.644,0.5165,0.0,1.0,1.0,0.6302,0.4954,0.0,1.0,0.912,0.79044
Continuation with rising stress,25,0.05,0.6536,0.51992,0.0,1.0,1.0,0.6302,0.4954,0.0,1.0,0.912,0.79044
Continuation with rising stress,26,0.05,0.6632,0.52334,0.0,1.0,1.0,0.6302,0.4954,0.0,1.0,0.912,0.79044
Continuation with rising stress,27,0.05,0.6728,0.52676,0.0,1.0,1.0,0.6302,0.4954,0.0,1.0,0.912,0.79044
Continuation with rising stress,28,0.05,0.6824,0.53018,0.0,1.0,1.0,0.6302,0.4954,0.0,1.0,0.912,0.79044
Continuation with rising stress,29,0.05,0.692,0.5336,0.0,1.0,1.0,0.6302,0.4954,0.0,1.0,0.912,0.79044
Continuation with rising stress,30,0.05,0.7016,0.53702,0.0,1.0,1.0,0.6302,0.4954,0.0,1.0,0.912,0.79044
Continuation with rising stress,31,0.05,0.7112,0.54044,0.0,1.0,1.0,0.6302,0.4954,0.0,1.0,0.912,0.79044
Continuation with rising stress,32,0.05,0.7208,0.54386,0.0,1.0,1.0,0.6302,0.4954,0.0,1.0,0.912,0.79044
Continuation with rising stress,33,0.05,0.7304,0.54728,0.0,1.0,1.0,0.6302,0.4954,0.0,1.0,0.912,0.79044
Continuation with rising stress,34,0.78,0.7984,0.6018,0.0025,1.0,1.0,0.6302,0.4954,0.0,0.91654,0.84229,0.77517
Continuation with rising stress,35,0.05,0.808,0.60522,0.00557,1.0,1.0,0.6302,0.4954,0.0,0.92495,0.84895,0.77638
Continuation with rising stress,36,0.05,0.8176,0.60864,0.00921,1.0,1.0,0.6302,0.4954,0.0,0.93025,0.85296,0.77697
Continuation with rising stress,37,0.05,0.8272,0.61206,0.01341,1.0,1.0,0.6302,0.4954,0.0,0.93233,0.85422,0.77692
Continuation with rising stress,38,0.05,0.8368,0.61548,0.01819,1.0,1.0,0.6302,0.4954,0.0,0.9311,0.85267,0.77622
Continuation with rising stress,39,0.05,0.8464,0.6189,0.02353,1.0,1.0,0.6302,0.4954,0.0,0.92645,0.84822,0.77485
Continuation with rising stress,40,0.05,0.856,0.62232,0.02944,1.0,1.0,0.6302,0.4954,0.0,0.9183,0.84079,0.77279
Continuation with rising stress,41,0.05,0.8656,0.62574,0.03593,1.0,1.0,0.6302,0.4954,0.0,0.90655,0.8303,0.77003
Continuation with rising stress,42,0.05,0.8752,0.62916,0.04298,1.0,1.0,0.6302,0.4954,0.0,0.8911,0.81667,0.76654
Continuation with rising stress,43,0.05,0.8848,0.63258,0.0506,1.0,1.0,0.6302,0.4954,0.0,0.87185,0.79981,0.76232
Continuation with rising stress,44,0.05,0.8944,0.636,0.05878,1.0,1.0,0.6302,0.4954,0.0,0.8487,0.77966,0.75733
Continuation with rising stress,45,0.05,0.904,0.63942,0.06754,1.0,1.0,0.6302,0.4954,0.0,0.82157,0.75612,0.75157
Continuation with rising stress,46,0.68,0.964,0.68694,0.0809,1.0,1.0,0.6302,0.4954,0.0,0.69019,0.64534,0.72659
Continuation with rising stress,47,0.05,0.9736,0.69036,0.09482,1.0,1.0,0.6302,0.4954,0.0,0.63584,0.59859,0.71541
Continuation with rising stress,48,0.05,0.9832,0.69378,0.10932,1.0,1.0,0.6302,0.4954,0.0,0.57652,0.54764,0.70329
Continuation with rising stress,49,0.05,0.9928,0.6972,0.12438,1.0,1.0,0.6302,0.4954,0.0,0.51214,0.49242,0.69019
Continuation with rising stress,50,0.05,1.0,0.70062,0.13991,1.0,1.0,0.6302,0.4954,0.0,0.4431,0.43327,0.67621
Continuation with rising stress,51,0.05,1.0,0.70404,0.15557,1.0,1.0,0.6302,0.4954,0.0,0.37082,0.37141,0.66163
Continuation with rising stress,52,0.05,1.0,0.70746,0.17137,1.0,1.0,0.6302,0.4954,0.0,0.29527,0.30681,0.64645
Continuation with rising stress,53,0.05,1.0,0.71088,0.1873,1.0,1.0,0.6302,0.4954,0.0,0.21642,0.23946,0.63067
Continuation with rising stress,54,0.05,1.0,0.7143,0.20338,1.0,1.0,0.6302,0.4954,0.0,0.13427,0.16934,0.61427
