strategy_id,strategy,adaptive_capacity,buffering_capacity,transformability,governance_quality,equity_performance,digital_resilience,climate_readiness,systemic_exposure,implementation_burden,critical_function,resilience_value,governance_gap,equity_gap,adjusted_value,scenario,rank
FRS008,Adaptive Governance and Learning System,8.9,7.7,8.8,9.2,8.8,8.1,8.5,3.9,3.5,links monitoring scenarios policy revision public participation and corrective action,8.511999999999999,0,0,8.511999999999999,Adaptation-first,1
FRS004,Adaptive Urban Heat and Flood Redesign,8.6,8.1,8.7,8.4,8.6,7.8,9,4.3,3.9,redesigns urban systems for heat flooding housing health mobility and climate adaptation,8.350999999999999,0.09999999999999964,0,8.344999999999999,Adaptation-first,2
FRS006,Community Resilience and Mutual Aid Infrastructure,8.7,8,8.4,8.6,9.1,7.4,8.3,3.9,3.2,builds local trust social protection community coordination and care infrastructure under disruption,8.318,0,0,8.318,Adaptation-first,3
FRS005,Watershed Restoration and Nature-Based Buffers,8.2,8.8,8.6,8.2,8.4,7.2,9.1,3.8,3.8,strengthens ecological buffers floodplain function water security and social ecological resilience,8.242,0.3000000000000007,0.09999999999999964,8.216000000000001,Adaptation-first,4
FRS002,Regional Early Warning and Analytics Network,8.8,7.4,7.8,8.3,7.6,8.8,8.2,4.4,3.5,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks,8.094,0.1999999999999993,0.9000000000000004,8.01,Adaptation-first,5
FRS007,Digital Public Infrastructure Resilience Program,8.5,7.8,8.1,8.1,7.7,9,8,4.5,3.6,hardens public digital systems data governance cyber physical continuity and fallback capacity,8.053999999999998,0.40000000000000036,0.7999999999999998,7.9659999999999975,Adaptation-first,6
FRS001,Distributed Renewable Microgrids,8.4,7.9,8.5,8,7.8,7.6,8.6,4.1,3.7,builds distributed energy redundancy and transition capacity for critical services,8.051000000000002,0.5,0.7000000000000002,7.9650000000000025,Adaptation-first,7
FRS003,Critical Supply Chain Diversification,7.9,8.3,7.6,7.8,7.4,7.5,7.7,4,3.4,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy,7.652,0.7000000000000002,1.0999999999999996,7.522,Adaptation-first,8
FRS008,Adaptive Governance and Learning System,8.9,7.7,8.8,9.2,8.8,8.1,8.5,3.9,3.5,links monitoring scenarios policy revision public participation and corrective action,8.222,0,0,8.222,Balanced,1
FRS004,Adaptive Urban Heat and Flood Redesign,8.6,8.1,8.7,8.4,8.6,7.8,9,4.3,3.9,redesigns urban systems for heat flooding housing health mobility and climate adaptation,8.068,0.09999999999999964,0,8.062,Balanced,2
FRS006,Community Resilience and Mutual Aid Infrastructure,8.7,8,8.4,8.6,9.1,7.4,8.3,3.9,3.2,builds local trust social protection community coordination and care infrastructure under disruption,8.029,0,0,8.029,Balanced,3
FRS005,Watershed Restoration and Nature-Based Buffers,8.2,8.8,8.6,8.2,8.4,7.2,9.1,3.8,3.8,strengthens ecological buffers floodplain function water security and social ecological resilience,8.002,0.3000000000000007,0.09999999999999964,7.976000000000001,Balanced,4
FRS007,Digital Public Infrastructure Resilience Program,8.5,7.8,8.1,8.1,7.7,9,8,4.5,3.6,hardens public digital systems data governance cyber physical continuity and fallback capacity,7.755000000000001,0.40000000000000036,0.7999999999999998,7.667000000000001,Balanced,5
FRS001,Distributed Renewable Microgrids,8.4,7.9,8.5,8,7.8,7.6,8.6,4.1,3.7,builds distributed energy redundancy and transition capacity for critical services,7.748,0.5,0.7000000000000002,7.662,Balanced,6
FRS002,Regional Early Warning and Analytics Network,8.8,7.4,7.8,8.3,7.6,8.8,8.2,4.4,3.5,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks,7.727,0.1999999999999993,0.9000000000000004,7.643000000000001,Balanced,7
FRS003,Critical Supply Chain Diversification,7.9,8.3,7.6,7.8,7.4,7.5,7.7,4,3.4,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy,7.378,0.7000000000000002,1.0999999999999996,7.248,Balanced,8
FRS005,Watershed Restoration and Nature-Based Buffers,8.2,8.8,8.6,8.2,8.4,7.2,9.1,3.8,3.8,strengthens ecological buffers floodplain function water security and social ecological resilience,8.107000000000001,0.3000000000000007,0.09999999999999964,8.081000000000001,Buffering-first,1
FRS008,Adaptive Governance and Learning System,8.9,7.7,8.8,9.2,8.8,8.1,8.5,3.9,3.5,links monitoring scenarios policy revision public participation and corrective action,8.036,0,0,8.036,Buffering-first,2
FRS004,Adaptive Urban Heat and Flood Redesign,8.6,8.1,8.7,8.4,8.6,7.8,9,4.3,3.9,redesigns urban systems for heat flooding housing health mobility and climate adaptation,7.998000000000001,0.09999999999999964,0,7.992000000000001,Buffering-first,3
FRS006,Community Resilience and Mutual Aid Infrastructure,8.7,8,8.4,8.6,9.1,7.4,8.3,3.9,3.2,builds local trust social protection community coordination and care infrastructure under disruption,7.944000000000001,0,0,7.944000000000001,Buffering-first,4
FRS001,Distributed Renewable Microgrids,8.4,7.9,8.5,8,7.8,7.6,8.6,4.1,3.7,builds distributed energy redundancy and transition capacity for critical services,7.708000000000001,0.5,0.7000000000000002,7.622000000000001,Buffering-first,5
FRS007,Digital Public Infrastructure Resilience Program,8.5,7.8,8.1,8.1,7.7,9,8,4.5,3.6,hardens public digital systems data governance cyber physical continuity and fallback capacity,7.674999999999999,0.40000000000000036,0.7999999999999998,7.586999999999999,Buffering-first,6
FRS002,Regional Early Warning and Analytics Network,8.8,7.4,7.8,8.3,7.6,8.8,8.2,4.4,3.5,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks,7.579,0.1999999999999993,0.9000000000000004,7.495,Buffering-first,7
FRS003,Critical Supply Chain Diversification,7.9,8.3,7.6,7.8,7.4,7.5,7.7,4,3.4,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy,7.498,0.7000000000000002,1.0999999999999996,7.368,Buffering-first,8
FRS008,Adaptive Governance and Learning System,8.9,7.7,8.8,9.2,8.8,8.1,8.5,3.9,3.5,links monitoring scenarios policy revision public participation and corrective action,8.445999999999998,0,0,8.445999999999998,Climate-readiness-first,1
FRS004,Adaptive Urban Heat and Flood Redesign,8.6,8.1,8.7,8.4,8.6,7.8,9,4.3,3.9,redesigns urban systems for heat flooding housing health mobility and climate adaptation,8.447,0.09999999999999964,0,8.440999999999999,Climate-readiness-first,2
FRS005,Watershed Restoration and Nature-Based Buffers,8.2,8.8,8.6,8.2,8.4,7.2,9.1,3.8,3.8,strengthens ecological buffers floodplain function water security and social ecological resilience,8.434000000000001,0.3000000000000007,0.09999999999999964,8.408000000000001,Climate-readiness-first,3
FRS006,Community Resilience and Mutual Aid Infrastructure,8.7,8,8.4,8.6,9.1,7.4,8.3,3.9,3.2,builds local trust social protection community coordination and care infrastructure under disruption,8.264,0,0,8.264,Climate-readiness-first,4
FRS001,Distributed Renewable Microgrids,8.4,7.9,8.5,8,7.8,7.6,8.6,4.1,3.7,builds distributed energy redundancy and transition capacity for critical services,8.097,0.5,0.7000000000000002,8.011000000000001,Climate-readiness-first,5
FRS002,Regional Early Warning and Analytics Network,8.8,7.4,7.8,8.3,7.6,8.8,8.2,4.4,3.5,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks,7.9590000000000005,0.1999999999999993,0.9000000000000004,7.875000000000001,Climate-readiness-first,6
FRS007,Digital Public Infrastructure Resilience Program,8.5,7.8,8.1,8.1,7.7,9,8,4.5,3.6,hardens public digital systems data governance cyber physical continuity and fallback capacity,7.9399999999999995,0.40000000000000036,0.7999999999999998,7.851999999999999,Climate-readiness-first,7
FRS003,Critical Supply Chain Diversification,7.9,8.3,7.6,7.8,7.4,7.5,7.7,4,3.4,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy,7.6,0.7000000000000002,1.0999999999999996,7.47,Climate-readiness-first,8
FRS008,Adaptive Governance and Learning System,8.9,7.7,8.8,9.2,8.8,8.1,8.5,3.9,3.5,links monitoring scenarios policy revision public participation and corrective action,8.116999999999999,0,0,8.116999999999999,Digital-resilience-first,1
FRS004,Adaptive Urban Heat and Flood Redesign,8.6,8.1,8.7,8.4,8.6,7.8,9,4.3,3.9,redesigns urban systems for heat flooding housing health mobility and climate adaptation,7.923,0.09999999999999964,0,7.917,Digital-resilience-first,2
FRS007,Digital Public Infrastructure Resilience Program,8.5,7.8,8.1,8.1,7.7,9,8,4.5,3.6,hardens public digital systems data governance cyber physical continuity and fallback capacity,7.948,0.40000000000000036,0.7999999999999998,7.86,Digital-resilience-first,3
FRS002,Regional Early Warning and Analytics Network,8.8,7.4,7.8,8.3,7.6,8.8,8.2,4.4,3.5,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks,7.897000000000001,0.1999999999999993,0.9000000000000004,7.8130000000000015,Digital-resilience-first,4
FRS006,Community Resilience and Mutual Aid Infrastructure,8.7,8,8.4,8.6,9.1,7.4,8.3,3.9,3.2,builds local trust social protection community coordination and care infrastructure under disruption,7.802,0,0,7.802,Digital-resilience-first,5
FRS005,Watershed Restoration and Nature-Based Buffers,8.2,8.8,8.6,8.2,8.4,7.2,9.1,3.8,3.8,strengthens ecological buffers floodplain function water security and social ecological resilience,7.741,0.3000000000000007,0.09999999999999964,7.715,Digital-resilience-first,6
FRS001,Distributed Renewable Microgrids,8.4,7.9,8.5,8,7.8,7.6,8.6,4.1,3.7,builds distributed energy redundancy and transition capacity for critical services,7.633,0.5,0.7000000000000002,7.547,Digital-resilience-first,7
FRS003,Critical Supply Chain Diversification,7.9,8.3,7.6,7.8,7.4,7.5,7.7,4,3.4,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy,7.321,0.7000000000000002,1.0999999999999996,7.191,Digital-resilience-first,8
FRS008,Adaptive Governance and Learning System,8.9,7.7,8.8,9.2,8.8,8.1,8.5,3.9,3.5,links monitoring scenarios policy revision public participation and corrective action,6.345000000000001,0,0,6.345000000000001,Exposure-sensitive,1
FRS006,Community Resilience and Mutual Aid Infrastructure,8.7,8,8.4,8.6,9.1,7.4,8.3,3.9,3.2,builds local trust social protection community coordination and care infrastructure under disruption,6.185999999999999,0,0,6.185999999999999,Exposure-sensitive,2
FRS005,Watershed Restoration and Nature-Based Buffers,8.2,8.8,8.6,8.2,8.4,7.2,9.1,3.8,3.8,strengthens ecological buffers floodplain function water security and social ecological resilience,6.184999999999999,0.3000000000000007,0.09999999999999964,6.158999999999999,Exposure-sensitive,3
FRS004,Adaptive Urban Heat and Flood Redesign,8.6,8.1,8.7,8.4,8.6,7.8,9,4.3,3.9,redesigns urban systems for heat flooding housing health mobility and climate adaptation,6.156,0.09999999999999964,0,6.1499999999999995,Exposure-sensitive,4
FRS001,Distributed Renewable Microgrids,8.4,7.9,8.5,8,7.8,7.6,8.6,4.1,3.7,builds distributed energy redundancy and transition capacity for critical services,5.914000000000001,0.5,0.7000000000000002,5.828,Exposure-sensitive,5
FRS007,Digital Public Infrastructure Resilience Program,8.5,7.8,8.1,8.1,7.7,9,8,4.5,3.6,hardens public digital systems data governance cyber physical continuity and fallback capacity,5.8500000000000005,0.40000000000000036,0.7999999999999998,5.7620000000000005,Exposure-sensitive,6
FRS002,Regional Early Warning and Analytics Network,8.8,7.4,7.8,8.3,7.6,8.8,8.2,4.4,3.5,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks,5.845,0.1999999999999993,0.9000000000000004,5.761,Exposure-sensitive,7
FRS003,Critical Supply Chain Diversification,7.9,8.3,7.6,7.8,7.4,7.5,7.7,4,3.4,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy,5.6160000000000005,0.7000000000000002,1.0999999999999996,5.486000000000001,Exposure-sensitive,8
FRS008,Adaptive Governance and Learning System,8.9,7.7,8.8,9.2,8.8,8.1,8.5,3.9,3.5,links monitoring scenarios policy revision public participation and corrective action,8.583999999999998,0,0,8.583999999999998,Governance-equity-first,1
FRS006,Community Resilience and Mutual Aid Infrastructure,8.7,8,8.4,8.6,9.1,7.4,8.3,3.9,3.2,builds local trust social protection community coordination and care infrastructure under disruption,8.412,0,0,8.412,Governance-equity-first,2
FRS004,Adaptive Urban Heat and Flood Redesign,8.6,8.1,8.7,8.4,8.6,7.8,9,4.3,3.9,redesigns urban systems for heat flooding housing health mobility and climate adaptation,8.341999999999997,0.09999999999999964,0,8.335999999999997,Governance-equity-first,3
FRS005,Watershed Restoration and Nature-Based Buffers,8.2,8.8,8.6,8.2,8.4,7.2,9.1,3.8,3.8,strengthens ecological buffers floodplain function water security and social ecological resilience,8.248000000000003,0.3000000000000007,0.09999999999999964,8.222000000000003,Governance-equity-first,4
