scenario,strategy_id,strategy,rank,resilience_value,adjusted_resilience_value,diagnostic,critical_function
Balanced,FRS008,Adaptive Governance and Learning System,1,8.222,8.222,promising but requires scenario testing,links monitoring scenarios policy revision public participation and corrective action
Balanced,FRS004,Adaptive Urban Heat and Flood Redesign,2,8.068,8.062,implementation-burden review needed,redesigns urban systems for heat flooding housing health mobility and climate adaptation
Balanced,FRS006,Community Resilience and Mutual Aid Infrastructure,3,8.029,8.029,digital-resilience review needed,builds local trust social protection community coordination and care infrastructure under disruption
Balanced,FRS005,Watershed Restoration and Nature-Based Buffers,4,8.002,7.976,digital-resilience review needed,strengthens ecological buffers floodplain function water security and social ecological resilience
Balanced,FRS007,Digital Public Infrastructure Resilience Program,5,7.755,7.667,exposure reduction review needed,hardens public digital systems data governance cyber physical continuity and fallback capacity
Balanced,FRS001,Distributed Renewable Microgrids,6,7.748,7.662,equity-performance review needed,builds distributed energy redundancy and transition capacity for critical services
Balanced,FRS002,Regional Early Warning and Analytics Network,7,7.727,7.643,exposure reduction review needed,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks
Balanced,FRS003,Critical Supply Chain Diversification,8,7.378,7.248,equity-performance review needed,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy
Adaptation-first,FRS008,Adaptive Governance and Learning System,1,8.512,8.512,promising but requires scenario testing,links monitoring scenarios policy revision public participation and corrective action
Adaptation-first,FRS004,Adaptive Urban Heat and Flood Redesign,2,8.351,8.345,implementation-burden review needed,redesigns urban systems for heat flooding housing health mobility and climate adaptation
Adaptation-first,FRS006,Community Resilience and Mutual Aid Infrastructure,3,8.318,8.318,digital-resilience review needed,builds local trust social protection community coordination and care infrastructure under disruption
Adaptation-first,FRS005,Watershed Restoration and Nature-Based Buffers,4,8.242,8.216,digital-resilience review needed,strengthens ecological buffers floodplain function water security and social ecological resilience
Adaptation-first,FRS002,Regional Early Warning and Analytics Network,5,8.094,8.01,exposure reduction review needed,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks
Adaptation-first,FRS007,Digital Public Infrastructure Resilience Program,6,8.054,7.966,exposure reduction review needed,hardens public digital systems data governance cyber physical continuity and fallback capacity
Adaptation-first,FRS001,Distributed Renewable Microgrids,7,8.051,7.965,equity-performance review needed,builds distributed energy redundancy and transition capacity for critical services
Adaptation-first,FRS003,Critical Supply Chain Diversification,8,7.652,7.522,equity-performance review needed,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy
Buffering-first,FRS005,Watershed Restoration and Nature-Based Buffers,1,8.107,8.081,digital-resilience review needed,strengthens ecological buffers floodplain function water security and social ecological resilience
Buffering-first,FRS008,Adaptive Governance and Learning System,2,8.036,8.036,promising but requires scenario testing,links monitoring scenarios policy revision public participation and corrective action
Buffering-first,FRS004,Adaptive Urban Heat and Flood Redesign,3,7.998,7.992,implementation-burden review needed,redesigns urban systems for heat flooding housing health mobility and climate adaptation
Buffering-first,FRS006,Community Resilience and Mutual Aid Infrastructure,4,7.944,7.944,digital-resilience review needed,builds local trust social protection community coordination and care infrastructure under disruption
Buffering-first,FRS001,Distributed Renewable Microgrids,5,7.708,7.622,equity-performance review needed,builds distributed energy redundancy and transition capacity for critical services
Buffering-first,FRS007,Digital Public Infrastructure Resilience Program,6,7.675,7.587,exposure reduction review needed,hardens public digital systems data governance cyber physical continuity and fallback capacity
Buffering-first,FRS002,Regional Early Warning and Analytics Network,7,7.579,7.495,exposure reduction review needed,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks
Buffering-first,FRS003,Critical Supply Chain Diversification,8,7.498,7.368,equity-performance review needed,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy
Transformation-first,FRS008,Adaptive Governance and Learning System,1,8.524,8.524,promising but requires scenario testing,links monitoring scenarios policy revision public participation and corrective action
Transformation-first,FRS004,Adaptive Urban Heat and Flood Redesign,2,8.387,8.381,implementation-burden review needed,redesigns urban systems for heat flooding housing health mobility and climate adaptation
Transformation-first,FRS005,Watershed Restoration and Nature-Based Buffers,3,8.323,8.297,digital-resilience review needed,strengthens ecological buffers floodplain function water security and social ecological resilience
Transformation-first,FRS006,Community Resilience and Mutual Aid Infrastructure,4,8.291,8.291,digital-resilience review needed,builds local trust social protection community coordination and care infrastructure under disruption
Transformation-first,FRS001,Distributed Renewable Microgrids,5,8.077,7.991,equity-performance review needed,builds distributed energy redundancy and transition capacity for critical services
Transformation-first,FRS007,Digital Public Infrastructure Resilience Program,6,7.964,7.876,exposure reduction review needed,hardens public digital systems data governance cyber physical continuity and fallback capacity
Transformation-first,FRS002,Regional Early Warning and Analytics Network,7,7.884,7.8,exposure reduction review needed,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks
Transformation-first,FRS003,Critical Supply Chain Diversification,8,7.574,7.444,equity-performance review needed,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy
Governance-equity-first,FRS008,Adaptive Governance and Learning System,1,8.584,8.584,promising but requires scenario testing,links monitoring scenarios policy revision public participation and corrective action
Governance-equity-first,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.412,8.412,digital-resilience review needed,builds local trust social protection community coordination and care infrastructure under disruption
Governance-equity-first,FRS004,Adaptive Urban Heat and Flood Redesign,3,8.342,8.336,implementation-burden review needed,redesigns urban systems for heat flooding housing health mobility and climate adaptation
Governance-equity-first,FRS005,Watershed Restoration and Nature-Based Buffers,4,8.248,8.222,digital-resilience review needed,strengthens ecological buffers floodplain function water security and social ecological resilience
Governance-equity-first,FRS001,Distributed Renewable Microgrids,5,7.926,7.84,equity-performance review needed,builds distributed energy redundancy and transition capacity for critical services
Governance-equity-first,FRS007,Digital Public Infrastructure Resilience Program,6,7.904,7.816,exposure reduction review needed,hardens public digital systems data governance cyber physical continuity and fallback capacity
Governance-equity-first,FRS002,Regional Early Warning and Analytics Network,7,7.896,7.812,exposure reduction review needed,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks
Governance-equity-first,FRS003,Critical Supply Chain Diversification,8,7.556,7.426,equity-performance review needed,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy
Digital-resilience-first,FRS008,Adaptive Governance and Learning System,1,8.117,8.117,promising but requires scenario testing,links monitoring scenarios policy revision public participation and corrective action
Digital-resilience-first,FRS004,Adaptive Urban Heat and Flood Redesign,2,7.923,7.917,implementation-burden review needed,redesigns urban systems for heat flooding housing health mobility and climate adaptation
Digital-resilience-first,FRS007,Digital Public Infrastructure Resilience Program,3,7.948,7.86,exposure reduction review needed,hardens public digital systems data governance cyber physical continuity and fallback capacity
Digital-resilience-first,FRS002,Regional Early Warning and Analytics Network,4,7.897,7.813,exposure reduction review needed,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks
Digital-resilience-first,FRS006,Community Resilience and Mutual Aid Infrastructure,5,7.802,7.802,digital-resilience review needed,builds local trust social protection community coordination and care infrastructure under disruption
Digital-resilience-first,FRS005,Watershed Restoration and Nature-Based Buffers,6,7.741,7.715,digital-resilience review needed,strengthens ecological buffers floodplain function water security and social ecological resilience
Digital-resilience-first,FRS001,Distributed Renewable Microgrids,7,7.633,7.547,equity-performance review needed,builds distributed energy redundancy and transition capacity for critical services
Digital-resilience-first,FRS003,Critical Supply Chain Diversification,8,7.321,7.191,equity-performance review needed,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy
Climate-readiness-first,FRS008,Adaptive Governance and Learning System,1,8.446,8.446,promising but requires scenario testing,links monitoring scenarios policy revision public participation and corrective action
Climate-readiness-first,FRS004,Adaptive Urban Heat and Flood Redesign,2,8.447,8.441,implementation-burden review needed,redesigns urban systems for heat flooding housing health mobility and climate adaptation
Climate-readiness-first,FRS005,Watershed Restoration and Nature-Based Buffers,3,8.434,8.408,digital-resilience review needed,strengthens ecological buffers floodplain function water security and social ecological resilience
Climate-readiness-first,FRS006,Community Resilience and Mutual Aid Infrastructure,4,8.264,8.264,digital-resilience review needed,builds local trust social protection community coordination and care infrastructure under disruption
Climate-readiness-first,FRS001,Distributed Renewable Microgrids,5,8.097,8.011,equity-performance review needed,builds distributed energy redundancy and transition capacity for critical services
Climate-readiness-first,FRS002,Regional Early Warning and Analytics Network,6,7.959,7.875,exposure reduction review needed,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks
Climate-readiness-first,FRS007,Digital Public Infrastructure Resilience Program,7,7.94,7.852,exposure reduction review needed,hardens public digital systems data governance cyber physical continuity and fallback capacity
Climate-readiness-first,FRS003,Critical Supply Chain Diversification,8,7.6,7.47,equity-performance review needed,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy
Exposure-sensitive,FRS008,Adaptive Governance and Learning System,1,6.345,6.345,promising but requires scenario testing,links monitoring scenarios policy revision public participation and corrective action
Exposure-sensitive,FRS006,Community Resilience and Mutual Aid Infrastructure,2,6.186,6.186,digital-resilience review needed,builds local trust social protection community coordination and care infrastructure under disruption
Exposure-sensitive,FRS005,Watershed Restoration and Nature-Based Buffers,3,6.185,6.159,digital-resilience review needed,strengthens ecological buffers floodplain function water security and social ecological resilience
Exposure-sensitive,FRS004,Adaptive Urban Heat and Flood Redesign,4,6.156,6.15,implementation-burden review needed,redesigns urban systems for heat flooding housing health mobility and climate adaptation
Exposure-sensitive,FRS001,Distributed Renewable Microgrids,5,5.914,5.828,equity-performance review needed,builds distributed energy redundancy and transition capacity for critical services
Exposure-sensitive,FRS007,Digital Public Infrastructure Resilience Program,6,5.85,5.762,exposure reduction review needed,hardens public digital systems data governance cyber physical continuity and fallback capacity
Exposure-sensitive,FRS002,Regional Early Warning and Analytics Network,7,5.845,5.761,exposure reduction review needed,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks
Exposure-sensitive,FRS003,Critical Supply Chain Diversification,8,5.616,5.486,equity-performance review needed,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy
Implementation-aware,FRS008,Adaptive Governance and Learning System,1,7.985,7.985,promising but requires scenario testing,links monitoring scenarios policy revision public participation and corrective action
Implementation-aware,FRS006,Community Resilience and Mutual Aid Infrastructure,2,7.819,7.819,digital-resilience review needed,builds local trust social protection community coordination and care infrastructure under disruption
Implementation-aware,FRS004,Adaptive Urban Heat and Flood Redesign,3,7.803,7.797,implementation-burden review needed,redesigns urban systems for heat flooding housing health mobility and climate adaptation
Implementation-aware,FRS005,Watershed Restoration and Nature-Based Buffers,4,7.736,7.71,digital-resilience review needed,strengthens ecological buffers floodplain function water security and social ecological resilience
Implementation-aware,FRS007,Digital Public Infrastructure Resilience Program,5,7.521,7.433,exposure reduction review needed,hardens public digital systems data governance cyber physical continuity and fallback capacity
Implementation-aware,FRS002,Regional Early Warning and Analytics Network,6,7.5,7.416,exposure reduction review needed,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks
Implementation-aware,FRS001,Distributed Renewable Microgrids,7,7.497,7.411,equity-performance review needed,builds distributed energy redundancy and transition capacity for critical services
Implementation-aware,FRS003,Critical Supply Chain Diversification,8,7.152,7.022,equity-performance review needed,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy
