 time,performance,adaptive_capacity,recovery_friction,transformation
1, 0.88502, 0.76160, 0.26537, 0.58000
2, 0.95289, 0.78320, 0.25030, 0.58000
3, 1.00000, 0.80480, 0.23481, 0.58000
4, 1.00000, 0.82640, 0.21888, 0.58000
5, 1.00000, 0.84800, 0.20252, 0.58000
6, 1.00000, 0.86960, 0.18573, 0.58000
7, 1.00000, 0.89120, 0.16850, 0.58000
8, 1.00000, 0.91280, 0.15325, 0.58000
9, 1.00000, 0.93440, 0.13516, 0.58000
10, 1.00000, 0.95600, 0.11664, 0.58000
11, 1.00000, 0.97760, 0.09769, 0.58000
12, 1.00000, 0.99920, 0.07830, 0.58000
13, 1.00000, 1.00000, 0.05890, 0.58000
14, 1.00000, 1.00000, 0.03950, 0.58000
15, 1.00000, 1.00000, 0.02010, 0.58000
16, 1.00000, 1.00000, 0.00310, 0.58000
17, 1.00000, 1.00000, 0.00000, 0.58000
18, 1.00000, 1.00000, 0.00000, 0.58000
19, 1.00000, 1.00000, 0.00000, 0.58000
20, 1.00000, 1.00000, 0.00000, 0.58000
21, 1.00000, 1.00000, 0.00000, 0.58000
22, 1.00000, 1.00000, 0.00000, 0.58000
23, 1.00000, 1.00000, 0.00000, 0.58000
24, 1.00000, 1.00000, 0.00000, 0.58000
