simulation_id,strategy_id,strategy,rank,adjusted_resilience_value
0,FRS008,Adaptive Governance and Learning System,1,8.09867
0,FRS006,Community Resilience and Mutual Aid Infrastructure,2,7.98381
0,FRS007,Digital Public Infrastructure Resilience Program,3,7.9793
0,FRS005,Watershed Restoration and Nature-Based Buffers,4,7.84382
0,FRS004,Adaptive Urban Heat and Flood Redesign,5,7.70206
0,FRS002,Regional Early Warning and Analytics Network,6,7.67972
0,FRS001,Distributed Renewable Microgrids,7,7.62807
0,FRS003,Critical Supply Chain Diversification,8,7.18848
1,FRS008,Adaptive Governance and Learning System,1,8.30104
1,FRS004,Adaptive Urban Heat and Flood Redesign,2,8.03612
1,FRS007,Digital Public Infrastructure Resilience Program,3,8.02634
1,FRS005,Watershed Restoration and Nature-Based Buffers,4,7.9008
1,FRS006,Community Resilience and Mutual Aid Infrastructure,5,7.88471
1,FRS001,Distributed Renewable Microgrids,6,7.60041
1,FRS003,Critical Supply Chain Diversification,7,7.50117
1,FRS002,Regional Early Warning and Analytics Network,8,7.43352
2,FRS008,Adaptive Governance and Learning System,1,8.26823
2,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.16498
2,FRS004,Adaptive Urban Heat and Flood Redesign,3,7.98578
2,FRS007,Digital Public Infrastructure Resilience Program,4,7.94513
2,FRS005,Watershed Restoration and Nature-Based Buffers,5,7.86623
2,FRS002,Regional Early Warning and Analytics Network,6,7.83437
2,FRS001,Distributed Renewable Microgrids,7,7.68075
2,FRS003,Critical Supply Chain Diversification,8,7.50125
3,FRS005,Watershed Restoration and Nature-Based Buffers,1,8.27532
3,FRS004,Adaptive Urban Heat and Flood Redesign,2,8.17908
3,FRS008,Adaptive Governance and Learning System,3,8.05742
3,FRS002,Regional Early Warning and Analytics Network,4,8.0038
3,FRS001,Distributed Renewable Microgrids,5,7.59906
3,FRS006,Community Resilience and Mutual Aid Infrastructure,6,7.56703
3,FRS007,Digital Public Infrastructure Resilience Program,7,7.43206
3,FRS003,Critical Supply Chain Diversification,8,7.05542
4,FRS008,Adaptive Governance and Learning System,1,8.26179
4,FRS005,Watershed Restoration and Nature-Based Buffers,2,8.18226
4,FRS004,Adaptive Urban Heat and Flood Redesign,3,8.10636
4,FRS006,Community Resilience and Mutual Aid Infrastructure,4,8.09407
4,FRS007,Digital Public Infrastructure Resilience Program,5,7.83156
