criterion,definition,measurement_note
architecture,Architecture quality including modularity loose coupling isolation fallback modes graceful degradation and critical-function prioritization,Use architecture reviews service boundaries failure-mode mapping blast-radius analysis and graceful-degradation test results
redundancy,Redundant capacity backup components alternate routes replicated services and failover options for critical functions,Use failover tests regional redundancy backup channel coverage and single-point-of-failure inventories
observability,Ability to understand system state dependencies errors latency anomalies logs traces metrics user impact and incident patterns,Use log coverage tracing metrics alert quality dependency monitoring and time-to-detection indicators
cybersecurity,Prevention detection containment identity security segmentation vulnerability management incident response and recovery capacity,Use MFA coverage patch latency detection time containment time backup restoration and incident exercise indicators
data_integrity,Data accuracy provenance lineage validation privacy recoverability auditability and trustworthy information flow,Use validation checks lineage coverage audit trails data-quality indicators backup restoration and privacy controls
maintainability,Ability to repair update test document refactor deploy and safely change systems over time,Use technical-debt registers test coverage documentation ownership maps dependency inventories and change failure rate indicators
governance,Decision rights accountability vendor review incident governance auditability public-interest oversight and corrective-action tracking,Use ownership maps review cycles risk acceptance records vendor audits incident reports and corrective-action completion indicators
human_safeguards,Accessible fallback human override appeal paths operator sustainability worker recovery and user-centered resilience safeguards,Use accessibility tests manual fallback drills support burden on-call load burnout risk appeal metrics and user-impact reviews
vendor_contingency,Portability cloud provider contingency data export contract review API fallback and migration readiness,Use export tests exit plans contract terms alternate provider readiness platform-dependence maps and migration runbooks
technical_debt_risk,Accumulated fragility from old code unsupported dependencies documentation gaps brittle integrations and under-maintained systems,Higher values should trigger maintainability review refactoring investment and resilience debt planning
implementation_burden,Administrative budget technical procurement staffing cultural and governance burden required to implement a resilience strategy,Higher values should trigger sequencing feasibility resource planning and change-management review
