 time,function,learning,memory,strain
1, 0.97012, 0.89746, 0.90916, 0.22450
2, 1.00000, 0.89719, 0.94058, 0.14900
3, 1.00000, 0.89919, 0.97434, 0.07350
4, 1.00000, 0.90339, 1.00000, 0.00000
5, 1.00000, 0.90759, 1.00000, 0.00000
6, 1.00000, 0.91179, 1.00000, 0.00000
7, 1.00000, 0.91599, 1.00000, 0.00000
8, 1.00000, 0.92019, 1.00000, 0.00000
9, 1.00000, 0.92439, 1.00000, 0.00000
10, 0.97538, 0.96859, 1.00000, 0.02650
11, 1.00000, 0.97279, 1.00000, 0.00000
12, 1.00000, 0.97699, 1.00000, 0.00000
13, 1.00000, 0.98119, 1.00000, 0.00000
14, 1.00000, 0.98539, 1.00000, 0.00000
15, 1.00000, 0.98959, 1.00000, 0.00000
16, 1.00000, 0.99379, 1.00000, 0.00000
17, 1.00000, 0.99799, 1.00000, 0.00000
18, 1.00000, 1.00000, 1.00000, 0.00000
19, 1.00000, 1.00000, 1.00000, 0.00000
20, 1.00000, 1.00000, 1.00000, 0.00000
21, 1.00000, 1.00000, 1.00000, 0.00000
22, 1.00000, 1.00000, 1.00000, 0.00000
23, 1.00000, 1.00000, 1.00000, 0.00000
24, 0.97870, 1.00000, 1.00000, 0.02650
25, 1.00000, 1.00000, 1.00000, 0.00000
26, 1.00000, 1.00000, 1.00000, 0.00000
27, 1.00000, 1.00000, 1.00000, 0.00000
28, 1.00000, 1.00000, 1.00000, 0.00000
29, 1.00000, 1.00000, 1.00000, 0.00000
30, 1.00000, 1.00000, 1.00000, 0.00000
31, 1.00000, 1.00000, 1.00000, 0.00000
32, 1.00000, 1.00000, 1.00000, 0.00000
33, 1.00000, 1.00000, 1.00000, 0.00000
34, 1.00000, 1.00000, 1.00000, 0.00000
35, 1.00000, 1.00000, 1.00000, 0.00000
36, 1.00000, 1.00000, 1.00000, 0.00000
37, 1.00000, 1.00000, 1.00000, 0.00000
38, 1.00000, 1.00000, 1.00000, 0.00000
39, 1.00000, 1.00000, 1.00000, 0.00000
40, 1.00000, 1.00000, 1.00000, 0.00000
