organization,time,event,disruption_load,function,adaptive_response,learning_stock,memory_stock,workforce_strain,resilience_score
Highly efficient but brittle organization,0,background organizational pressure,0.09935,0.95449,0.4977,0.42644,0.42746,0.40428,0.59192
Highly efficient but brittle organization,1,background organizational pressure,0.10022,1,0.50095,0.40716,0.43861,0.30872,0.6098
Highly efficient but brittle organization,2,background organizational pressure,0.10111,1,0.50536,0.39215,0.45355,0.21332,0.62004
Highly efficient but brittle organization,3,background organizational pressure,0.10108,1,0.51092,0.38142,0.47238,0.11792,0.63176
Highly efficient but brittle organization,4,background organizational pressure,0.10128,1,0.51767,0.37495,0.49521,0.02255,0.645
Highly efficient but brittle organization,5,background organizational pressure,0.10069,1,0.52562,0.36949,0.51919,0,0.65149
Highly efficient but brittle organization,6,background organizational pressure,0.1017,1,0.52951,0.364,0.54345,0,0.65511
Highly efficient but brittle organization,7,background organizational pressure,0.10119,1,0.53208,0.35849,0.56797,0,0.65857
Highly efficient but brittle organization,8,background organizational pressure,0.10023,1,0.53469,0.35296,0.59277,0,0.66207
Highly efficient but brittle organization,9,background organizational pressure,0.10126,1,0.53733,0.34741,0.61786,0,0.66562
Highly efficient but brittle organization,10,Cyber and communications disruption,0.7228,0.97144,0.54001,0.37406,0.62924,0.03593,0.66283
Highly efficient but brittle organization,11,background organizational pressure,0.10054,1,0.54345,0.36847,0.65504,0,0.67591
Highly efficient but brittle organization,12,background organizational pressure,0.1028,1,0.54838,0.36287,0.68114,0,0.67998
Highly efficient but brittle organization,13,background organizational pressure,0.10296,1,0.55119,0.35724,0.70754,0,0.68375
Highly efficient but brittle organization,14,background organizational pressure,0.10162,1,0.55404,0.35159,0.73424,0,0.68758
Highly efficient but brittle organization,15,background organizational pressure,0.10169,1,0.55693,0.34592,0.76125,0,0.69146
Highly efficient but brittle organization,16,background organizational pressure,0.10292,1,0.55986,0.34023,0.78857,0,0.69539
Highly efficient but brittle organization,17,background organizational pressure,0.1017,1,0.56283,0.33453,0.81621,0,0.69937
Highly efficient but brittle organization,18,background organizational pressure,0.10177,1,0.56585,0.3288,0.84417,0,0.70341
Highly efficient but brittle organization,19,background organizational pressure,0.10192,1,0.5689,0.32305,0.87245,0,0.7075
Highly efficient but brittle organization,20,background organizational pressure,0.10243,1,0.572,0.31728,0.90107,0,0.71166
Highly efficient but brittle organization,21,background organizational pressure,0.10323,1,0.57514,0.31149,0.93002,0,0.71587
Highly efficient but brittle organization,22,background organizational pressure,0.10417,1,0.57833,0.30569,0.95931,0,0.72013
Highly efficient but brittle organization,23,background organizational pressure,0.1025,1,0.58156,0.29986,0.98895,0,0.72446
Highly efficient but brittle organization,24,Staffing shortage and demand surge,0.7286,0.98007,0.58483,0.32314,1,0.03744,0.72275
Highly efficient but brittle organization,25,background organizational pressure,0.10454,1,0.58762,0.31727,1,0,0.72998
Highly efficient but brittle organization,26,background organizational pressure,0.10371,1,0.58899,0.31138,1,0,0.72926
Highly efficient but brittle organization,27,background organizational pressure,0.10467,1,0.58811,0.30548,1,0,0.72817
Highly efficient but brittle organization,28,background organizational pressure,0.1046,1,0.58722,0.29955,1,0,0.72708
Highly efficient but brittle organization,29,background organizational pressure,0.10316,1,0.58633,0.2936,1,0,0.72599
Highly efficient but brittle organization,30,background organizational pressure,0.10446,1,0.58544,0.28763,1,0,0.72489
Highly efficient but brittle organization,31,background organizational pressure,0.10333,1,0.58454,0.28164,1,0,0.72379
Highly efficient but brittle organization,32,background organizational pressure,0.10317,1,0.58365,0.27564,1,0,0.72269
Highly efficient but brittle organization,33,background organizational pressure,0.10424,1,0.58275,0.26961,1,0,0.72158
Highly efficient but brittle organization,34,background organizational pressure,0.10528,1,0.58184,0.26356,1,0,0.72046
Highly efficient but brittle organization,35,background organizational pressure,0.10491,1,0.58093,0.25749,1,0,0.71935
Highly efficient but brittle organization,36,background organizational pressure,0.10414,1,0.58002,0.2514,1,0,0.71823
Highly efficient but brittle organization,37,background organizational pressure,0.10583,1,0.57911,0.2453,1,0,0.71711
