simulation_id,strategy_id,strategy,rank,organizational_resilience_value
0,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.62718
0,OR006,Operational Resilience and Continuity Exercise Program,2,7.53829
0,OR003,After-Action Learning and Corrective Action System,3,7.43793
0,OR002,Cross-Training and Role Redundancy Program,4,7.32298
0,OR001,Critical Function and Dependency Mapping,5,7.15429
0,OR004,Institutional Memory and Knowledge Architecture Program,6,6.97022
1,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.64033
1,OR006,Operational Resilience and Continuity Exercise Program,2,7.50654
1,OR004,Institutional Memory and Knowledge Architecture Program,3,7.45363
1,OR002,Cross-Training and Role Redundancy Program,4,7.28168
1,OR003,After-Action Learning and Corrective Action System,5,7.19841
1,OR001,Critical Function and Dependency Mapping,6,7.17345
2,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.78349
2,OR002,Cross-Training and Role Redundancy Program,2,7.45684
2,OR006,Operational Resilience and Continuity Exercise Program,3,7.45376
2,OR004,Institutional Memory and Knowledge Architecture Program,4,7.40105
2,OR001,Critical Function and Dependency Mapping,5,7.2977
2,OR003,After-Action Learning and Corrective Action System,6,7.24843
3,OR003,After-Action Learning and Corrective Action System,1,7.46093
3,OR006,Operational Resilience and Continuity Exercise Program,2,7.41788
3,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.26296
3,OR004,Institutional Memory and Knowledge Architecture Program,4,7.20532
3,OR002,Cross-Training and Role Redundancy Program,5,7.17056
3,OR001,Critical Function and Dependency Mapping,6,7.09035
4,OR002,Cross-Training and Role Redundancy Program,1,7.54594
4,OR006,Operational Resilience and Continuity Exercise Program,2,7.29029
4,OR001,Critical Function and Dependency Mapping,3,7.25356
4,OR004,Institutional Memory and Knowledge Architecture Program,4,7.17368
4,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.17286
4,OR003,After-Action Learning and Corrective Action System,6,7.11761
5,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.55404
5,OR006,Operational Resilience and Continuity Exercise Program,2,7.52141
5,OR003,After-Action Learning and Corrective Action System,3,7.50914
5,OR004,Institutional Memory and Knowledge Architecture Program,4,7.37949
5,OR001,Critical Function and Dependency Mapping,5,7.36953
5,OR002,Cross-Training and Role Redundancy Program,6,7.04429
6,OR003,After-Action Learning and Corrective Action System,1,7.42662
6,OR004,Institutional Memory and Knowledge Architecture Program,2,7.40757
6,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.40381
6,OR006,Operational Resilience and Continuity Exercise Program,4,7.39373
6,OR001,Critical Function and Dependency Mapping,5,7.08716
6,OR002,Cross-Training and Role Redundancy Program,6,6.88335
7,OR002,Cross-Training and Role Redundancy Program,1,7.64776
7,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.61836
7,OR001,Critical Function and Dependency Mapping,3,7.30549
7,OR004,Institutional Memory and Knowledge Architecture Program,4,7.29987
7,OR006,Operational Resilience and Continuity Exercise Program,5,7.18133
7,OR003,After-Action Learning and Corrective Action System,6,6.87128
8,OR003,After-Action Learning and Corrective Action System,1,7.54169
8,OR006,Operational Resilience and Continuity Exercise Program,2,7.47724
8,OR002,Cross-Training and Role Redundancy Program,3,7.27258
8,OR001,Critical Function and Dependency Mapping,4,7.24461
8,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.18373
8,OR004,Institutional Memory and Knowledge Architecture Program,6,7.15693
9,OR003,After-Action Learning and Corrective Action System,1,7.58096
