simulation_id,strategy_id,strategy,rank,local_resilience_value,winner
0,LE003,Local Procurement and Anchor Institution Access,1,7.61829,Local Procurement and Anchor Institution Access
0,LE002,Community Development Finance and Patient Capital,2,7.5385,Local Procurement and Anchor Institution Access
0,LE006,Workforce Childcare and Local Skills Resilience,3,7.40367,Local Procurement and Anchor Institution Access
0,LE005,Commercial Anti-Displacement and Ownership Strategy,4,7.34166,Local Procurement and Anchor Institution Access
0,LE001,Emergency Microgrant and Liquidity Fund,5,7.29092,Local Procurement and Anchor Institution Access
0,LE004,Small Business Continuity and Digital Resilience Support,6,7.03856,Local Procurement and Anchor Institution Access
1,LE005,Commercial Anti-Displacement and Ownership Strategy,1,7.71732,Commercial Anti-Displacement and Ownership Strategy
1,LE001,Emergency Microgrant and Liquidity Fund,2,7.64385,Commercial Anti-Displacement and Ownership Strategy
1,LE003,Local Procurement and Anchor Institution Access,3,7.51825,Commercial Anti-Displacement and Ownership Strategy
1,LE006,Workforce Childcare and Local Skills Resilience,4,7.48363,Commercial Anti-Displacement and Ownership Strategy
1,LE002,Community Development Finance and Patient Capital,5,7.48351,Commercial Anti-Displacement and Ownership Strategy
1,LE004,Small Business Continuity and Digital Resilience Support,6,7.21494,Commercial Anti-Displacement and Ownership Strategy
2,LE003,Local Procurement and Anchor Institution Access,1,7.99847,Local Procurement and Anchor Institution Access
2,LE006,Workforce Childcare and Local Skills Resilience,2,7.60224,Local Procurement and Anchor Institution Access
2,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.57005,Local Procurement and Anchor Institution Access
2,LE002,Community Development Finance and Patient Capital,4,7.42085,Local Procurement and Anchor Institution Access
2,LE004,Small Business Continuity and Digital Resilience Support,5,7.40384,Local Procurement and Anchor Institution Access
2,LE001,Emergency Microgrant and Liquidity Fund,6,7.39322,Local Procurement and Anchor Institution Access
3,LE005,Commercial Anti-Displacement and Ownership Strategy,1,7.66512,Commercial Anti-Displacement and Ownership Strategy
3,LE001,Emergency Microgrant and Liquidity Fund,2,7.62932,Commercial Anti-Displacement and Ownership Strategy
3,LE002,Community Development Finance and Patient Capital,3,7.54821,Commercial Anti-Displacement and Ownership Strategy
3,LE003,Local Procurement and Anchor Institution Access,4,7.52935,Commercial Anti-Displacement and Ownership Strategy
3,LE004,Small Business Continuity and Digital Resilience Support,5,7.52073,Commercial Anti-Displacement and Ownership Strategy
3,LE006,Workforce Childcare and Local Skills Resilience,6,7.41236,Commercial Anti-Displacement and Ownership Strategy
4,LE002,Community Development Finance and Patient Capital,1,7.87401,Community Development Finance and Patient Capital
4,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.71447,Community Development Finance and Patient Capital
4,LE004,Small Business Continuity and Digital Resilience Support,3,7.44337,Community Development Finance and Patient Capital
4,LE003,Local Procurement and Anchor Institution Access,4,7.43994,Community Development Finance and Patient Capital
4,LE001,Emergency Microgrant and Liquidity Fund,5,7.1957,Community Development Finance and Patient Capital
4,LE006,Workforce Childcare and Local Skills Resilience,6,6.94388,Community Development Finance and Patient Capital
5,LE003,Local Procurement and Anchor Institution Access,1,7.64231,Local Procurement and Anchor Institution Access
5,LE004,Small Business Continuity and Digital Resilience Support,2,7.52654,Local Procurement and Anchor Institution Access
5,LE006,Workforce Childcare and Local Skills Resilience,3,7.4927,Local Procurement and Anchor Institution Access
5,LE005,Commercial Anti-Displacement and Ownership Strategy,4,7.45307,Local Procurement and Anchor Institution Access
5,LE002,Community Development Finance and Patient Capital,5,7.39381,Local Procurement and Anchor Institution Access
5,LE001,Emergency Microgrant and Liquidity Fund,6,7.2351,Local Procurement and Anchor Institution Access
6,LE002,Community Development Finance and Patient Capital,1,7.68794,Community Development Finance and Patient Capital
6,LE003,Local Procurement and Anchor Institution Access,2,7.68608,Community Development Finance and Patient Capital
6,LE001,Emergency Microgrant and Liquidity Fund,3,7.49571,Community Development Finance and Patient Capital
6,LE004,Small Business Continuity and Digital Resilience Support,4,7.41144,Community Development Finance and Patient Capital
6,LE006,Workforce Childcare and Local Skills Resilience,5,7.23954,Community Development Finance and Patient Capital
6,LE005,Commercial Anti-Displacement and Ownership Strategy,6,7.13774,Community Development Finance and Patient Capital
7,LE002,Community Development Finance and Patient Capital,1,7.76965,Community Development Finance and Patient Capital
7,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.40676,Community Development Finance and Patient Capital
7,LE001,Emergency Microgrant and Liquidity Fund,3,7.32403,Community Development Finance and Patient Capital
7,LE004,Small Business Continuity and Digital Resilience Support,4,7.31615,Community Development Finance and Patient Capital
7,LE006,Workforce Childcare and Local Skills Resilience,5,7.29594,Community Development Finance and Patient Capital
7,LE003,Local Procurement and Anchor Institution Access,6,7.20708,Community Development Finance and Patient Capital
8,LE003,Local Procurement and Anchor Institution Access,1,7.77164,Local Procurement and Anchor Institution Access
8,LE001,Emergency Microgrant and Liquidity Fund,2,7.6383,Local Procurement and Anchor Institution Access
8,LE006,Workforce Childcare and Local Skills Resilience,3,7.43121,Local Procurement and Anchor Institution Access
8,LE004,Small Business Continuity and Digital Resilience Support,4,7.35816,Local Procurement and Anchor Institution Access
8,LE005,Commercial Anti-Displacement and Ownership Strategy,5,7.22921,Local Procurement and Anchor Institution Access
8,LE002,Community Development Finance and Patient Capital,6,7.0358,Local Procurement and Anchor Institution Access
9,LE003,Local Procurement and Anchor Institution Access,1,7.90488,Local Procurement and Anchor Institution Access
9,LE002,Community Development Finance and Patient Capital,2,7.62879,Local Procurement and Anchor Institution Access
9,LE006,Workforce Childcare and Local Skills Resilience,3,7.48467,Local Procurement and Anchor Institution Access
9,LE004,Small Business Continuity and Digital Resilience Support,4,7.28821,Local Procurement and Anchor Institution Access
9,LE001,Emergency Microgrant and Liquidity Fund,5,7.27139,Local Procurement and Anchor Institution Access
9,LE005,Commercial Anti-Displacement and Ownership Strategy,6,7.17092,Local Procurement and Anchor Institution Access
10,LE003,Local Procurement and Anchor Institution Access,1,7.5238,Local Procurement and Anchor Institution Access
10,LE001,Emergency Microgrant and Liquidity Fund,2,7.4568,Local Procurement and Anchor Institution Access
10,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.43683,Local Procurement and Anchor Institution Access
10,LE002,Community Development Finance and Patient Capital,4,7.42467,Local Procurement and Anchor Institution Access
10,LE006,Workforce Childcare and Local Skills Resilience,5,7.24558,Local Procurement and Anchor Institution Access
10,LE004,Small Business Continuity and Digital Resilience Support,6,6.90939,Local Procurement and Anchor Institution Access
11,LE001,Emergency Microgrant and Liquidity Fund,1,7.68912,Emergency Microgrant and Liquidity Fund
11,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.67163,Emergency Microgrant and Liquidity Fund
11,LE002,Community Development Finance and Patient Capital,3,7.47844,Emergency Microgrant and Liquidity Fund
11,LE006,Workforce Childcare and Local Skills Resilience,4,7.46052,Emergency Microgrant and Liquidity Fund
11,LE004,Small Business Continuity and Digital Resilience Support,5,7.45625,Emergency Microgrant and Liquidity Fund
11,LE003,Local Procurement and Anchor Institution Access,6,7.32698,Emergency Microgrant and Liquidity Fund
12,LE002,Community Development Finance and Patient Capital,1,7.69117,Community Development Finance and Patient Capital
12,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.66115,Community Development Finance and Patient Capital
12,LE003,Local Procurement and Anchor Institution Access,3,7.49747,Community Development Finance and Patient Capital
