business_id,business,business_context,time,event,shock_load,adaptive_capacity,fragility_gap,function,cash_runway,customer_demand,owner_strain,equity_adjusted_function,survival_risk
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,0,background local volatility,0.08485,0.4388,0.0,0.87071,0.309,0.8306,0.65875,0.65598,0.41885
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,1,background local volatility,0.08574,0.44344,0.0,0.97519,0.33794,0.8692,0.59535,0.7468,0.35948
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,2,background local volatility,0.08665,0.44807,0.0,1.0,0.36682,0.9078,0.5298,0.77242,0.32757
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,3,background local volatility,0.08664,0.45269,0.0,1.0,0.39564,0.9464,0.46195,0.77784,0.30392
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,4,background local volatility,0.08686,0.4573,0.0,1.0,0.4244,0.985,0.39183,0.78345,0.27983
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,5,background local volatility,0.08629,0.4619,0.0,1.0,0.4531,1.0,0.31956,0.78924,0.25533
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,6,background local volatility,0.08732,0.4665,0.0,1.0,0.48174,1.0,0.24748,0.795,0.23089
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,7,background local volatility,0.08683,0.47108,0.0,1.0,0.51032,1.0,0.17531,0.80078,0.20645
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,8,Demand shock,0.5336,0.47565,0.05795,1.0,0.4882,0.917,0.19225,0.77342,0.22338
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,9,background local volatility,0.08604,0.47211,0.0,1.0,0.51666,0.9556,0.11994,0.80521,0.19316
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,10,background local volatility,0.08709,0.47667,0.0,1.0,0.54506,0.9942,0.04781,0.81097,0.16879
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,11,background local volatility,0.08626,0.48121,0.0,1.0,0.5734,1.0,0.0,0.8148,0.14931
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,12,background local volatility,0.08854,0.48574,0.0,1.0,0.60168,1.0,0.0,0.8148,0.13941
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,13,background local volatility,0.08872,0.49027,0.0,1.0,0.6299,1.0,0.0,0.8148,0.12954
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,14,background local volatility,0.0874,0.49478,0.0,1.0,0.65806,1.0,0.0,0.8148,0.11968
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,15,background local volatility,0.08749,0.49929,0.0,1.0,0.68616,1.0,0.0,0.8148,0.10984
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,16,background local volatility,0.08874,0.50379,0.0,1.0,0.7142,1.0,0.0,0.8148,0.10003
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,17,background local volatility,0.08754,0.50827,0.0,1.0,0.74218,1.0,0.0,0.8148,0.09024
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,18,background local volatility,0.08763,0.51275,0.0,1.0,0.7701,1.0,0.0,0.8148,0.08047
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,19,background local volatility,0.0878,0.51722,0.0,1.0,0.79796,1.0,0.0,0.8148,0.07071
SB001,Undercapitalized neighborhood retailer,low cash runway high community role and limited formal finance,20,Supplier delay and price increase,0.566,0.52167,0.04433,1.0,0.77211,0.981,0.02073,0.78814,0.08834
