strategy_id,strategy,system_domain,liquidity_support,workforce_capacity,supply_resilience,digital_readiness,public_capacity,community_wealth,equity_access,inequality_risk,implementation_burden,critical_function,local_resilience_value,equity_gap,liquidity_gap,workforce_gap,adjusted_value,scenario,rank
LE002,Community Development Finance and Patient Capital,CDFI community banking credit unions and patient capital,8.7,7.5,7.6,7.5,8.4,8.7,8.9,2.7,3.5,expands fair relationship-based capital for firms excluded by conventional lending and weak collateral systems,7.586,0,0,0.5,7.556,Balanced,1
LE003,Local Procurement and Anchor Institution Access,anchor procurement local purchasing and contract access,7.6,7.8,8.6,7.8,8.8,8.8,8.4,3,3.6,connects small firms to stable demand from public agencies hospitals universities schools utilities and large employers,7.594000000000001,0.09999999999999964,0.40000000000000036,0.20000000000000018,7.550000000000001,Balanced,2
LE005,Commercial Anti-Displacement and Ownership Strategy,local ownership commercial stabilization and anti-displacement,7.4,7.8,7.7,7.2,8.6,9.1,8.8,2.9,3.7,protects long-standing firms from rent shocks speculative redevelopment property loss and displacement after recovery investment,7.468,0,0.5999999999999996,0.20000000000000018,7.42,Balanced,3
LE006,Workforce Childcare and Local Skills Resilience,workforce capacity care infrastructure and local skills,7.2,9.2,7.5,7.4,8.5,8,8.7,2.8,3.6,protects local labor capacity through childcare transit training job quality scheduling stability and worker-centered resilience,7.4540000000000015,0,0.7999999999999998,0,7.4060000000000015,Balanced,4
LE001,Emergency Microgrant and Liquidity Fund,rapid liquidity emergency grants and cash runway protection,9.2,7.4,7.2,7.4,8.3,7.5,8.6,2.8,3,provides fast low-burden support before temporary disruption becomes permanent closure or predatory borrowing,7.363000000000001,0,0,0.5999999999999996,7.327000000000002,Balanced,5
LE004,Small Business Continuity and Digital Resilience Support,business continuity cyber readiness and digital operations,7.8,7.6,7.8,9.1,8.2,7.6,8.2,3.1,3.2,helps firms maintain records payments communications online visibility cybersecurity and alternate operating modes during disruption,7.374999999999999,0.3000000000000007,0.20000000000000018,0.40000000000000036,7.314999999999999,Balanced,6
LE003,Local Procurement and Anchor Institution Access,anchor procurement local purchasing and contract access,7.6,7.8,8.6,7.8,8.8,8.8,8.4,3,3.6,connects small firms to stable demand from public agencies hospitals universities schools utilities and large employers,8.512000000000002,0.09999999999999964,0.40000000000000036,0.20000000000000018,8.468000000000004,Community-wealth-first,1
LE002,Community Development Finance and Patient Capital,CDFI community banking credit unions and patient capital,8.7,7.5,7.6,7.5,8.4,8.7,8.9,2.7,3.5,expands fair relationship-based capital for firms excluded by conventional lending and weak collateral systems,8.477,0,0,0.5,8.447000000000001,Community-wealth-first,2
LE005,Commercial Anti-Displacement and Ownership Strategy,local ownership commercial stabilization and anti-displacement,7.4,7.8,7.7,7.2,8.6,9.1,8.8,2.9,3.7,protects long-standing firms from rent shocks speculative redevelopment property loss and displacement after recovery investment,8.485000000000001,0,0.5999999999999996,0.20000000000000018,8.437000000000001,Community-wealth-first,3
LE006,Workforce Childcare and Local Skills Resilience,workforce capacity care infrastructure and local skills,7.2,9.2,7.5,7.4,8.5,8,8.7,2.8,3.6,protects local labor capacity through childcare transit training job quality scheduling stability and worker-centered resilience,8.204,0,0.7999999999999998,0,8.156,Community-wealth-first,4
LE001,Emergency Microgrant and Liquidity Fund,rapid liquidity emergency grants and cash runway protection,9.2,7.4,7.2,7.4,8.3,7.5,8.6,2.8,3,provides fast low-burden support before temporary disruption becomes permanent closure or predatory borrowing,8.002,0,0,0.5999999999999996,7.966000000000001,Community-wealth-first,5
LE004,Small Business Continuity and Digital Resilience Support,business continuity cyber readiness and digital operations,7.8,7.6,7.8,9.1,8.2,7.6,8.2,3.1,3.2,helps firms maintain records payments communications online visibility cybersecurity and alternate operating modes during disruption,8.004,0.3000000000000007,0.20000000000000018,0.40000000000000036,7.944,Community-wealth-first,6
LE004,Small Business Continuity and Digital Resilience Support,business continuity cyber readiness and digital operations,7.8,7.6,7.8,9.1,8.2,7.6,8.2,3.1,3.2,helps firms maintain records payments communications online visibility cybersecurity and alternate operating modes during disruption,7.991000000000001,0.3000000000000007,0.20000000000000018,0.40000000000000036,7.931000000000002,Digital-first,1
LE003,Local Procurement and Anchor Institution Access,anchor procurement local purchasing and contract access,7.6,7.8,8.6,7.8,8.8,8.8,8.4,3,3.6,connects small firms to stable demand from public agencies hospitals universities schools utilities and large employers,7.834,0.09999999999999964,0.40000000000000036,0.20000000000000018,7.789999999999999,Digital-first,2
LE002,Community Development Finance and Patient Capital,CDFI community banking credit unions and patient capital,8.7,7.5,7.6,7.5,8.4,8.7,8.9,2.7,3.5,expands fair relationship-based capital for firms excluded by conventional lending and weak collateral systems,7.744000000000001,0,0,0.5,7.714,Digital-first,3
LE006,Workforce Childcare and Local Skills Resilience,workforce capacity care infrastructure and local skills,7.2,9.2,7.5,7.4,8.5,8,8.7,2.8,3.6,protects local labor capacity through childcare transit training job quality scheduling stability and worker-centered resilience,7.6240000000000006,0,0.7999999999999998,0,7.5760000000000005,Digital-first,4
LE005,Commercial Anti-Displacement and Ownership Strategy,local ownership commercial stabilization and anti-displacement,7.4,7.8,7.7,7.2,8.6,9.1,8.8,2.9,3.7,protects long-standing firms from rent shocks speculative redevelopment property loss and displacement after recovery investment,7.582000000000002,0,0.5999999999999996,0.20000000000000018,7.5340000000000025,Digital-first,5
LE001,Emergency Microgrant and Liquidity Fund,rapid liquidity emergency grants and cash runway protection,9.2,7.4,7.2,7.4,8.3,7.5,8.6,2.8,3,provides fast low-burden support before temporary disruption becomes permanent closure or predatory borrowing,7.556000000000001,0,0,0.5999999999999996,7.520000000000001,Digital-first,6
LE002,Community Development Finance and Patient Capital,CDFI community banking credit unions and patient capital,8.7,7.5,7.6,7.5,8.4,8.7,8.9,2.7,3.5,expands fair relationship-based capital for firms excluded by conventional lending and weak collateral systems,8.453,0,0,0.5,8.423,Equity-first,1
LE003,Local Procurement and Anchor Institution Access,anchor procurement local purchasing and contract access,7.6,7.8,8.6,7.8,8.8,8.8,8.4,3,3.6,connects small firms to stable demand from public agencies hospitals universities schools utilities and large employers,8.348,0.09999999999999964,0.40000000000000036,0.20000000000000018,8.304000000000002,Equity-first,2
LE005,Commercial Anti-Displacement and Ownership Strategy,local ownership commercial stabilization and anti-displacement,7.4,7.8,7.7,7.2,8.6,9.1,8.8,2.9,3.7,protects long-standing firms from rent shocks speculative redevelopment property loss and displacement after recovery investment,8.347000000000001,0,0.5999999999999996,0.20000000000000018,8.299000000000001,Equity-first,3
LE006,Workforce Childcare and Local Skills Resilience,workforce capacity care infrastructure and local skills,7.2,9.2,7.5,7.4,8.5,8,8.7,2.8,3.6,protects local labor capacity through childcare transit training job quality scheduling stability and worker-centered resilience,8.278,0,0.7999999999999998,0,8.23,Equity-first,4
LE001,Emergency Microgrant and Liquidity Fund,rapid liquidity emergency grants and cash runway protection,9.2,7.4,7.2,7.4,8.3,7.5,8.6,2.8,3,provides fast low-burden support before temporary disruption becomes permanent closure or predatory borrowing,8.16,0,0,0.5999999999999996,8.124,Equity-first,5
LE004,Small Business Continuity and Digital Resilience Support,business continuity cyber readiness and digital operations,7.8,7.6,7.8,9.1,8.2,7.6,8.2,3.1,3.2,helps firms maintain records payments communications online visibility cybersecurity and alternate operating modes during disruption,8.037999999999998,0.3000000000000007,0.20000000000000018,0.40000000000000036,7.977999999999997,Equity-first,6
LE002,Community Development Finance and Patient Capital,CDFI community banking credit unions and patient capital,8.7,7.5,7.6,7.5,8.4,8.7,8.9,2.7,3.5,expands fair relationship-based capital for firms excluded by conventional lending and weak collateral systems,7.430000000000001,0,0,0.5,7.4,Implementation-aware,1
LE003,Local Procurement and Anchor Institution Access,anchor procurement local purchasing and contract access,7.6,7.8,8.6,7.8,8.8,8.8,8.4,3,3.6,connects small firms to stable demand from public agencies hospitals universities schools utilities and large employers,7.438000000000001,0.09999999999999964,0.40000000000000036,0.20000000000000018,7.394,Implementation-aware,2
LE005,Commercial Anti-Displacement and Ownership Strategy,local ownership commercial stabilization and anti-displacement,7.4,7.8,7.7,7.2,8.6,9.1,8.8,2.9,3.7,protects long-standing firms from rent shocks speculative redevelopment property loss and displacement after recovery investment,7.304000000000001,0,0.5999999999999996,0.20000000000000018,7.256000000000002,Implementation-aware,3
LE006,Workforce Childcare and Local Skills Resilience,workforce capacity care infrastructure and local skills,7.2,9.2,7.5,7.4,8.5,8,8.7,2.8,3.6,protects local labor capacity through childcare transit training job quality scheduling stability and worker-centered resilience,7.294000000000001,0,0.7999999999999998,0,7.246000000000001,Implementation-aware,4
