simulation_id,strategy_id,strategy,rank,resilience_value,winner
0,RD006,Regional Food System Resilience Portfolio,1,7.2129,Regional Food System Resilience Portfolio
0,RD002,Multi-Supplier and Multi-Technology System Design,2,7.21178,Regional Food System Resilience Portfolio
0,RD003,Cross-Trained Organizational Response Model,3,7.08925,Regional Food System Resilience Portfolio
0,RD005,Public Health Community Surge Network,4,7.00419,Regional Food System Resilience Portfolio
0,RD004,Ecological Restoration for Functional Overlap,5,6.95772,Regional Food System Resilience Portfolio
0,RD001,Distributed Backup Infrastructure Network,6,6.82887,Regional Food System Resilience Portfolio
1,RD003,Cross-Trained Organizational Response Model,1,7.72588,Cross-Trained Organizational Response Model
1,RD005,Public Health Community Surge Network,2,7.45033,Cross-Trained Organizational Response Model
1,RD001,Distributed Backup Infrastructure Network,3,7.21727,Cross-Trained Organizational Response Model
1,RD002,Multi-Supplier and Multi-Technology System Design,4,7.20443,Cross-Trained Organizational Response Model
1,RD006,Regional Food System Resilience Portfolio,5,7.08707,Cross-Trained Organizational Response Model
1,RD004,Ecological Restoration for Functional Overlap,6,6.87293,Cross-Trained Organizational Response Model
2,RD003,Cross-Trained Organizational Response Model,1,7.55619,Cross-Trained Organizational Response Model
2,RD004,Ecological Restoration for Functional Overlap,2,7.33506,Cross-Trained Organizational Response Model
2,RD005,Public Health Community Surge Network,3,7.31826,Cross-Trained Organizational Response Model
2,RD002,Multi-Supplier and Multi-Technology System Design,4,7.30533,Cross-Trained Organizational Response Model
2,RD001,Distributed Backup Infrastructure Network,5,7.00973,Cross-Trained Organizational Response Model
2,RD006,Regional Food System Resilience Portfolio,6,6.95023,Cross-Trained Organizational Response Model
3,RD006,Regional Food System Resilience Portfolio,1,7.50032,Regional Food System Resilience Portfolio
3,RD002,Multi-Supplier and Multi-Technology System Design,2,7.29775,Regional Food System Resilience Portfolio
3,RD005,Public Health Community Surge Network,3,7.29382,Regional Food System Resilience Portfolio
3,RD003,Cross-Trained Organizational Response Model,4,7.22973,Regional Food System Resilience Portfolio
3,RD001,Distributed Backup Infrastructure Network,5,7.2084,Regional Food System Resilience Portfolio
3,RD004,Ecological Restoration for Functional Overlap,6,7.18717,Regional Food System Resilience Portfolio
4,RD005,Public Health Community Surge Network,1,7.50116,Public Health Community Surge Network
4,RD002,Multi-Supplier and Multi-Technology System Design,2,7.25545,Public Health Community Surge Network
4,RD004,Ecological Restoration for Functional Overlap,3,7.19288,Public Health Community Surge Network
4,RD003,Cross-Trained Organizational Response Model,4,7.17213,Public Health Community Surge Network
4,RD001,Distributed Backup Infrastructure Network,5,7.00055,Public Health Community Surge Network
4,RD006,Regional Food System Resilience Portfolio,6,6.84444,Public Health Community Surge Network
5,RD006,Regional Food System Resilience Portfolio,1,7.33335,Regional Food System Resilience Portfolio
5,RD003,Cross-Trained Organizational Response Model,2,7.2882,Regional Food System Resilience Portfolio
5,RD002,Multi-Supplier and Multi-Technology System Design,3,7.25423,Regional Food System Resilience Portfolio
5,RD001,Distributed Backup Infrastructure Network,4,7.19421,Regional Food System Resilience Portfolio
5,RD004,Ecological Restoration for Functional Overlap,5,6.93775,Regional Food System Resilience Portfolio
