 time,function_level,disturbance,redundancy,diversity,common_mode_risk
1, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
2, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
3, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
4, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
5, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
6, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
7, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
8, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
9, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
10, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
11, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
12, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
13, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
14, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
15, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
16, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
17, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
18, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
19, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
20, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
21, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
22, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
23, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
24, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
25, 1.00000, 0.34000, 0.72000, 0.70000, 0.34000
26, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
27, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
28, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
29, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
30, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
31, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
32, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
33, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
34, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
35, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
36, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
37, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
38, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
39, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
40, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
41, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
42, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
43, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
44, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
45, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
46, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
47, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
48, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
49, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
50, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
51, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
52, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
53, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
54, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
55, 1.00000, 0.34000, 0.72000, 0.70000, 0.34000
56, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
57, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
58, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
59, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
60, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
61, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
62, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
63, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
64, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
65, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
66, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
67, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
68, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
69, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
70, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
71, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
72, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
73, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
74, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
75, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
76, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
77, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
78, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
79, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
80, 1.00000, 0.06000, 0.72000, 0.70000, 0.34000
