 time,condition,disturbance,resilience_margin,threshold_flag
1, 0.7899, 0.4284, 1.9455,viable margin
2, 0.7840, 0.7142, 1.6538,viable margin
3, 0.7623, 1.0034, 1.3429,viable margin
4, 0.7245, 1.2957, 1.0128,viable margin
5, 0.6809, 1.4000, 0.8649,viable margin
6, 0.6373, 1.4000, 0.8213,viable margin
7, 0.5938, 1.4000, 0.7778,viable margin
8, 0.5502, 1.4000, 0.7342,threshold risk
9, 0.5067, 1.4000, 0.6907,threshold risk
10, 0.4631, 1.4000, 0.6471,threshold risk
11, 0.4195, 1.4000, 0.6035,threshold risk
12, 0.3760, 1.4000, 0.5600,threshold risk
13, 0.3324, 1.4000, 0.5164,threshold risk
14, 0.2889, 1.4000, 0.4729,threshold risk
15, 0.2453, 1.4000, 0.4293,threshold risk
16, 0.2017, 1.4000, 0.3857,threshold risk
17, 0.1582, 1.4000, 0.3422,threshold risk
18, 0.1146, 1.4000, 0.2986,threshold risk
19, 0.0711, 1.4000, 0.2551,threshold risk
20, 0.0275, 1.4000, 0.2115,threshold risk
21, 0.0000, 1.4000, 0.1840,threshold risk
22, 0.0000, 1.4000, 0.1840,threshold risk
23, 0.0000, 1.4000, 0.1840,threshold risk
24, 0.0000, 1.4000, 0.1840,threshold risk
25, 0.0000, 1.4000, 0.1840,threshold risk
26, 0.0000, 1.4000, 0.1840,threshold risk
27, 0.0000, 1.4000, 0.1840,threshold risk
28, 0.0000, 1.4000, 0.1840,threshold risk
29, 0.0000, 1.4000, 0.1840,threshold risk
30, 0.0000, 1.4000, 0.1840,threshold risk
31, 0.0000, 1.4000, 0.1840,threshold risk
32, 0.0000, 1.4000, 0.1840,threshold risk
33, 0.0000, 1.4000, 0.1840,threshold risk
34, 0.0000, 1.4000, 0.1840,threshold risk
35, 0.0000, 1.4000, 0.1840,threshold risk
36, 0.0000, 1.4000, 0.1840,threshold risk
37, 0.0000, 1.4000, 0.1840,threshold risk
38, 0.0000, 1.4000, 0.1840,threshold risk
39, 0.0000, 1.4000, 0.1840,threshold risk
40, 0.0000, 1.4000, 0.1840,threshold risk
41, 0.0000, 1.4000, 0.1840,threshold risk
42, 0.0000, 1.4000, 0.1840,threshold risk
43, 0.0000, 1.4000, 0.1840,threshold risk
44, 0.0000, 1.4000, 0.1840,threshold risk
45, 0.0000, 1.4000, 0.1840,threshold risk
46, 0.0000, 1.4000, 0.1840,threshold risk
47, 0.0000, 1.4000, 0.1840,threshold risk
48, 0.0000, 1.4000, 0.1840,threshold risk
49, 0.0000, 1.4000, 0.1840,threshold risk
50, 0.0000, 1.4000, 0.1840,threshold risk
51, 0.0000, 1.4000, 0.1840,threshold risk
52, 0.0000, 1.4000, 0.1840,threshold risk
53, 0.0000, 1.4000, 0.1840,threshold risk
54, 0.0000, 1.4000, 0.1840,threshold risk
55, 0.0000, 1.4000, 0.1840,threshold risk
56, 0.0000, 1.4000, 0.1840,threshold risk
57, 0.0000, 1.4000, 0.1840,threshold risk
58, 0.0000, 1.4000, 0.1840,threshold risk
59, 0.0000, 1.4000, 0.1840,threshold risk
60, 0.0000, 1.4000, 0.1840,threshold risk
61, 0.0000, 1.4000, 0.1840,threshold risk
62, 0.0000, 1.4000, 0.1840,threshold risk
63, 0.0000, 1.4000, 0.1840,threshold risk
64, 0.0000, 1.4000, 0.1840,threshold risk
65, 0.0000, 1.4000, 0.1840,threshold risk
66, 0.0000, 1.4000, 0.1840,threshold risk
67, 0.0000, 1.4000, 0.1840,threshold risk
68, 0.0000, 1.4000, 0.1840,threshold risk
69, 0.0000, 1.4000, 0.1840,threshold risk
70, 0.0000, 1.4000, 0.1840,threshold risk
71, 0.0000, 1.4000, 0.1840,threshold risk
72, 0.0000, 1.4000, 0.1840,threshold risk
73, 0.0000, 1.4000, 0.1840,threshold risk
74, 0.0000, 1.4000, 0.1840,threshold risk
75, 0.0000, 1.4000, 0.1840,threshold risk
76, 0.0000, 1.4000, 0.1840,threshold risk
77, 0.0000, 1.4000, 0.1840,threshold risk
78, 0.0000, 1.4000, 0.1840,threshold risk
79, 0.0000, 1.4000, 0.1840,threshold risk
80, 0.0000, 1.4000, 0.1840,threshold risk
