time,condition,disturbance,resilience_margin,threshold_flag
1,0.78988,0.428359,1.94552,viable margin
2,0.784039,0.714205,1.65383,viable margin
3,0.762292,1.00339,1.3429,viable margin
4,0.724468,1.29572,1.01275,viable margin
5,0.680908,1.4,0.864908,viable margin
6,0.637348,1.4,0.821348,viable margin
7,0.593788,1.4,0.777788,viable margin
8,0.550228,1.4,0.734228,threshold risk
9,0.506668,1.4,0.690668,threshold risk
10,0.463108,1.4,0.647108,threshold risk
11,0.419548,1.4,0.603548,threshold risk
12,0.375988,1.4,0.559988,threshold risk
13,0.332428,1.4,0.516428,threshold risk
14,0.288868,1.4,0.472868,threshold risk
15,0.245308,1.4,0.429308,threshold risk
16,0.201748,1.4,0.385748,threshold risk
17,0.158188,1.4,0.342188,threshold risk
18,0.114628,1.4,0.298628,threshold risk
19,0.0710679,1.4,0.255068,threshold risk
20,0.0275079,1.4,0.211508,threshold risk
21,0,1.4,0.184,threshold risk
22,0,1.4,0.184,threshold risk
23,0,1.4,0.184,threshold risk
24,0,1.4,0.184,threshold risk
25,0,1.4,0.184,threshold risk
26,0,1.4,0.184,threshold risk
27,0,1.4,0.184,threshold risk
28,0,1.4,0.184,threshold risk
29,0,1.4,0.184,threshold risk
30,0,1.4,0.184,threshold risk
31,0,1.4,0.184,threshold risk
32,0,1.4,0.184,threshold risk
33,0,1.4,0.184,threshold risk
34,0,1.4,0.184,threshold risk
35,0,1.4,0.184,threshold risk
36,0,1.4,0.184,threshold risk
37,0,1.4,0.184,threshold risk
38,0,1.4,0.184,threshold risk
39,0,1.4,0.184,threshold risk
40,0,1.4,0.184,threshold risk
41,0,1.4,0.184,threshold risk
42,0,1.4,0.184,threshold risk
43,0,1.4,0.184,threshold risk
44,0,1.4,0.184,threshold risk
45,0,1.4,0.184,threshold risk
46,0,1.4,0.184,threshold risk
47,0,1.4,0.184,threshold risk
48,0,1.4,0.184,threshold risk
49,0,1.4,0.184,threshold risk
50,0,1.4,0.184,threshold risk
51,0,1.4,0.184,threshold risk
52,0,1.4,0.184,threshold risk
53,0,1.4,0.184,threshold risk
54,0,1.4,0.184,threshold risk
55,0,1.4,0.184,threshold risk
56,0,1.4,0.184,threshold risk
57,0,1.4,0.184,threshold risk
58,0,1.4,0.184,threshold risk
59,0,1.4,0.184,threshold risk
60,0,1.4,0.184,threshold risk
61,0,1.4,0.184,threshold risk
62,0,1.4,0.184,threshold risk
63,0,1.4,0.184,threshold risk
64,0,1.4,0.184,threshold risk
65,0,1.4,0.184,threshold risk
66,0,1.4,0.184,threshold risk
67,0,1.4,0.184,threshold risk
68,0,1.4,0.184,threshold risk
69,0,1.4,0.184,threshold risk
70,0,1.4,0.184,threshold risk
71,0,1.4,0.184,threshold risk
72,0,1.4,0.184,threshold risk
73,0,1.4,0.184,threshold risk
74,0,1.4,0.184,threshold risk
75,0,1.4,0.184,threshold risk
76,0,1.4,0.184,threshold risk
77,0,1.4,0.184,threshold risk
78,0,1.4,0.184,threshold risk
79,0,1.4,0.184,threshold risk
80,0,1.4,0.184,threshold risk
