scenario_id,scenario_name,time_step,patch_id,landscape_id,patch_type,condition,disturbance,resilience_margin,refugia,threshold_flag
DR001,Moderate historical disturbance,1,P001,L001,forest,0.81819,0.48556,1.45264,0,viable margin
DR001,Moderate historical disturbance,1,P002,L001,riparian,0.90233,0.24128,2.64705,1,viable margin
DR001,Moderate historical disturbance,1,P003,L001,grassland,0.63439,0.498,1.03439,0,viable margin
DR001,Moderate historical disturbance,1,P004,L001,old-growth-remnant,0.92686,0.1906,3.00026,1,viable margin
DR001,Moderate historical disturbance,1,P005,L002,floodplain,0.79663,0.32096,2.08767,1,viable margin
DR001,Moderate historical disturbance,1,P006,L002,wetland,0.86237,0.25261,2.60575,1,viable margin
DR001,Moderate historical disturbance,1,P007,L002,channelized-river,0.52707,0.56013,0.38494,0,threshold risk
DR001,Moderate historical disturbance,1,P008,L002,riparian-forest,0.77876,0.27569,2.25307,1,viable margin
DR001,Moderate historical disturbance,1,P009,L003,cropland,0.57129,0.51287,0.72642,0,threshold risk
DR001,Moderate historical disturbance,1,P010,L003,hedgerow,0.71739,0.27541,2.11398,1,viable margin
DR001,Moderate historical disturbance,1,P011,L003,wet-meadow,0.73811,0.28635,2.16576,1,viable margin
DR001,Moderate historical disturbance,1,P012,L003,compacted-field-edge,0.42323,0.58204,0.01119,0,threshold risk
DR001,Moderate historical disturbance,1,P013,L004,urban-green,0.5921,0.5037,0.7764,0,viable margin
DR001,Moderate historical disturbance,1,P014,L004,impervious-surface,0.21336,0.659,-0.92764,0,threshold risk
DR001,Moderate historical disturbance,1,P015,L004,restored-stream,0.673,0.33024,1.70476,1,viable margin
DR001,Moderate historical disturbance,1,P016,L004,tree-canopy-corridor,0.73819,0.26534,2.17685,1,viable margin
DR001,Moderate historical disturbance,1,P017,L005,mangrove,0.81854,0.30913,2.22341,1,viable margin
DR001,Moderate historical disturbance,1,P018,L005,marsh,0.79667,0.3311,2.08557,1,viable margin
DR001,Moderate historical disturbance,1,P019,L005,armored-shoreline,0.34022,0.60626,-0.29204,0,threshold risk
DR001,Moderate historical disturbance,1,P020,L005,tidal-creek,0.75692,0.30792,2.081,1,viable margin
DR001,Moderate historical disturbance,1,P021,L006,dry-grassland,0.6137,0.51703,0.91267,0,viable margin
DR001,Moderate historical disturbance,1,P022,L006,shrub-refugia,0.71665,0.30086,2.01179,1,viable margin
DR001,Moderate historical disturbance,1,P023,L006,eroded-slope,0.35988,0.61892,-0.32705,0,threshold risk
DR001,Moderate historical disturbance,1,P024,L006,riparian-oasis,0.84491,0.2184,2.76051,1,viable margin
DR001,Moderate historical disturbance,2,P001,L001,forest,0.79626,0.8516,1.06465,0,viable margin
DR001,Moderate historical disturbance,2,P002,L001,riparian,0.91457,0.42476,2.47581,1,viable margin
DR001,Moderate historical disturbance,2,P003,L001,grassland,0.60805,0.87492,0.63113,0,threshold risk
DR001,Moderate historical disturbance,2,P004,L001,old-growth-remnant,0.94707,0.31149,2.89957,1,viable margin
DR001,Moderate historical disturbance,2,P005,L002,floodplain,0.80171,0.5309,1.88281,1,viable margin
DR001,Moderate historical disturbance,2,P006,L002,wetland,0.874,0.44772,2.42228,1,viable margin
DR001,Moderate historical disturbance,2,P007,L002,channelized-river,0.48936,1.01069,-0.10332,0,threshold risk
DR001,Moderate historical disturbance,2,P008,L002,riparian-forest,0.78454,0.51161,2.02293,1,viable margin
