scenario,strategy_id,strategy,system_domain,rank,financial_resilience_value,systemic_exposure,implementation_burden,critical_function
Balanced,FR001,Higher Capital and Liquidity Buffers,capital liquidity and loss absorption,1,5.836,3.9,3.2,strengthens solvency liquidity and loss absorption before credit market or confidence shocks become systemic
Balanced,FR004,Payment and Clearing Infrastructure Hardening,market infrastructure operational resilience and cyber continuity,2,5.776,3.8,3.5,protects payment clearing settlement market data central-counterparty and operational systems under disruption
Balanced,FR002,Expanded Systemwide Stress Testing,macroprudential stress testing and early warning,3,5.72,4.0,3.1,reveals hidden capital liquidity market cyber climate and contagion vulnerability under adverse scenarios
Balanced,FR003,Resolution Planning and Bail-In Readiness,resolution planning and critical function continuity,4,5.652,4.1,3.6,prepares failing institutions to be resolved while preserving deposits payments clearing lending and other critical functions
Balanced,FR006,Inclusive Finance and Household Balance Sheet Resilience,household small-firm and community financial resilience,5,5.568,4.0,3.0,protects households small firms underserved regions fair credit payment access insurance savings and recovery finance
Balanced,FR005,Non-Bank Financial Intermediation Oversight,non-bank financial intermediation and shadow-risk monitoring,6,5.416,4.4,3.7,tracks liquidity mismatch leverage redemption pressure private credit opacity margin calls and regulatory perimeter risk
Capital-first,FR001,Higher Capital and Liquidity Buffers,capital liquidity and loss absorption,1,7.101,3.9,3.2,strengthens solvency liquidity and loss absorption before credit market or confidence shocks become systemic
Capital-first,FR003,Resolution Planning and Bail-In Readiness,resolution planning and critical function continuity,2,6.719,4.1,3.6,prepares failing institutions to be resolved while preserving deposits payments clearing lending and other critical functions
Capital-first,FR002,Expanded Systemwide Stress Testing,macroprudential stress testing and early warning,3,6.714,4.0,3.1,reveals hidden capital liquidity market cyber climate and contagion vulnerability under adverse scenarios
Capital-first,FR004,Payment and Clearing Infrastructure Hardening,market infrastructure operational resilience and cyber continuity,4,6.654,3.8,3.5,protects payment clearing settlement market data central-counterparty and operational systems under disruption
Capital-first,FR005,Non-Bank Financial Intermediation Oversight,non-bank financial intermediation and shadow-risk monitoring,5,6.403,4.4,3.7,tracks liquidity mismatch leverage redemption pressure private credit opacity margin calls and regulatory perimeter risk
Capital-first,FR006,Inclusive Finance and Household Balance Sheet Resilience,household small-firm and community financial resilience,6,6.371,4.0,3.0,protects households small firms underserved regions fair credit payment access insurance savings and recovery finance
Liquidity-first,FR001,Higher Capital and Liquidity Buffers,capital liquidity and loss absorption,1,7.078,3.9,3.2,strengthens solvency liquidity and loss absorption before credit market or confidence shocks become systemic
Liquidity-first,FR002,Expanded Systemwide Stress Testing,macroprudential stress testing and early warning,2,6.829,4.0,3.1,reveals hidden capital liquidity market cyber climate and contagion vulnerability under adverse scenarios
Liquidity-first,FR004,Payment and Clearing Infrastructure Hardening,market infrastructure operational resilience and cyber continuity,3,6.746,3.8,3.5,protects payment clearing settlement market data central-counterparty and operational systems under disruption
Liquidity-first,FR003,Resolution Planning and Bail-In Readiness,resolution planning and critical function continuity,4,6.65,4.1,3.6,prepares failing institutions to be resolved while preserving deposits payments clearing lending and other critical functions
Liquidity-first,FR005,Non-Bank Financial Intermediation Oversight,non-bank financial intermediation and shadow-risk monitoring,5,6.426,4.4,3.7,tracks liquidity mismatch leverage redemption pressure private credit opacity margin calls and regulatory perimeter risk
Liquidity-first,FR006,Inclusive Finance and Household Balance Sheet Resilience,household small-firm and community financial resilience,6,6.417,4.0,3.0,protects households small firms underserved regions fair credit payment access insurance savings and recovery finance
Infrastructure-first,FR004,Payment and Clearing Infrastructure Hardening,market infrastructure operational resilience and cyber continuity,1,7.118,3.8,3.5,protects payment clearing settlement market data central-counterparty and operational systems under disruption
Infrastructure-first,FR003,Resolution Planning and Bail-In Readiness,resolution planning and critical function continuity,2,6.791,4.1,3.6,prepares failing institutions to be resolved while preserving deposits payments clearing lending and other critical functions
Infrastructure-first,FR002,Expanded Systemwide Stress Testing,macroprudential stress testing and early warning,3,6.77,4.0,3.1,reveals hidden capital liquidity market cyber climate and contagion vulnerability under adverse scenarios
Infrastructure-first,FR001,Higher Capital and Liquidity Buffers,capital liquidity and loss absorption,4,6.766,3.9,3.2,strengthens solvency liquidity and loss absorption before credit market or confidence shocks become systemic
Infrastructure-first,FR005,Non-Bank Financial Intermediation Oversight,non-bank financial intermediation and shadow-risk monitoring,5,6.494,4.4,3.7,tracks liquidity mismatch leverage redemption pressure private credit opacity margin calls and regulatory perimeter risk
Infrastructure-first,FR006,Inclusive Finance and Household Balance Sheet Resilience,household small-firm and community financial resilience,6,6.435,4.0,3.0,protects households small firms underserved regions fair credit payment access insurance savings and recovery finance
Governance-first,FR004,Payment and Clearing Infrastructure Hardening,market infrastructure operational resilience and cyber continuity,1,6.957,3.8,3.5,protects payment clearing settlement market data central-counterparty and operational systems under disruption
Governance-first,FR003,Resolution Planning and Bail-In Readiness,resolution planning and critical function continuity,2,6.929,4.1,3.6,prepares failing institutions to be resolved while preserving deposits payments clearing lending and other critical functions
Governance-first,FR001,Higher Capital and Liquidity Buffers,capital liquidity and loss absorption,3,6.927,3.9,3.2,strengthens solvency liquidity and loss absorption before credit market or confidence shocks become systemic
Governance-first,FR002,Expanded Systemwide Stress Testing,macroprudential stress testing and early warning,4,6.908,4.0,3.1,reveals hidden capital liquidity market cyber climate and contagion vulnerability under adverse scenarios
Governance-first,FR005,Non-Bank Financial Intermediation Oversight,non-bank financial intermediation and shadow-risk monitoring,5,6.632,4.4,3.7,tracks liquidity mismatch leverage redemption pressure private credit opacity margin calls and regulatory perimeter risk
Governance-first,FR006,Inclusive Finance and Household Balance Sheet Resilience,household small-firm and community financial resilience,6,6.596,4.0,3.0,protects households small firms underserved regions fair credit payment access insurance savings and recovery finance
Inclusion-first,FR006,Inclusive Finance and Household Balance Sheet Resilience,household small-firm and community financial resilience,1,6.83,4.0,3.0,protects households small firms underserved regions fair credit payment access insurance savings and recovery finance
Inclusion-first,FR004,Payment and Clearing Infrastructure Hardening,market infrastructure operational resilience and cyber continuity,2,6.638,3.8,3.5,protects payment clearing settlement market data central-counterparty and operational systems under disruption
Inclusion-first,FR001,Higher Capital and Liquidity Buffers,capital liquidity and loss absorption,3,6.57,3.9,3.2,strengthens solvency liquidity and loss absorption before credit market or confidence shocks become systemic
Inclusion-first,FR002,Expanded Systemwide Stress Testing,macroprudential stress testing and early warning,4,6.54,4.0,3.1,reveals hidden capital liquidity market cyber climate and contagion vulnerability under adverse scenarios
Inclusion-first,FR003,Resolution Planning and Bail-In Readiness,resolution planning and critical function continuity,5,6.478,4.1,3.6,prepares failing institutions to be resolved while preserving deposits payments clearing lending and other critical functions
