system_id,system,system_context,time,event,stress_load,stabilizing_capacity,financial_function,liquidity_fragility,household_financial_fragility,inclusion_adjusted_function
FS001,Regional bank-centered credit system,banking credit deposits and local lending,0,background financial-system stress,0.15312,0.4122,0.87929,0.75808,0.7796,0.90489
FS001,Regional bank-centered credit system,banking credit deposits and local lending,1,background financial-system stress,0.15397,0.41252,0.97837,0.75616,0.77919,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,2,background financial-system stress,0.15483,0.41283,1.0,0.75426,0.77878,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,3,background financial-system stress,0.15493,0.41315,1.0,0.75236,0.77837,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,4,background financial-system stress,0.15522,0.41346,1.0,0.75048,0.77796,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,5,background financial-system stress,0.15486,0.41378,1.0,0.7486,0.77754,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,6,background financial-system stress,0.15582,0.41409,1.0,0.74673,0.77712,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,7,background financial-system stress,0.15552,0.4144,1.0,0.74487,0.7767,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,8,background financial-system stress,0.15485,0.41471,1.0,0.74302,0.77627,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,9,background financial-system stress,0.15583,0.41502,1.0,0.74118,0.77584,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,10,background financial-system stress,0.15525,0.41533,1.0,0.73934,0.7754,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,11,background financial-system stress,0.15725,0.41564,1.0,0.73752,0.77497,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,12,Rapid liquidity run and funding market freeze,0.8573,0.41595,0.82647,0.75308,0.78797,0.72558
FS001,Regional bank-centered credit system,banking credit deposits and local lending,13,background financial-system stress,0.1581,0.41221,0.92417,0.75131,0.78757,0.95108
FS001,Regional bank-centered credit system,banking credit deposits and local lending,14,background financial-system stress,0.15711,0.41251,1.0,0.74956,0.78716,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,15,background financial-system stress,0.15729,0.4128,1.0,0.74781,0.78675,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,16,background financial-system stress,0.15844,0.4131,1.0,0.74607,0.78634,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,17,background financial-system stress,0.15755,0.41339,1.0,0.74434,0.78593,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,18,background financial-system stress,0.15773,0.41368,1.0,0.74262,0.78551,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,19,background financial-system stress,0.15799,0.41397,1.0,0.74091,0.78509,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,20,background financial-system stress,0.15854,0.41426,1.0,0.73921,0.78467,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,21,background financial-system stress,0.15934,0.41455,1.0,0.73751,0.78424,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,22,background financial-system stress,0.16024,0.41484,1.0,0.73583,0.78382,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,23,background financial-system stress,0.15898,0.41513,1.0,0.73415,0.78338,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,24,background financial-system stress,0.1607,0.41541,1.0,0.73249,0.78295,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,25,background financial-system stress,0.16014,0.4157,1.0,0.73083,0.78251,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,26,Asset-price decline and fire-sale contagion,0.8723,0.41598,0.83626,0.74587,0.79459,0.73885
FS001,Regional bank-centered credit system,banking credit deposits and local lending,27,background financial-system stress,0.16163,0.41243,0.93288,0.74427,0.79419,0.96004
FS001,Regional bank-centered credit system,banking credit deposits and local lending,28,background financial-system stress,0.1617,0.4127,1.0,0.74268,0.79378,1.0
FS001,Regional bank-centered credit system,banking credit deposits and local lending,29,background financial-system stress,0.16062,0.41297,1.0,0.7411,0.79337,1.0
