strategy_id,strategy,system_domain,capital_strength,liquidity_resilience,infrastructure_robustness,governance_capacity,inclusive_resilience,systemic_exposure,implementation_burden,critical_function,financial_resilience_value,inclusion_gap,infrastructure_gap,adjusted_value,scenario,rank
FR001,Higher Capital and Liquidity Buffers,capital liquidity and loss absorption,8.9,8.8,7.6,8.3,7.4,3.9,3.2,strengthens solvency liquidity and loss absorption before credit market or confidence shocks become systemic,5.836,0.5999999999999996,0.40000000000000036,5.7700000000000005,Balanced,1
FR004,Payment and Clearing Infrastructure Hardening,market infrastructure operational resilience and cyber continuity,7.4,7.8,9.2,8.5,7.8,3.8,3.5,protects payment clearing settlement market data central-counterparty and operational systems under disruption,5.776000000000001,0.20000000000000018,0,5.7620000000000005,Balanced,2
FR002,Expanded Systemwide Stress Testing,macroprudential stress testing and early warning,7.8,8.3,8,8.6,7.6,4,3.1,reveals hidden capital liquidity market cyber climate and contagion vulnerability under adverse scenarios,5.72,0.40000000000000036,0,5.691999999999999,Balanced,3
FR003,Resolution Planning and Bail-In Readiness,resolution planning and critical function continuity,8,7.7,8.2,8.8,7.5,4.1,3.6,prepares failing institutions to be resolved while preserving deposits payments clearing lending and other critical functions,5.652,0.5,0,5.617,Balanced,4
FR006,Inclusive Finance and Household Balance Sheet Resilience,household small-firm and community financial resilience,7.2,7.4,7.4,8.1,9.2,4,3,protects households small firms underserved regions fair credit payment access insurance savings and recovery finance,5.568,0,0.5999999999999996,5.532,Balanced,5
FR005,Non-Bank Financial Intermediation Oversight,non-bank financial intermediation and shadow-risk monitoring,7.5,7.6,7.8,8.4,7.7,4.4,3.7,tracks liquidity mismatch leverage redemption pressure private credit opacity margin calls and regulatory perimeter risk,5.4159999999999995,0.2999999999999998,0.20000000000000018,5.382999999999999,Balanced,6
FR001,Higher Capital and Liquidity Buffers,capital liquidity and loss absorption,8.9,8.8,7.6,8.3,7.4,3.9,3.2,strengthens solvency liquidity and loss absorption before credit market or confidence shocks become systemic,7.101,0.5999999999999996,0.40000000000000036,7.035,Capital-first,1
FR002,Expanded Systemwide Stress Testing,macroprudential stress testing and early warning,7.8,8.3,8,8.6,7.6,4,3.1,reveals hidden capital liquidity market cyber climate and contagion vulnerability under adverse scenarios,6.713999999999999,0.40000000000000036,0,6.685999999999998,Capital-first,2
FR003,Resolution Planning and Bail-In Readiness,resolution planning and critical function continuity,8,7.7,8.2,8.8,7.5,4.1,3.6,prepares failing institutions to be resolved while preserving deposits payments clearing lending and other critical functions,6.719,0.5,0,6.684,Capital-first,3
FR004,Payment and Clearing Infrastructure Hardening,market infrastructure operational resilience and cyber continuity,7.4,7.8,9.2,8.5,7.8,3.8,3.5,protects payment clearing settlement market data central-counterparty and operational systems under disruption,6.653999999999999,0.20000000000000018,0,6.639999999999999,Capital-first,4
FR005,Non-Bank Financial Intermediation Oversight,non-bank financial intermediation and shadow-risk monitoring,7.5,7.6,7.8,8.4,7.7,4.4,3.7,tracks liquidity mismatch leverage redemption pressure private credit opacity margin calls and regulatory perimeter risk,6.403,0.2999999999999998,0.20000000000000018,6.369999999999999,Capital-first,5
FR006,Inclusive Finance and Household Balance Sheet Resilience,household small-firm and community financial resilience,7.2,7.4,7.4,8.1,9.2,4,3,protects households small firms underserved regions fair credit payment access insurance savings and recovery finance,6.3709999999999996,0,0.5999999999999996,6.335,Capital-first,6
FR004,Payment and Clearing Infrastructure Hardening,market infrastructure operational resilience and cyber continuity,7.4,7.8,9.2,8.5,7.8,3.8,3.5,protects payment clearing settlement market data central-counterparty and operational systems under disruption,4.5760000000000005,0.20000000000000018,0,4.562,Exposure-sensitive,1
FR001,Higher Capital and Liquidity Buffers,capital liquidity and loss absorption,8.9,8.8,7.6,8.3,7.4,3.9,3.2,strengthens solvency liquidity and loss absorption before credit market or confidence shocks become systemic,4.612000000000001,0.5999999999999996,0.40000000000000036,4.546000000000001,Exposure-sensitive,2
FR002,Expanded Systemwide Stress Testing,macroprudential stress testing and early warning,7.8,8.3,8,8.6,7.6,4,3.1,reveals hidden capital liquidity market cyber climate and contagion vulnerability under adverse scenarios,4.496,0.40000000000000036,0,4.468,Exposure-sensitive,3
FR003,Resolution Planning and Bail-In Readiness,resolution planning and critical function continuity,8,7.7,8.2,8.8,7.5,4.1,3.6,prepares failing institutions to be resolved while preserving deposits payments clearing lending and other critical functions,4.428,0.5,0,4.393,Exposure-sensitive,4
FR006,Inclusive Finance and Household Balance Sheet Resilience,household small-firm and community financial resilience,7.2,7.4,7.4,8.1,9.2,4,3,protects households small firms underserved regions fair credit payment access insurance savings and recovery finance,4.362000000000002,0,0.5999999999999996,4.326000000000002,Exposure-sensitive,5
FR005,Non-Bank Financial Intermediation Oversight,non-bank financial intermediation and shadow-risk monitoring,7.5,7.6,7.8,8.4,7.7,4.4,3.7,tracks liquidity mismatch leverage redemption pressure private credit opacity margin calls and regulatory perimeter risk,4.1819999999999995,0.2999999999999998,0.20000000000000018,4.148999999999999,Exposure-sensitive,6
