simulation_id,strategy_id,strategy,rank,financial_resilience_value,winner
0,FR001,Higher Capital and Liquidity Buffers,1,5.94188,Higher Capital and Liquidity Buffers
0,FR002,Expanded Systemwide Stress Testing,2,5.76605,Higher Capital and Liquidity Buffers
0,FR004,Payment and Clearing Infrastructure Hardening,3,5.67527,Higher Capital and Liquidity Buffers
0,FR003,Resolution Planning and Bail-In Readiness,4,5.61936,Higher Capital and Liquidity Buffers
0,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.60429,Higher Capital and Liquidity Buffers
0,FR005,Non-Bank Financial Intermediation Oversight,6,5.12953,Higher Capital and Liquidity Buffers
1,FR003,Resolution Planning and Bail-In Readiness,1,6.20306,Resolution Planning and Bail-In Readiness
1,FR001,Higher Capital and Liquidity Buffers,2,6.07849,Resolution Planning and Bail-In Readiness
1,FR002,Expanded Systemwide Stress Testing,3,5.96591,Resolution Planning and Bail-In Readiness
1,FR004,Payment and Clearing Infrastructure Hardening,4,5.69332,Resolution Planning and Bail-In Readiness
1,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.66566,Resolution Planning and Bail-In Readiness
1,FR005,Non-Bank Financial Intermediation Oversight,6,5.65586,Resolution Planning and Bail-In Readiness
2,FR003,Resolution Planning and Bail-In Readiness,1,6.00797,Resolution Planning and Bail-In Readiness
2,FR001,Higher Capital and Liquidity Buffers,2,5.89514,Resolution Planning and Bail-In Readiness
2,FR004,Payment and Clearing Infrastructure Hardening,3,5.88369,Resolution Planning and Bail-In Readiness
2,FR002,Expanded Systemwide Stress Testing,4,5.77139,Resolution Planning and Bail-In Readiness
2,FR005,Non-Bank Financial Intermediation Oversight,5,5.30215,Resolution Planning and Bail-In Readiness
2,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.26436,Resolution Planning and Bail-In Readiness
3,FR004,Payment and Clearing Infrastructure Hardening,1,6.03545,Payment and Clearing Infrastructure Hardening
3,FR002,Expanded Systemwide Stress Testing,2,5.9474,Payment and Clearing Infrastructure Hardening
3,FR001,Higher Capital and Liquidity Buffers,3,5.92617,Payment and Clearing Infrastructure Hardening
3,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.77641,Payment and Clearing Infrastructure Hardening
3,FR003,Resolution Planning and Bail-In Readiness,5,5.71812,Payment and Clearing Infrastructure Hardening
3,FR005,Non-Bank Financial Intermediation Oversight,6,5.4513,Payment and Clearing Infrastructure Hardening
4,FR004,Payment and Clearing Infrastructure Hardening,1,6.16011,Payment and Clearing Infrastructure Hardening
4,FR002,Expanded Systemwide Stress Testing,2,5.84312,Payment and Clearing Infrastructure Hardening
4,FR005,Non-Bank Financial Intermediation Oversight,3,5.78885,Payment and Clearing Infrastructure Hardening
4,FR001,Higher Capital and Liquidity Buffers,4,5.76448,Payment and Clearing Infrastructure Hardening
4,FR003,Resolution Planning and Bail-In Readiness,5,5.73902,Payment and Clearing Infrastructure Hardening
4,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.50833,Payment and Clearing Infrastructure Hardening
5,FR001,Higher Capital and Liquidity Buffers,1,6.35692,Higher Capital and Liquidity Buffers
5,FR002,Expanded Systemwide Stress Testing,2,6.0149,Higher Capital and Liquidity Buffers
5,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.68256,Higher Capital and Liquidity Buffers
